time,combat_kills,combat_sugar_stolen,nagents,total_attacks,red_initiated_attacks,blue_initiated_attacks,red_attack_rate,blue_attack_rate
0,0,0.0,50,0,0,0,0.0,0.0
1,4,44.0,46,4,3,1,0.75,0.25
2,10,119.0,40,6,2,4,0.3333333333333333,0.6666666666666666
3,14,179.0,36,4,2,2,0.5,0.5
4,16,243.0,34,1,0,1,0.0,1.0
5,16,243.0,34,0,0,0,0.0,0.0
6,17,259.0,33,1,0,1,0.0,1.0
7,21,311.0,29,4,1,3,0.25,0.75
8,23,343.0,27,2,0,2,0.0,1.0
9,24,348.0,26,1,0,1,0.0,1.0
10,25,373.0,25,1,0,1,0.0,1.0
11,27,384.0,23,2,1,1,0.5,0.5
12,27,384.0,23,0,0,0,0.0,0.0
13,28,403.0,22,1,0,1,0.0,1.0
14,29,414.0,21,1,0,1,0.0,1.0
15,30,441.0,20,1,0,1,0.0,1.0
16,31,457.0,19,1,0,1,0.0,1.0
17,33,511.0,17,2,0,2,0.0,1.0
18,33,511.0,17,0,0,0,0.0,0.0
19,35,564.0,15,2,0,2,0.0,1.0
20,35,564.0,15,0,0,0,0.0,0.0
21,36,567.0,14,1,0,1,0.0,1.0
22,36,567.0,14,0,0,0,0.0,0.0
23,36,567.0,14,0,0,0,0.0,0.0
24,36,567.0,14,0,0,0,0.0,0.0
25,36,567.0,14,0,0,0,0.0,0.0
26,36,567.0,14,0,0,0,0.0,0.0
27,36,567.0,14,0,0,0,0.0,0.0
28,36,567.0,14,0,0,0,0.0,0.0
29,36,567.0,14,0,0,0,0.0,0.0
30,36,567.0,14,0,0,0,0.0,0.0
31,36,567.0,14,0,0,0,0.0,0.0
32,36,567.0,14,0,0,0,0.0,0.0
33,36,567.0,14,0,0,0,0.0,0.0
34,36,567.0,14,0,0,0,0.0,0.0
35,37,582.0,13,1,0,1,0.0,1.0
36,37,582.0,13,0,0,0,0.0,0.0
37,37,582.0,13,0,0,0,0.0,0.0
38,37,582.0,13,0,0,0,0.0,0.0
39,37,582.0,13,0,0,0,0.0,0.0
40,37,582.0,13,0,0,0,0.0,0.0
41,37,582.0,13,0,0,0,0.0,0.0
42,37,582.0,13,0,0,0,0.0,0.0
43,37,582.0,13,0,0,0,0.0,0.0
44,37,582.0,13,0,0,0,0.0,0.0
45,37,582.0,13,0,0,0,0.0,0.0
46,37,582.0,13,0,0,0,0.0,0.0
47,37,582.0,13,0,0,0,0.0,0.0
48,37,582.0,13,0,0,0,0.0,0.0
49,37,582.0,13,0,0,0,0.0,0.0
50,37,582.0,13,0,0,0,0.0,0.0
51,37,582.0,13,0,0,0,0.0,0.0
52,37,582.0,13,0,0,0,0.0,0.0
53,37,582.0,13,0,0,0,0.0,0.0
54,37,582.0,13,0,0,0,0.0,0.0
55,37,582.0,13,0,0,0,0.0,0.0
56,38,611.0,12,1,0,1,0.0,1.0
57,38,611.0,12,0,0,0,0.0,0.0
58,38,611.0,12,0,0,0,0.0,0.0
59,38,611.0,12,0,0,0,0.0,0.0
60,38,611.0,12,0,0,0,0.0,0.0
61,38,611.0,12,0,0,0,0.0,0.0
62,38,611.0,12,0,0,0,0.0,0.0
63,38,611.0,12,0,0,0,0.0,0.0
64,38,611.0,12,0,0,0,0.0,0.0
65,38,611.0,12,0,0,0,0.0,0.0
66,38,611.0,12,0,0,0,0.0,0.0
67,38,611.0,12,0,0,0,0.0,0.0
68,39,638.0,11,1,0,1,0.0,1.0
69,39,638.0,11,0,0,0,0.0,0.0
70,39,638.0,11,0,0,0,0.0,0.0
71,40,663.0,10,1,0,1,0.0,1.0
72,40,663.0,10,0,0,0,0.0,0.0
73,40,663.0,10,0,0,0,0.0,0.0
74,40,663.0,10,0,0,0,0.0,0.0
75,40,663.0,10,0,0,0,0.0,0.0
76,40,663.0,10,0,0,0,0.0,0.0
77,40,663.0,10,0,0,0,0.0,0.0
78,40,663.0,10,0,0,0,0.0,0.0
79,40,663.0,10,0,0,0,0.0,0.0
80,40,663.0,10,0,0,0,0.0,0.0
81,41,670.0,9,1,0,1,0.0,1.0
82,42,679.0,8,1,0,1,0.0,1.0
83,42,679.0,8,0,0,0,0.0,0.0
84,42,679.0,8,0,0,0,0.0,0.0
85,42,679.0,8,0,0,0,0.0,0.0
86,42,679.0,8,0,0,0,0.0,0.0
87,42,679.0,8,0,0,0,0.0,0.0
88,42,679.0,8,0,0,0,0.0,0.0
89,42,679.0,8,0,0,0,0.0,0.0
90,42,679.0,8,0,0,0,0.0,0.0
91,43,694.0,7,1,0,1,0.0,1.0
92,44,703.0,6,1,0,1,0.0,1.0
93,44,703.0,6,0,0,0,0.0,0.0
94,44,703.0,6,0,0,0,0.0,0.0
95,44,703.0,6,0,0,0,0.0,0.0
96,44,703.0,6,0,0,0,0.0,0.0
97,44,703.0,6,0,0,0,0.0,0.0
98,44,703.0,6,0,0,0,0.0,0.0
99,44,703.0,6,0,0,0,0.0,0.0
100,44,703.0,6,0,0,0,0.0,0.0
101,44,703.0,6,0,0,0,0.0,0.0
102,44,703.0,6,0,0,0,0.0,0.0
103,44,703.0,6,0,0,0,0.0,0.0
104,44,703.0,6,0,0,0,0.0,0.0
105,44,703.0,6,0,0,0,0.0,0.0
106,44,703.0,6,0,0,0,0.0,0.0
107,44,703.0,6,0,0,0,0.0,0.0
108,44,703.0,6,0,0,0,0.0,0.0
109,44,703.0,6,0,0,0,0.0,0.0
110,44,703.0,6,0,0,0,0.0,0.0
111,44,703.0,6,0,0,0,0.0,0.0
112,44,703.0,6,0,0,0,0.0,0.0
113,44,703.0,6,0,0,0,0.0,0.0
114,44,703.0,6,0,0,0,0.0,0.0
115,44,703.0,6,0,0,0,0.0,0.0
116,44,703.0,6,0,0,0,0.0,0.0
117,44,703.0,6,0,0,0,0.0,0.0
118,44,703.0,6,0,0,0,0.0,0.0
119,44,703.0,6,0,0,0,0.0,0.0
120,44,703.0,6,0,0,0,0.0,0.0
121,44,703.0,6,0,0,0,0.0,0.0
122,44,703.0,6,0,0,0,0.0,0.0
123,44,703.0,6,0,0,0,0.0,0.0
124,44,703.0,6,0,0,0,0.0,0.0
125,44,703.0,6,0,0,0,0.0,0.0
126,44,703.0,6,0,0,0,0.0,0.0
127,44,703.0,6,0,0,0,0.0,0.0
128,44,703.0,6,0,0,0,0.0,0.0
129,44,703.0,6,0,0,0,0.0,0.0
130,44,703.0,6,0,0,0,0.0,0.0
131,44,703.0,6,0,0,0,0.0,0.0
132,44,703.0,6,0,0,0,0.0,0.0
133,44,703.0,6,0,0,0,0.0,0.0
134,44,703.0,6,0,0,0,0.0,0.0
135,44,703.0,6,0,0,0,0.0,0.0
136,44,703.0,6,0,0,0,0.0,0.0
137,44,703.0,6,0,0,0,0.0,0.0
138,44,703.0,6,0,0,0,0.0,0.0
139,44,703.0,6,0,0,0,0.0,0.0
140,44,703.0,6,0,0,0,0.0,0.0
141,44,703.0,6,0,0,0,0.0,0.0
142,44,703.0,6,0,0,0,0.0,0.0
143,44,703.0,6,0,0,0,0.0,0.0
144,44,703.0,6,0,0,0,0.0,0.0
145,44,703.0,6,0,0,0,0.0,0.0
146,44,703.0,6,0,0,0,0.0,0.0
147,44,703.0,6,0,0,0,0.0,0.0
148,44,703.0,6,0,0,0,0.0,0.0
149,44,703.0,6,0,0,0,0.0,0.0
150,44,703.0,6,0,0,0,0.0,0.0
