time,combat_kills,combat_sugar_stolen,nagents,total_attacks,red_initiated_attacks,blue_initiated_attacks,red_attack_rate,blue_attack_rate
0,0,0.0,50,0,0,0,0.0,0.0
1,6,65.0,44,6,5,1,0.8333333333333334,0.16666666666666666
2,9,120.0,41,3,0,3,0.0,1.0
3,12,159.0,38,3,0,3,0.0,1.0
4,13,181.0,37,1,0,1,0.0,1.0
5,15,194.0,35,2,1,1,0.5,0.5
6,17,242.0,33,2,0,2,0.0,1.0
7,19,296.0,31,2,0,2,0.0,1.0
8,21,326.0,29,2,0,2,0.0,1.0
9,21,326.0,29,0,0,0,0.0,0.0
10,23,359.0,27,2,0,2,0.0,1.0
11,24,371.0,26,1,0,1,0.0,1.0
12,24,371.0,26,0,0,0,0.0,0.0
13,24,371.0,26,0,0,0,0.0,0.0
14,25,385.0,25,1,0,1,0.0,1.0
15,25,385.0,25,0,0,0,0.0,0.0
16,25,385.0,25,0,0,0,0.0,0.0
17,26,408.0,24,1,0,1,0.0,1.0
18,26,408.0,24,0,0,0,0.0,0.0
19,26,408.0,24,0,0,0,0.0,0.0
20,26,408.0,24,0,0,0,0.0,0.0
21,26,408.0,24,0,0,0,0.0,0.0
22,26,408.0,24,0,0,0,0.0,0.0
23,26,408.0,24,0,0,0,0.0,0.0
24,26,408.0,24,0,0,0,0.0,0.0
25,26,408.0,24,0,0,0,0.0,0.0
26,26,408.0,24,0,0,0,0.0,0.0
27,26,408.0,24,0,0,0,0.0,0.0
28,26,408.0,24,0,0,0,0.0,0.0
29,26,408.0,24,0,0,0,0.0,0.0
30,26,408.0,24,0,0,0,0.0,0.0
31,26,408.0,24,0,0,0,0.0,0.0
32,26,408.0,24,0,0,0,0.0,0.0
33,26,408.0,24,0,0,0,0.0,0.0
34,26,408.0,24,0,0,0,0.0,0.0
35,27,411.0,23,1,0,1,0.0,1.0
36,27,411.0,23,0,0,0,0.0,0.0
37,27,411.0,23,0,0,0,0.0,0.0
38,27,411.0,23,0,0,0,0.0,0.0
39,28,415.0,22,1,1,0,1.0,0.0
40,28,415.0,22,0,0,0,0.0,0.0
41,29,436.0,21,1,0,1,0.0,1.0
42,29,436.0,21,0,0,0,0.0,0.0
43,29,436.0,21,0,0,0,0.0,0.0
44,29,436.0,21,0,0,0,0.0,0.0
45,29,436.0,21,0,0,0,0.0,0.0
46,30,459.0,20,1,0,1,0.0,1.0
47,30,459.0,20,0,0,0,0.0,0.0
48,30,459.0,20,0,0,0,0.0,0.0
49,30,459.0,20,0,0,0,0.0,0.0
50,30,459.0,20,0,0,0,0.0,0.0
51,30,459.0,20,0,0,0,0.0,0.0
52,30,459.0,20,0,0,0,0.0,0.0
53,30,459.0,20,0,0,0,0.0,0.0
54,30,459.0,20,0,0,0,0.0,0.0
55,30,459.0,20,0,0,0,0.0,0.0
56,30,459.0,20,0,0,0,0.0,0.0
57,30,459.0,20,0,0,0,0.0,0.0
58,30,459.0,20,0,0,0,0.0,0.0
59,30,459.0,20,0,0,0,0.0,0.0
60,30,459.0,20,0,0,0,0.0,0.0
61,30,459.0,20,0,0,0,0.0,0.0
62,30,459.0,20,0,0,0,0.0,0.0
63,30,459.0,20,0,0,0,0.0,0.0
64,30,459.0,20,0,0,0,0.0,0.0
65,30,459.0,20,0,0,0,0.0,0.0
66,30,459.0,20,0,0,0,0.0,0.0
67,30,459.0,20,0,0,0,0.0,0.0
68,30,459.0,20,0,0,0,0.0,0.0
69,30,459.0,20,0,0,0,0.0,0.0
70,30,459.0,20,0,0,0,0.0,0.0
71,30,459.0,20,0,0,0,0.0,0.0
72,31,482.0,19,1,1,0,1.0,0.0
73,31,482.0,19,0,0,0,0.0,0.0
74,31,482.0,19,0,0,0,0.0,0.0
75,31,482.0,19,0,0,0,0.0,0.0
76,32,532.0,18,1,0,1,0.0,1.0
77,32,532.0,18,0,0,0,0.0,0.0
78,32,532.0,18,0,0,0,0.0,0.0
79,34,561.0,16,2,0,2,0.0,1.0
80,34,561.0,16,0,0,0,0.0,0.0
81,35,568.0,15,1,0,1,0.0,1.0
82,35,568.0,15,0,0,0,0.0,0.0
83,36,582.0,14,1,0,1,0.0,1.0
84,36,582.0,14,0,0,0,0.0,0.0
85,36,582.0,14,0,0,0,0.0,0.0
86,36,582.0,14,0,0,0,0.0,0.0
87,37,598.0,13,1,0,1,0.0,1.0
88,37,598.0,13,0,0,0,0.0,0.0
89,37,598.0,13,0,0,0,0.0,0.0
90,37,598.0,13,0,0,0,0.0,0.0
91,37,598.0,13,0,0,0,0.0,0.0
92,37,598.0,13,0,0,0,0.0,0.0
93,38,607.0,12,1,0,1,0.0,1.0
94,38,607.0,12,0,0,0,0.0,0.0
95,38,607.0,12,0,0,0,0.0,0.0
96,39,619.0,11,1,1,0,1.0,0.0
97,39,619.0,11,0,0,0,0.0,0.0
