time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 1.03f0, stimulation = 0.78f0, hedonism = 0.71f0, achievement = -0.43f0, power = -0.03f0, security = -0.79f0, conformity = -0.53f0, tradition = -1.81f0, benevolence = 0.22f0, universalism = 0.85f0)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.0f0, stimulation = -0.34f0, hedonism = -0.57f0, achievement = -0.95f0, power = -0.74f0, security = 1.38f0, conformity = 0.27f0, tradition = 0.45f0, benevolence = -0.13f0, universalism = 0.63f0)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.34f0, stimulation = -1.13f0, hedonism = -0.74f0, achievement = 0.5f0, power = -0.31f0, security = -0.54f0, conformity = -0.75f0, tradition = 1.34f0, benevolence = 0.78f0, universalism = 0.52f0)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = -0.18f0, stimulation = -3.6f0, hedonism = -0.68f0, achievement = -0.25f0, power = -0.15f0, security = 0.38f0, conformity = 1.0f0, tradition = 2.32f0, benevolence = 0.2f0, universalism = 0.96f0)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.39f0, stimulation = -0.22f0, hedonism = -0.17f0, achievement = -0.82f0, power = -0.36f0, security = 0.07f0, conformity = -0.13f0, tradition = -0.99f0, benevolence = 1.32f0, universalism = 0.92f0)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.83f0, stimulation = 2.06f0, hedonism = 1.18f0, achievement = -3.3f0, power = -2.33f0, security = 0.34f0, conformity = -1.55f0, tradition = 0.68f0, benevolence = 0.8f0, universalism = 1.27f0)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 1.55f0, stimulation = -1.15f0, hedonism = -0.35f0, achievement = -1.91f0, power = -1.7f0, security = 1.88f0, conformity = -0.53f0, tradition = 0.2f0, benevolence = 0.73f0, universalism = 1.28f0)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.26f0, stimulation = -0.39f0, hedonism = 1.28f0, achievement = 1.03f0, power = -0.4f0, security = -0.09f0, conformity = -1.66f0, tradition = -0.76f0, benevolence = 0.86f0, universalism = -0.13f0)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.44f0, stimulation = -0.2f0, hedonism = 1.32f0, achievement = -0.62f0, power = -0.45f0, security = 0.45f0, conformity = -1.11f0, tradition = -1.22f0, benevolence = 1.04f0, universalism = 0.36f0)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(self_direction = 0.69f0, stimulation = -1.42f0, hedonism = 0.19f0, achievement = -0.28f0, power = 0.24f0, security = -0.1f0, conformity = -0.47f0, tradition = 0.22f0, benevolence = 1.4f0, universalism = -0.46f0)"
