time,combat_kills,combat_sugar_stolen,calculate_factional_clustering,nagents
0,0,0.0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",50
1,1,11.0,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",49
2,3,39.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",47
3,6,62.0,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 3, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",44
4,7,77.0,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",43
5,10,103.0,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 3)",40
6,13,146.0,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.3333333333333333, ""blue_attack_rate"" => 0.6666666666666666, ""blue_initiated_attacks"" => 2)",37
7,14,152.0,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)",36
8,14,152.0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",36
9,16,178.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)",34
10,18,228.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)",32
11,20,240.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)",30
12,22,256.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)",28
13,23,297.0,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)",27
14,24,308.0,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)",26
15,26,348.0,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)",24
