time,id,pos,sugar,age,vision,metabolism,sex,children,loans_given,loans_owed,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,traits
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 5.0, conscientiousness = 4.44, extraversion = 1.11, agreeableness = 3.98, neuroticism = 4.13)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.36, conscientiousness = 4.24, extraversion = 3.64, agreeableness = 3.63, neuroticism = 4.5)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 2.83, conscientiousness = 3.36, extraversion = 4.01, agreeableness = 3.74, neuroticism = 2.84)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.13, conscientiousness = 2.68, extraversion = 5.0, agreeableness = 5.0, neuroticism = 2.15)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.75, conscientiousness = 4.4, extraversion = 4.02, agreeableness = 3.6, neuroticism = 1.4)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 5.0, conscientiousness = 4.2, extraversion = 2.89, agreeableness = 3.7, neuroticism = 1.56)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.12, conscientiousness = 1.81, extraversion = 3.27, agreeableness = 3.85, neuroticism = 3.2)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.44, conscientiousness = 2.39, extraversion = 2.85, agreeableness = 3.55, neuroticism = 4.76)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.94, conscientiousness = 2.47, extraversion = 2.46, agreeableness = 2.36, neuroticism = 2.52)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.77, conscientiousness = 4.21, extraversion = 2.77, agreeableness = 2.15, neuroticism = 3.42)"
0,11,"(35, 1)",8.0,0,2,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.25, conscientiousness = 4.07, extraversion = 3.24, agreeableness = 4.25, neuroticism = 2.44)"
0,12,"(21, 9)",8.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.33, conscientiousness = 3.67, extraversion = 3.19, agreeableness = 3.59, neuroticism = 1.98)"
0,13,"(17, 26)",14.0,0,6,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.71, conscientiousness = 2.85, extraversion = 1.91, agreeableness = 3.27, neuroticism = 3.22)"
0,14,"(13, 40)",10.0,0,2,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.08, conscientiousness = 3.58, extraversion = 2.65, agreeableness = 5.0, neuroticism = 2.42)"
0,15,"(28, 20)",5.0,0,4,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.2, conscientiousness = 2.83, extraversion = 1.46, agreeableness = 3.07, neuroticism = 3.43)"
0,16,"(38, 38)",11.0,0,6,3,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 2.82, conscientiousness = 2.58, extraversion = 4.35, agreeableness = 3.33, neuroticism = 3.67)"
0,17,"(13, 44)",22.0,0,1,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.17, conscientiousness = 4.58, extraversion = 3.04, agreeableness = 4.49, neuroticism = 1.3)"
0,18,"(50, 21)",11.0,0,5,4,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.03, conscientiousness = 3.52, extraversion = 3.08, agreeableness = 3.97, neuroticism = 1.6)"
0,19,"(48, 27)",22.0,0,4,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.6, conscientiousness = 3.05, extraversion = 4.61, agreeableness = 3.45, neuroticism = 3.69)"
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.19, conscientiousness = 4.27, extraversion = 4.3, agreeableness = 4.21, neuroticism = 1.77)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.44, conscientiousness = 3.78, extraversion = 2.5, agreeableness = 2.96, neuroticism = 2.39)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.02, conscientiousness = 3.64, extraversion = 2.36, agreeableness = 3.57, neuroticism = 3.58)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.3, conscientiousness = 4.17, extraversion = 3.76, agreeableness = 3.56, neuroticism = 3.91)"
0,24,"(12, 50)",14.0,0,6,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.68, conscientiousness = 4.21, extraversion = 4.98, agreeableness = 2.84, neuroticism = 3.0)"
0,25,"(10, 9)",18.0,0,2,3,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.99, conscientiousness = 3.27, extraversion = 1.89, agreeableness = 2.3, neuroticism = 2.32)"
0,26,"(44, 18)",19.0,0,2,3,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 4.02, conscientiousness = 3.7, extraversion = 3.07, agreeableness = 4.31, neuroticism = 3.14)"
0,27,"(37, 1)",25.0,0,1,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 3.99, conscientiousness = 3.6, extraversion = 3.84, agreeableness = 3.21, neuroticism = 2.58)"
0,28,"(26, 19)",5.0,0,2,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,"(openness = 5.0, conscientiousness = 5.0, extraversion = 4.48, agreeableness = 3.79, neuroticism = 3.43)"
