time,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,count_red_tribe,count_blue_tribe,calculate_tribe_proportions,calculate_wealth_percentiles,calculate_pareto_alpha,model.deaths_age,model.deaths_starvation,nagents
0,3.884297118205747,0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,50
1,3.884297118205747,0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 8.25, :p75 => 19.0, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,50
2,3.884297118205747,0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 8.25, :p75 => 18.75, :p50 => 12.0, :p90 => 23.0, :p99 => 25.529999999999994, :p95 => 24.0)",10.788741200438297,0,1,50
3,3.884297118205747,0.0,0.0,31,19,"Dict(""blue_proportion"" => 0.38, ""red_proportion"" => 0.62)","Dict(:p25 => 7.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.200000000000003, :p99 => 27.529999999999994, :p95 => 26.0)",7.565092573155026,0,3,50
4,3.884297118205747,0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 12.0, :p90 => 25.200000000000003, :p99 => 30.019999999999996, :p95 => 27.549999999999997)",5.511481253399516,0,7,50
5,3.912023005428145,0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 7.0, :p75 => 20.75, :p50 => 12.0, :p90 => 27.1, :p99 => 32.51, :p95 => 29.549999999999997)",4.932503424740724,0,11,50
6,3.884297118205747,0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 8.0, :p75 => 22.75, :p50 => 12.0, :p90 => 29.0, :p99 => 35.0, :p95 => 31.549999999999997)",4.673405711739192,0,14,50
7,3.912023005428145,0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 13.5, :p90 => 31.0, :p99 => 37.0, :p95 => 33.55)",5.02211366532325,0,15,50
8,3.912023005428145,0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 7.25, :p75 => 24.0, :p50 => 16.0, :p90 => 31.200000000000003, :p99 => 40.0, :p95 => 35.099999999999994)",5.387062994508703,0,18,50
9,3.8565712309833495,0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 7.25, :p75 => 25.75, :p50 => 17.0, :p90 => 32.300000000000004, :p99 => 43.0, :p95 => 37.099999999999994)",5.682311145144124,0,19,50
