time,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,count_red_tribe,count_blue_tribe,calculate_tribe_proportions,calculate_wealth_percentiles,calculate_pareto_alpha,model.deaths_age,model.deaths_starvation,nagents
0,3.884297118205747,0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,50
1,3.884297118205747,0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 23.0, :p99 => 24.0, :p95 => 23.549999999999997)",22.78728712621092,0,0,50
2,3.884297118205747,0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 9.0, :p75 => 18.75, :p50 => 12.0, :p90 => 24.0, :p99 => 25.0, :p95 => 24.549999999999997)",9.423772737435378,0,1,50
3,3.884297118205747,0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 25.0, :p99 => 27.509999999999998, :p95 => 26.549999999999997)",8.299203899177849,0,3,50
4,3.912023005428145,0.0,0.0,32,18,"Dict(""blue_proportion"" => 0.36, ""red_proportion"" => 0.64)","Dict(:p25 => 8.25, :p75 => 21.0, :p50 => 14.5, :p90 => 26.1, :p99 => 30.019999999999996, :p95 => 28.549999999999997)",7.311583920056274,0,6,50
5,3.912023005428145,0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 9.0, :p75 => 21.0, :p50 => 15.0, :p90 => 27.200000000000003, :p99 => 32.529999999999994, :p95 => 30.549999999999997)",6.29656398604165,0,9,50
6,3.912023005428145,0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 8.0, :p75 => 22.75, :p50 => 15.5, :p90 => 30.1, :p99 => 35.03999999999999, :p95 => 32.55)",5.3956428915687775,0,12,50
7,3.912023005428145,0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 7.25, :p75 => 25.0, :p50 => 16.5, :p90 => 33.0, :p99 => 37.03999999999999, :p95 => 34.55)",4.7627367139081285,0,13,50
8,3.8842971182057475,0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 8.25, :p75 => 27.5, :p50 => 17.0, :p90 => 35.0, :p99 => 39.54999999999999, :p95 => 36.55)",6.086754124063189,0,16,50
9,3.8842971182057475,0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 10.25, :p75 => 29.5, :p50 => 17.5, :p90 => 37.1, :p99 => 42.05999999999999, :p95 => 38.55)",6.260826457843412,0,18,50
10,3.884297118205747,0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 9.25, :p75 => 31.25, :p50 => 17.5, :p90 => 38.2, :p99 => 45.05999999999999, :p95 => 41.0)",6.31570661457521,0,18,50
11,3.884297118205747,0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 9.25, :p75 => 31.75, :p50 => 19.0, :p90 => 39.300000000000004, :p99 => 48.05999999999999, :p95 => 43.55)",7.586646512897444,0,20,50
12,3.912023005428145,0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 9.25, :p75 => 33.75, :p50 => 19.0, :p90 => 41.2, :p99 => 50.05999999999999, :p95 => 45.55)",9.531375181843133,0,21,50
13,3.912023005428145,0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 8.0, :p75 => 35.0, :p50 => 20.0, :p90 => 43.2, :p99 => 52.569999999999986, :p95 => 47.55)",12.439420107458242,0,22,50
14,3.912023005428145,0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 10.75, :p75 => 36.75, :p50 => 22.0, :p90 => 45.2, :p99 => 54.569999999999986, :p95 => 50.099999999999994)",12.657271055685111,0,26,50
15,3.912023005428145,0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 14.0, :p75 => 38.5, :p50 => 22.0, :p90 => 47.1, :p99 => 57.05999999999999, :p95 => 52.099999999999994)",10.726346943030608,0,28,50
16,3.884297118205747,0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 15.0, :p75 => 40.25, :p50 => 23.0, :p90 => 50.0, :p99 => 59.05999999999999, :p95 => 54.64999999999999)",9.041053205499388,0,32,50
17,3.8565712309833495,0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 14.25, :p75 => 42.25, :p50 => 24.0, :p90 => 52.1, :p99 => 62.05999999999999, :p95 => 56.64999999999999)",7.432845965493213,0,32,50
18,3.884297118205747,0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 14.25, :p75 => 44.0, :p50 => 25.5, :p90 => 54.2, :p99 => 64.57, :p95 => 58.64999999999999)",6.522597344497784,0,32,50
19,3.884297118205747,0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 15.25, :p75 => 45.75, :p50 => 28.0, :p90 => 56.300000000000004, :p99 => 67.05999999999999, :p95 => 60.64999999999999)",5.785113128013415,0,33,50
20,3.884297118205747,0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 15.5, :p75 => 46.75, :p50 => 29.0, :p90 => 59.2, :p99 => 69.05999999999999, :p95 => 62.64999999999999)",5.369070497598165,0,34,50
21,3.912023005428145,0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 17.25, :p75 => 48.75, :p50 => 29.0, :p90 => 62.1, :p99 => 71.57, :p95 => 64.64999999999999)",5.473062440137558,0,35,50
