time,nagents,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_gini_coefficient
0,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,0.0,0.0,0.23110204081632646
1,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,0.0,0.0,0.2614598540145985
2,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 18.75, :p50 => 12.0, :p90 => 23.0, :p99 => 26.019999999999996, :p95 => 24.0)",10.855474661179667,0,1,0.0,0.0,0.2972307692307692
3,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.1, :p99 => 27.019999999999996, :p95 => 25.549999999999997)",8.619152721608883,0,3,0.0,0.0,0.32863422291993727
4,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 19.5, :p50 => 12.0, :p90 => 25.1, :p99 => 29.019999999999996, :p95 => 27.099999999999994)",4.73901318899175,0,7,0.0,0.0,0.3348936170212766
5,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 12.0, :p90 => 27.1, :p99 => 31.509999999999998, :p95 => 29.099999999999994)",5.060867595781727,0,11,0.0,0.0,0.3362697274031563
6,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.0, :p75 => 21.75, :p50 => 12.0, :p90 => 29.1, :p99 => 34.0, :p95 => 31.549999999999997)",5.511764334401466,0,14,0.0,0.0,0.33449197860962565
7,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 22.0, :p50 => 12.5, :p90 => 31.1, :p99 => 36.51, :p95 => 34.0)",5.979395892770704,0,15,0.0,0.0,0.354974358974359
8,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 23.0, :p50 => 16.0, :p90 => 32.2, :p99 => 39.019999999999996, :p95 => 36.099999999999994)",5.200224387337769,0,18,0.0,0.0,0.34438095238095245
9,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 25.0, :p50 => 17.0, :p90 => 33.300000000000004, :p99 => 41.529999999999994, :p95 => 37.64999999999999)",4.788660715714732,0,19,0.0,0.0,0.35164212910532266
10,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 26.0, :p50 => 16.0, :p90 => 34.400000000000006, :p99 => 44.03999999999999, :p95 => 39.64999999999999)",5.188081491983323,0,19,0.0,0.0,0.37946488294314373
11,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 27.0, :p50 => 16.0, :p90 => 37.300000000000004, :p99 => 46.54999999999999, :p95 => 42.19999999999999)",5.541094068012107,0,20,0.0,0.0,0.38858369098712453
12,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 28.75, :p50 => 16.0, :p90 => 39.2, :p99 => 48.54999999999999, :p95 => 44.19999999999999)",6.0238589264647775,0,21,0.0,0.0,0.39326467559217293
13,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 30.5, :p50 => 17.0, :p90 => 42.0, :p99 => 50.54999999999999, :p95 => 45.099999999999994)",6.622447454096623,0,23,0.0,0.0,0.3808527131782946
14,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 10.5, :p75 => 32.0, :p50 => 18.0, :p90 => 42.1, :p99 => 53.05999999999999, :p95 => 46.64999999999999)",7.463331160329888,0,26,0.0,0.0,0.3573550724637682
15,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 34.75, :p50 => 18.5, :p90 => 43.2, :p99 => 55.569999999999986, :p95 => 49.099999999999994)",6.785060839454183,0,27,0.0,0.0,0.3591289198606271
16,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 9.25, :p75 => 36.75, :p50 => 19.0, :p90 => 44.2, :p99 => 58.079999999999984, :p95 => 51.55)",6.1555677165910865,0,27,0.0,0.0,0.3812991452991452
17,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 9.0, :p75 => 38.75, :p50 => 20.0, :p90 => 45.300000000000004, :p99 => 60.58999999999998, :p95 => 54.0)",5.672145441165374,0,28,0.0,0.0,0.3941999999999999
18,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 40.75, :p50 => 21.0, :p90 => 47.300000000000004, :p99 => 63.079999999999984, :p95 => 54.64999999999999)",6.130419991214325,0,30,4.0,0.0,0.38626889419252186
19,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 42.5, :p50 => 23.0, :p90 => 48.2, :p99 => 65.07999999999998, :p95 => 57.099999999999994)",6.555086453596674,0,32,4.0,0.0,0.369706546275395
20,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 43.75, :p50 => 23.0, :p90 => 50.2, :p99 => 67.07999999999998, :p95 => 59.099999999999994)",7.948467753150869,0,32,4.0,0.0,0.3838319823139278
21,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 12.25, :p75 => 45.0, :p50 => 23.5, :p90 => 52.2, :p99 => 69.07999999999998, :p95 => 60.19999999999999)",7.5657801896923855,0,33,13.0,0.0,0.37748391708363105
22,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 46.75, :p50 => 24.5, :p90 => 54.2, :p99 => 71.58999999999997, :p95 => 62.64999999999999)",6.741429144978613,0,34,13.0,0.3333333333333333,0.38458651841556635
23,50,3.7733935693161555,0.0,0.0,"Dict(:p25 => 12.5, :p75 => 48.5, :p50 => 25.5, :p90 => 56.1, :p99 => 73.07999999999998, :p95 => 62.39999999999998)",7.681504449801359,0,35,24.0,0.16666666666666666,0.3825658338960163
24,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 50.25, :p50 => 27.0, :p90 => 58.1, :p99 => 75.07999999999998, :p95 => 64.39999999999998)",7.835566445828833,0,36,24.0,0.3333333333333333,0.38834098360655744
25,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 12.25, :p75 => 51.25, :p50 => 28.0, :p90 => 61.0, :p99 => 77.07999999999998, :p95 => 66.84999999999998)",7.0800124790459105,0,36,25.0,0.14285714285714285,0.40178548490687227
26,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 53.0, :p50 => 30.5, :p90 => 62.2, :p99 => 79.07999999999998, :p95 => 68.84999999999998)",6.5481181396049,0,39,26.0,0.25,0.3882309582309582
27,50,3.8011194565385535,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 54.0, :p50 => 31.5, :p90 => 64.2, :p99 => 81.58999999999997, :p95 => 70.84999999999998)",5.483522145938553,0,41,27.0,0.2222222222222222,0.3848751486325803
28,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 52.75, :p50 => 31.5, :p90 => 66.4, :p99 => 84.09999999999998, :p95 => 74.38)",5.598255405244686,0,42,29.4,0.2,0.381335636154289
29,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 53.75, :p50 => 33.0, :p90 => 68.4, :p99 => 86.60999999999999, :p95 => 76.38)",5.784081484813607,0,43,29.4,0.2,0.3798212290502794
30,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 15.25, :p75 => 55.5, :p50 => 33.5, :p90 => 70.4, :p99 => 88.60999999999999, :p95 => 78.83)",6.018688735337649,0,43,30.4,0.18181818181818182,0.3866958424507658
31,50,3.8011194565385535,0.0,0.0,"Dict(:p25 => 15.25, :p75 => 57.25, :p50 => 35.0, :p90 => 73.30000000000001, :p99 => 90.60999999999999, :p95 => 82.33000000000001)",5.482787973917714,0,44,23.599999999999998,0.1,0.3968102893890677
32,50,3.7733935693161555,0.0,0.0,"Dict(:p25 => 15.0, :p75 => 58.25, :p50 => 36.0, :p90 => 76.2, :p99 => 92.60999999999999, :p95 => 84.88)",5.602473547799073,0,45,23.599999999999998,0.1,0.3965409921671017
33,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 11.0, :p75 => 59.5, :p50 => 38.0, :p90 => 78.30000000000001, :p99 => 99.33599999999998, :p95 => 87.64999999999999)",5.062165454769358,0,45,12.600000000000001,0.14285714285714285,0.41032396525293824
34,50,3.7456676820937576,0.0,0.0,"Dict(:p25 => 13.5, :p75 => 60.5, :p50 => 40.0, :p90 => 78.60000000000001, :p99 => 101.84599999999999, :p95 => 89.64999999999999)",4.971196113807518,0,47,15.7,0.0,0.3966488519398259
35,50,3.7456676820937576,0.0,0.0,"Dict(:p25 => 14.0, :p75 => 62.0, :p50 => 41.5, :p90 => 80.70000000000002, :p99 => 104.356, :p95 => 90.55)",4.97474048359994,0,48,16.7,0.0,0.389687680740312
36,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 63.75, :p50 => 43.0, :p90 => 82.70000000000002, :p99 => 105.37599999999998, :p95 => 92.55)",4.866851110510721,0,48,16.8,0.0,0.3945533604310425
37,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.0, :p75 => 65.75, :p50 => 44.5, :p90 => 84.70000000000002, :p99 => 107.88599999999998, :p95 => 94.55)",4.965476581946784,0,48,15.799999999999999,0.0,0.39897815623843
38,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 18.25, :p75 => 67.75, :p50 => 46.0, :p90 => 86.70000000000002, :p99 => 109.356, :p95 => 96.55)",5.022971216974921,0,49,15.34,0.0,0.39523811239193063
39,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 19.25, :p75 => 69.0, :p50 => 47.0, :p90 => 88.80000000000001, :p99 => 110.33599999999998, :p95 => 98.55)",4.83153247788159,0,51,15.34,0.0,0.38343319697101563
40,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 16.25, :p75 => 70.75, :p50 => 48.0, :p90 => 91.80000000000001, :p99 => 112.826, :p95 => 100.55)",4.601805628697574,0,51,14.34,0.0,0.3911534319172574
