time,nagents,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_gini_coefficient
0,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,0.0,0.0,0.23110204081632646
1,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 23.0, :p99 => 24.0, :p95 => 23.549999999999997)",22.78728712621092,0,0,0.0,0.0,0.25712230215827336
2,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 9.0, :p75 => 18.75, :p50 => 12.0, :p90 => 24.0, :p99 => 25.0, :p95 => 24.549999999999997)",9.423772737435378,0,1,0.0,0.0,0.2866074074074074
3,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 25.0, :p99 => 27.509999999999998, :p95 => 26.549999999999997)",8.299203899177849,0,3,0.0,0.0,0.31317919075144496
4,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 21.0, :p50 => 14.5, :p90 => 26.1, :p99 => 30.019999999999996, :p95 => 28.549999999999997)",7.311583920056274,0,6,0.0,0.0,0.31509433962264155
5,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 9.0, :p75 => 21.0, :p50 => 15.0, :p90 => 27.200000000000003, :p99 => 32.529999999999994, :p95 => 30.549999999999997)",6.29656398604165,0,9,0.0,0.0,0.3121717171717171
6,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 8.0, :p75 => 22.75, :p50 => 15.5, :p90 => 30.1, :p99 => 35.03999999999999, :p95 => 32.55)",5.3956428915687775,0,12,0.0,0.0,0.32643902439024397
7,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 25.0, :p50 => 16.5, :p90 => 33.0, :p99 => 37.03999999999999, :p95 => 34.55)",4.7627367139081285,0,13,0.0,0.0,0.354443141852286
8,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 27.5, :p50 => 17.0, :p90 => 35.0, :p99 => 39.54999999999999, :p95 => 36.55)",6.086754124063189,0,16,0.0,0.0,0.3522332233223322
9,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 29.5, :p50 => 17.5, :p90 => 37.1, :p99 => 42.05999999999999, :p95 => 38.55)",6.260826457843412,0,18,0.0,0.0,0.3538333333333332
10,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 9.25, :p75 => 31.25, :p50 => 17.5, :p90 => 38.2, :p99 => 45.05999999999999, :p95 => 41.0)",6.31570661457521,0,18,0.0,0.0,0.3835102040816327
11,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 9.25, :p75 => 31.75, :p50 => 19.0, :p90 => 39.300000000000004, :p99 => 48.05999999999999, :p95 => 43.55)",7.586646512897444,0,20,0.0,0.0,0.3836398838334947
12,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 9.25, :p75 => 33.75, :p50 => 19.0, :p90 => 41.2, :p99 => 50.05999999999999, :p95 => 45.55)",9.531375181843133,0,21,0.0,0.0,0.3998499061913696
