time,nagents,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_gini_coefficient,calculate_cultural_diversity_diversity_ratio,calculate_cultural_diversity_max_possible,calculate_cultural_diversity_unique_cultures,calculate_cultural_initiation_by_tribe_blue_initiated_transmissions,calculate_cultural_initiation_by_tribe_blue_transmission_rate,calculate_cultural_initiation_by_tribe_red_initiated_transmissions,calculate_cultural_initiation_by_tribe_red_transmission_rate,calculate_cultural_initiation_by_tribe_total_transmissions,calculate_credit_network_metrics_avg_degree,calculate_credit_network_metrics_density,calculate_credit_network_metrics_max_degree,calculate_credit_network_metrics_n_edges,calculate_credit_network_metrics_n_nodes
0,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,0.0,0.0,0.23110204081632646,0.02392578125,2048.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,0.0,0.0,0.2610510948905109,0.02392578125,2048.0,49.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0
2,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 8.0, :p75 => 18.75, :p50 => 12.0, :p90 => 23.0, :p99 => 25.529999999999994, :p95 => 24.0)",10.788741200438297,0,1,0.0,0.0,0.30018547140649154,0.02392578125,2048.0,49.0,1.0,0.3333333333333333,2.0,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,50.0
3,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.1, :p99 => 27.529999999999994, :p95 => 26.0)",7.532622407904838,0,4,0.0,0.0,0.32171253822629975,0.02392578125,2048.0,49.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,50.0
4,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 11.5, :p90 => 25.0, :p99 => 29.529999999999994, :p95 => 28.0)",5.465432604881165,0,7,0.0,0.0,0.3447488584474885,0.0244140625,2048.0,50.0,4.0,0.5,4.0,0.5,8.0,0.0,0.0,0.0,0.0,50.0
5,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 6.25, :p75 => 20.75, :p50 => 11.5, :p90 => 25.1, :p99 => 32.019999999999996, :p95 => 30.0)",8.76010437464386,0,11,0.0,0.0,0.3502608695652174,0.02392578125,2048.0,49.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0
6,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 11.5, :p90 => 26.1, :p99 => 34.529999999999994, :p95 => 32.0)",6.174460450605707,0,14,0.0,0.0,0.35080932784636487,0.02392578125,2048.0,49.0,6.0,0.75,2.0,0.25,8.0,0.0,0.0,0.0,0.0,50.0
7,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 7.25, :p75 => 23.0, :p50 => 11.0, :p90 => 28.1, :p99 => 37.529999999999994, :p95 => 33.55)",5.637435545174144,0,16,0.0,0.0,0.3592207792207791,0.02392578125,2048.0,49.0,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,0.0,0.0,0.0,0.0,50.0
8,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 7.0, :p75 => 25.0, :p50 => 14.0, :p90 => 30.1, :p99 => 40.03999999999999, :p95 => 35.099999999999994)",6.322446242734717,0,19,0.0,0.0,0.35238554216867457,0.02392578125,2048.0,49.0,3.0,0.42857142857142855,4.0,0.5714285714285714,7.0,0.0,0.0,0.0,0.0,50.0
9,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 6.5, :p75 => 26.0, :p50 => 15.0, :p90 => 32.1, :p99 => 42.54999999999999, :p95 => 37.099999999999994)",5.3799871238616355,0,20,0.0,0.0,0.3636004645760744,0.02392578125,2048.0,49.0,3.0,0.3333333333333333,6.0,0.6666666666666666,9.0,0.0,0.0,0.0,0.0,50.0
10,50,3.912023005428145,0.0,0.0,"Dict(:p25 => 5.5, :p75 => 26.0, :p50 => 15.0, :p90 => 34.1, :p99 => 45.03999999999999, :p95 => 38.64999999999999)",5.623323147343145,0,20,0.0,0.0,0.38828375286041195,0.0244140625,2048.0,50.0,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0,0.0,0.0,0.0,0.0,50.0
11,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 9.0, :p75 => 26.75, :p50 => 15.0, :p90 => 36.1, :p99 => 48.03999999999999, :p95 => 40.19999999999999)",5.698090459883051,0,22,0.0,0.0,0.38555314533622553,0.02392578125,2048.0,49.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,50.0
12,50,3.884297118205747,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 27.75, :p50 => 15.5, :p90 => 39.0, :p99 => 50.54999999999999, :p95 => 41.749999999999986)",5.939135224821024,0,23,0.0,0.0,0.39129265770423993,0.02392578125,2048.0,49.0,4.0,0.36363636363636365,7.0,0.6363636363636364,11.0,0.0,0.0,0.0,0.0,50.0
13,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 28.75, :p50 => 16.5, :p90 => 40.0, :p99 => 53.05999999999999, :p95 => 44.19999999999999)",5.413118838382441,0,24,0.0,0.0,0.3927667984189722,0.02392578125,2048.0,49.0,11.0,0.6875,5.0,0.3125,16.0,0.0,0.0,0.0,0.0,50.0
14,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 11.0, :p75 => 29.75, :p50 => 18.5, :p90 => 42.0, :p99 => 55.54999999999999, :p95 => 46.099999999999994)",5.866269979223941,0,28,0.0,0.0,0.3588817598533456,0.0234375,2048.0,48.0,6.0,0.46153846153846156,7.0,0.5384615384615384,13.0,0.0,0.0,0.0,0.0,50.0
15,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 10.0, :p75 => 31.0, :p50 => 20.0, :p90 => 43.1, :p99 => 58.03999999999999, :p95 => 48.55)",6.079161135262362,0,29,0.0,0.0,0.3622456140350876,0.0234375,2048.0,48.0,5.0,0.4166666666666667,7.0,0.5833333333333334,12.0,0.0,0.0,0.0,0.0,50.0
16,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 10.25, :p75 => 32.75, :p50 => 19.5, :p90 => 45.1, :p99 => 59.05999999999999, :p95 => 51.0)",6.414894828755245,0,29,0.0,0.0,0.381343669250646,0.0234375,2048.0,48.0,6.0,0.6,4.0,0.4,10.0,0.0,0.0,0.0,0.0,50.0
