time,nagents,births,deaths_age,deaths_starvation,combat_kills,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_credit_network_metrics,calculate_factional_clustering,calculate_decision_entropy,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_cultural_initiation_by_tribe,calculate_cultural_entropy,calculate_cultural_diversity,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_trait_summary_stats,calculate_trait_similarity_metrics,count_red_tribe,count_blue_tribe,calculate_tribe_proportions
0,50,0,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",0.0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(""mean_extraversion"" => 2.9868, ""std_agreeableness"" => 0.6454242395352005, ""std_extraversion"" => 0.8343724025412448, ""mean_openness"" => 3.9454000000000002, ""std_conscientiousness"" => 0.6699122391502229, ""mean_agreeableness"" => 3.863000000000001, ""std_neuroticism"" => 0.8925367653777743, ""std_openness"" => 0.5468768842533136, ""mean_conscientiousness"" => 3.5218000000000003, ""mean_neuroticism"" => 3.011600000000001)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)"
1,44,0,0,0,6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 44, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 6, ""red_initiated_attacks"" => 4, ""red_attack_rate"" => 0.6666666666666666, ""blue_attack_rate"" => 0.3333333333333333, ""blue_initiated_attacks"" => 2)",0.0,0.2748114331083764,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.700000000000003, :p99 => 37.71, :p95 => 25.0)",6.30518716558813,1.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 2)",3.7841896339182655,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,"Dict(""mean_extraversion"" => 3.0472727272727282, ""std_agreeableness"" => 0.6801586604481809, ""std_extraversion"" => 0.7755758959648572, ""mean_openness"" => 3.9450000000000003, ""std_conscientiousness"" => 0.6688998888554119, ""mean_agreeableness"" => 3.8556818181818184, ""std_neuroticism"" => 0.8888153980660572, ""std_openness"" => 0.5784964472966828, ""mean_conscientiousness"" => 3.5290909090909084, ""mean_neuroticism"" => 2.994545454545455)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",27,17,"Dict(""blue_proportion"" => 0.38636363636363635, ""red_proportion"" => 0.6136363636363636)"
2,38,0,0,1,11,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 38, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 5, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.2, ""blue_attack_rate"" => 0.8, ""blue_initiated_attacks"" => 4)",0.0,0.32958570134255827,"Dict(:p25 => 10.25, :p75 => 22.0, :p50 => 12.5, :p90 => 34.0, :p99 => 40.889999999999986, :p95 => 36.449999999999996)",2.953155796096962,2.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,"Dict(""mean_extraversion"" => 2.937105263157895, ""std_agreeableness"" => 0.6293891120273284, ""std_extraversion"" => 0.6847130308137453, ""mean_openness"" => 3.900263157894738, ""std_conscientiousness"" => 0.6548942559577741, ""mean_agreeableness"" => 3.8686842105263155, ""std_neuroticism"" => 0.9314720145007087, ""std_openness"" => 0.5873784490341455, ""mean_conscientiousness"" => 3.5199999999999996, ""mean_neuroticism"" => 3.0436842105263158)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",23,15,"Dict(""blue_proportion"" => 0.39473684210526316, ""red_proportion"" => 0.6052631578947368)"
3,37,0,0,1,12,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 37, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",0.0,0.3880117741503881,"Dict(:p25 => 9.0, :p75 => 23.0, :p50 => 12.0, :p90 => 34.400000000000034, :p99 => 44.64, :p95 => 40.000000000000014)",3.21624304303568,3.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 1)",3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,"Dict(""mean_extraversion"" => 2.9602702702702706, ""std_agreeableness"" => 0.6343259173085783, ""std_extraversion"" => 0.6788940617998857, ""mean_openness"" => 3.8764864864864874, ""std_conscientiousness"" => 0.6639255584379525, ""mean_agreeableness"" => 3.8797297297297293, ""std_neuroticism"" => 0.9269862207462707, ""std_openness"" => 0.5766436229317619, ""mean_conscientiousness"" => 3.52027027027027, ""mean_neuroticism"" => 3.014864864864865)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",22,15,"Dict(""blue_proportion"" => 0.40540540540540543, ""red_proportion"" => 0.5945945945945946)"
4,32,0,0,3,15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 32, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)",0.0,0.471280809859155,"Dict(:p25 => 6.75, :p75 => 21.25, :p50 => 12.0, :p90 => 29.800000000000004, :p99 => 81.49000000000002, :p95 => 52.15000000000008)",2.4557069972019323,4.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 2)",3.4657359027997248,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,"Dict(""mean_extraversion"" => 2.9881250000000006, ""std_agreeableness"" => 0.5732926967344275, ""std_extraversion"" => 0.6962407699046496, ""mean_openness"" => 3.900000000000001, ""std_conscientiousness"" => 0.6803502863207851, ""mean_agreeableness"" => 3.9600000000000004, ""std_neuroticism"" => 0.9410186656130994, ""std_openness"" => 0.5932850046766676, ""mean_conscientiousness"" => 3.5740624999999993, ""mean_neuroticism"" => 2.965)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",21,11,"Dict(""blue_proportion"" => 0.34375, ""red_proportion"" => 0.65625)"
5,29,0,0,6,15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 29, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",0.0,0.4717292089249492,"Dict(:p25 => 8.0, :p75 => 27.0, :p50 => 12.0, :p90 => 32.400000000000034, :p99 => 82.84000000000005, :p95 => 57.000000000000036)",1.9973012877500051,5.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 1)",3.367295829986472,"Dict{String, Real}(""unique_cultures"" => 29, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01416015625)",0.0,0.0,"Dict(""mean_extraversion"" => 2.948275862068966, ""std_agreeableness"" => 0.5724450626511635, ""std_extraversion"" => 0.7145331591101844, ""mean_openness"" => 3.8510344827586214, ""std_conscientiousness"" => 0.6952383792203124, ""mean_agreeableness"" => 3.921724137931035, ""std_neuroticism"" => 0.9821402686934094, ""std_openness"" => 0.5873265386939255, ""mean_conscientiousness"" => 3.5772413793103444, ""mean_neuroticism"" => 2.9493103448275857)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",20,9,"Dict(""blue_proportion"" => 0.3103448275862069, ""red_proportion"" => 0.6896551724137931)"
6,23,0,0,9,18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 23, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 3)",0.0,0.4996230208595125,"Dict(:p25 => 7.5, :p75 => 26.0, :p50 => 15.0, :p90 => 42.800000000000004, :p99 => 92.56, :p95 => 86.3000000000001)",1.9213837538098433,6.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",3.1354942159291497,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,"Dict(""mean_extraversion"" => 3.0008695652173913, ""std_agreeableness"" => 0.6126592718625986, ""std_extraversion"" => 0.6808878765224543, ""mean_openness"" => 3.8769565217391313, ""std_conscientiousness"" => 0.7363278183842317, ""mean_agreeableness"" => 3.9182608695652177, ""std_neuroticism"" => 1.0579028774059156, ""std_openness"" => 0.5657531969347563, ""mean_conscientiousness"" => 3.508260869565217, ""mean_neuroticism"" => 2.943043478260869)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",14,9,"Dict(""blue_proportion"" => 0.391304347826087, ""red_proportion"" => 0.6086956521739131)"
7,20,0,0,10,20,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 20, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)",0.0,0.5723552894211577,"Dict(:p25 => 6.75, :p75 => 25.0, :p50 => 13.5, :p90 => 58.800000000000054, :p99 => 116.49000000000007, :p95 => 94.45000000000002)",1.1635776495561587,7.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",2.995732273553991,"Dict{String, Real}(""unique_cultures"" => 20, ""max_possible"" => 2048, ""diversity_ratio"" => 0.009765625)",0.0,0.0,"Dict(""mean_extraversion"" => 2.931, ""std_agreeableness"" => 0.5938941514764182, ""std_extraversion"" => 0.6576825341982815, ""mean_openness"" => 3.8355000000000006, ""std_conscientiousness"" => 0.7094408472800772, ""mean_agreeableness"" => 3.8305000000000007, ""std_neuroticism"" => 1.1048367347831607, ""std_openness"" => 0.5892856960583274, ""mean_conscientiousness"" => 3.4530000000000007, ""mean_neuroticism"" => 2.893)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",13,7,"Dict(""blue_proportion"" => 0.35, ""red_proportion"" => 0.65)"
8,17,0,0,12,21,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 17, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",0.0,0.5948298601951991,"Dict(:p25 => 6.0, :p75 => 24.0, :p50 => 14.0, :p90 => 52.0, :p99 => 152.07999999999998, :p95 => 80.40000000000032)",1.369463804450215,8.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",2.833213344056216,"Dict{String, Real}(""unique_cultures"" => 17, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00830078125)",0.0,0.0,"Dict(""mean_extraversion"" => 2.9800000000000004, ""std_agreeableness"" => 0.5794603219426525, ""std_extraversion"" => 0.6748055275410835, ""mean_openness"" => 3.7429411764705875, ""std_conscientiousness"" => 0.6853466276272175, ""mean_agreeableness"" => 3.8735294117647054, ""std_neuroticism"" => 1.1034108215784684, ""std_openness"" => 0.5702933971417952, ""mean_conscientiousness"" => 3.49, ""mean_neuroticism"" => 2.748235294117647)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",11,6,"Dict(""blue_proportion"" => 0.35294117647058826, ""red_proportion"" => 0.6470588235294118)"
9,16,0,0,13,21,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 16, ""max_degree"" => 0)","Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)",0.0,0.6017212189616252,"Dict(:p25 => 5.0, :p75 => 25.25, :p50 => 14.5, :p90 => 55.5, :p99 => 155.34999999999997, :p95 => 88.7500000000002)",1.3070283064433759,9.0,0.0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)",2.772588722239781,"Dict{String, Real}(""unique_cultures"" => 16, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0078125)",0.0,0.0,"Dict(""mean_extraversion"" => 2.9331250000000004, ""std_agreeableness"" => 0.5533534132902769, ""std_extraversion"" => 0.6677396573515759, ""mean_openness"" => 3.7131249999999993, ""std_conscientiousness"" => 0.7073224158755328, ""mean_agreeableness"" => 3.82, ""std_neuroticism"" => 1.0925015255519477, ""std_openness"" => 0.5751488937657795, ""mean_conscientiousness"" => 3.4962500000000003, ""mean_neuroticism"" => 2.824375)","Dict{String, Real}(""count"" => 0, ""avg_similarity"" => 0.0)",10,6,"Dict(""blue_proportion"" => 0.375, ""red_proportion"" => 0.625)"
