time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
0;50;0;0;0;0;0.0;0.0;0.0;0.23110204081632646;9.797632143947327;0.0;0.0;3.884297118205747;0.0;0.0;29;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02392578125
1;44;0;0;0;6;0.0;0.0;0.0;0.2748114331083764;6.30518716558813;1.0;0.0;3.7841896339182655;0.0;0.0;27;17;0.3333333333333333;2.0;0.6666666666666666;4.0;6.0;1.0;1.0;2.0;0.021484375
2;38;0;0;1;11;0.0;0.0;0.0;0.32958570134255827;2.953155796096962;2.0;0.0;3.637586159726386;0.0;0.0;23;15;0.8;4.0;0.2;1.0;5.0;0.0;0.0;0.0;0.0185546875
3;37;0;0;1;12;0.0;0.0;0.0;0.3880117741503881;3.21624304303568;3.0;0.0;3.610917912644226;0.0;0.0;22;15;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.01806640625
4;32;0;0;3;15;0.0;0.0;0.0;0.471280809859155;2.4557069972019323;4.0;0.0;3.4657359027997248;0.0;0.0;21;11;0.5;1.0;0.5;1.0;2.0;2.0;0.0;2.0;0.015625
5;29;0;0;6;15;0.0;0.0;0.0;0.4717292089249492;1.9973012877500051;5.0;0.0;3.367295829986472;0.0;0.0;20;9;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.01416015625
6;23;0;0;9;18;0.0;0.0;0.0;0.4996230208595125;1.9213837538098433;6.0;0.0;3.1354942159291497;0.0;0.0;14;9;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.01123046875
7;20;0;0;10;20;0.0;0.0;0.0;0.5723552894211577;1.1635776495561587;7.0;0.0;2.995732273553991;0.0;0.0;13;7;0.5;1.0;0.5;1.0;2.0;0.0;0.0;0.0;0.009765625
8;17;0;0;12;21;0.0;0.0;0.0;0.5948298601951991;1.369463804450215;8.0;0.0;2.833213344056216;0.0;0.0;11;6;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.00830078125
9;16;0;0;13;21;0.0;0.0;0.0;0.6017212189616252;1.3070283064433759;9.0;0.0;2.772588722239781;0.0;0.0;10;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0078125
10;16;0;0;13;21;0.0;0.0;0.0;0.6313775510204083;1.3621071555692192;10.0;0.0;2.772588722239781;0.0;0.0;10;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0078125
11;14;0;0;15;21;0.0;0.0;0.0;0.613244386592906;1.4156885888941424;11.0;0.0;2.6390573296152584;0.0;0.0;9;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0068359375
12;14;0;0;15;21;0.0;0.0;0.0;0.6357304826692582;1.4558753750438735;12.0;0.0;2.6390573296152584;0.0;0.0;9;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0068359375
13;13;0;0;16;21;0.0;0.0;0.0;0.6327487411008856;1.4950019077462018;13.0;0.0;2.5649493574615376;0.0;0.0;8;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00634765625
14;10;0;0;19;21;0.0;0.0;0.0;0.5460850111856823;1.5331252674598568;14.0;0.0;2.3025850929940455;0.0;0.0;6;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0048828125
15;8;0;0;20;22;0.0;0.0;0.0;0.5044444444444445;0.0;15.0;0.0;2.0794415416798357;0.0;0.0;5;3;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.00390625
