time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
0;50;0;0;0;0;0.0;0.0;0.0;0.23110204081632646;9.797632143947327;0.0;0.0;3.884297118205747;0.0;0.0;29;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02392578125
1;44;0;0;0;6;0.0;0.0;0.0;0.27024555903866254;6.383187157752858;1.0;0.0;3.7841896339182655;0.0;0.0;28;16;1.0;0.8333333333333334;5.0;6.0;0.0;0.0;0.0;0.021484375
2;40;0;0;1;9;0.0;0.0;0.0;0.31394736842105275;3.698648012267162;2.0;0.0;3.6888794541139402;0.0;0.0;24;16;3.0;0.0;0.0;3.0;2.0;0.0;2.0;0.01953125
3;38;0;0;1;11;0.0;0.0;0.0;0.3373131903833657;3.7218493542391626;3.0;0.0;3.637586159726386;0.0;0.0;22;16;2.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0185546875
4;34;0;0;3;13;0.0;0.0;0.0;0.384846246190784;2.6277867938570347;4.0;0.0;3.5263605246161633;0.0;0.0;20;14;2.0;0.0;0.0;2.0;3.0;0.0;3.0;0.0166015625
5;31;0;0;4;15;0.0;0.0;0.0;0.42699625621826764;2.6096091193389994;5.0;0.0;3.4339872044851467;0.0;0.0;17;14;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.01513671875
6;27;0;0;7;16;0.0;0.0;0.0;0.4303407407407407;1.9164161213209219;6.0;0.0;3.2958368660043296;0.0;0.0;13;14;1.0;0.0;0.0;1.0;2.0;0.0;2.0;0.01318359375
7;26;0;0;7;17;0.0;0.0;0.0;0.44619053442582857;1.9970800778744477;7.0;0.0;3.2580965380214835;0.0;0.0;12;14;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0126953125
8;24;0;0;8;18;0.0;0.0;0.0;0.45453354297693904;1.9642094820881915;8.0;0.0;3.178053830347946;0.0;0.0;10;14;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.01171875
9;21;0;0;9;20;0.0;0.0;0.0;0.48971101701210906;1.7598750736028308;9.0;0.0;3.0445224377234217;0.0;0.0;9;12;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.01025390625
10;20;0;0;9;21;0.0;0.0;0.0;0.5390432098765432;1.6018840047854852;10.0;0.0;2.995732273553991;0.0;0.0;9;11;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.009765625
11;18;0;0;11;21;0.0;0.0;0.0;0.505403579871665;1.6597019497680474;11.0;0.0;2.890371757896165;0.0;0.0;8;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0087890625
12;17;0;0;11;22;0.0;0.0;0.0;0.5077492074674181;1.6915963943825312;12.0;0.0;2.833213344056216;0.0;0.0;7;10;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.00830078125
13;16;0;0;12;22;0.0;0.0;0.0;0.4868759177679882;1.7492627079165355;13.0;0.0;2.772588722239781;0.0;0.0;6;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0078125
14;15;0;0;13;22;0.0;0.0;0.0;0.46081534772182264;1.80751357407913;14.0;0.0;2.70805020110221;0.0;0.0;5;10;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.00732421875
15;14;0;0;14;22;0.0;0.0;0.0;0.4273675762439808;1.922128907689403;15.0;0.0;2.6390573296152584;0.0;0.0;4;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0068359375
