time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions
0;50;0;0;0;0;0.0;0.0;0.0;0.23110204081632646;9.797632143947327;0.0;0.0;3.884297118205747;0.0;0.0;29;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;49;0;0;0;1;0.0;0.0;0.0;0.28158477467233234;9.324772583050407;1.0;0.0;3.8635285764551224;0.0;0.0;27;22;1.0;1.0;0.0;0.0;1.0;4.0;0.0;4.0
2;47;0;0;1;2;0.0;0.0;0.0;0.3183460457647531;7.693551312485913;2.0;0.0;3.820651977005379;0.0;0.0;27;20;0.0;0.0;1.0;1.0;1.0;2.0;1.0;3.0
3;43;0;0;3;4;0.0;0.0;0.0;0.38261072805889906;3.909876996043809;3.0;0.0;3.7289607119465913;0.0;0.0;24;19;1.0;2.0;0.0;0.0;2.0;1.0;1.0;2.0
4;39;0;0;7;4;0.0;0.0;0.0;0.3795405982905984;3.270123518236724;4.0;0.0;3.6280156368701584;0.0;0.0;23;16;0.0;0.0;0.0;0.0;0.0;4.0;1.0;5.0
5;34;0;0;9;7;0.0;0.0;0.0;0.4413899861214905;3.141696090602228;5.0;0.0;3.485587161053813;0.0;0.0;21;13;1.0;2.0;0.0;0.0;2.0;2.0;2.0;4.0
6;29;0;0;12;9;0.0;0.0;0.0;0.5020322538350597;2.2369712998227995;6.0;0.0;3.367295829986472;0.0;0.0;16;13;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0
7;26;0;0;14;10;0.0;0.0;0.0;0.5120053357047576;2.4654460499084547;7.0;0.0;3.2580965380214835;0.0;0.0;14;12;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0
8;23;0;0;16;11;0.0;0.0;0.0;0.5287160724921296;2.9859502736542973;8.0;0.0;3.1354942159291497;0.0;0.0;10;13;1.0;1.0;0.0;0.0;1.0;2.0;0.0;2.0
9;22;0;0;17;11;0.0;0.0;0.0;0.5362575168022639;3.3360076762388786;9.0;0.0;3.0910424533583143;0.0;0.0;9;13;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0
10;22;0;0;17;11;0.0;0.0;0.0;0.5600805745314417;3.7321569434931545;10.0;0.0;3.0910424533583143;0.0;0.0;9;13;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0
11;20;0;0;19;11;0.0;0.0;0.0;0.5431297709923664;3.8326278480036136;11.0;0.0;2.995732273553991;0.0;0.0;10;10;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
12;18;0;0;20;12;0.0;0.0;0.0;0.5863962822137727;2.6999546972609156;12.0;0.0;2.890371757896165;0.0;0.0;11;7;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0
13;15;0;0;22;13;0.0;0.0;0.0;0.5914141414141414;2.349562701835652;13.0;0.0;2.70805020110221;0.0;0.0;9;6;0.0;0.0;1.0;1.0;1.0;0.0;2.0;2.0
14;13;0;0;24;13;0.0;0.0;0.0;0.5386053199137313;2.4093107424726896;14.0;0.0;2.5649493574615376;0.0;0.0;8;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;12;0;0;25;13;0.0;0.0;0.0;0.5039975399753998;2.511599904005955;15.0;0.0;2.4849066497880012;0.0;0.0;7;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;12;0;0;25;13;0.0;0.0;0.0;0.5051515151515151;2.6193529894293017;16.0;0.0;2.4849066497880012;0.0;0.0;7;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;11;0;0;25;14;0.0;0.0;0.0;0.550359712230216;2.385984653997883;17.0;0.0;2.3978952727983707;0.0;0.0;7;4;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
18;11;0;0;25;14;0.0;0.0;0.0;0.5529087668125101;2.487155481396749;18.0;0.0;2.3978952727983707;0.0;0.0;7;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;11;0;0;25;14;4.0;0.0;0.0;0.5483558994197293;2.6794509630521963;19.0;0.0;2.3978952727983707;0.0;0.0;8;3;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
20;12;1;0;25;14;4.0;1.0;0.0;0.5654137529137531;2.878787853480099;18.333333333333332;0.08333333333333348;2.4849066497880012;0.0;0.0;9;3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
21;12;1;0;25;14;4.0;1.0;0.0;0.5685344827586207;2.9462586315653625;19.333333333333332;0.07902298850574718;2.3693821196946767;0.0;0.0;9;3;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0
22;12;1;0;25;14;4.0;1.0;0.0;0.5718537414965987;3.015259562667466;20.333333333333332;0.07513661202185795;2.2538575896013526;0.0;0.0;9;3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
23;12;1;0;25;14;4.0;1.0;0.0;0.5784231200897869;3.08582388974345;21.333333333333332;0.07161458333333348;2.2102535776209735;0.0;0.0;9;3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
24;11;2;0;26;15;4.0;1.0;0.0;0.5434874244766055;2.402951913742801;20.0;0.16528925619834722;2.0982737395252498;0.0;0.0;9;2;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
25;9;2;0;27;16;4.0;1.0;0.0;0.5428138643856366;0.0;22.77777777777778;0.08672086720867211;1.8310204811135165;0.0;0.0;8;1;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
26;9;2;0;27;16;4.0;1.0;0.0;0.5426233834784904;0.0;23.77777777777778;0.08307372793354095;1.8891591637540217;0.0;0.0;8;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
27;9;2;0;27;16;4.0;1.0;0.0;0.5434422657952069;0.0;24.77777777777778;0.07972097658196309;1.8891591637540217;0.0;0.0;8;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;9;2;0;27;16;4.0;1.0;0.0;0.5426316245988376;0.0;25.77777777777778;0.07662835249042144;1.8891591637540217;0.0;0.0;8;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;9;2;0;27;16;0.0;0.0;0.0;0.5527970530283559;0.0;26.77777777777778;0.07376671277086211;1.8891591637540217;0.0;0.0;8;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;9;2;0;27;16;0.0;0.0;0.0;0.5524921722941525;0.0;27.77777777777778;0.07111111111111112;1.8310204811135162;0.0;0.0;7;2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
31;8;2;0;27;17;0.0;0.0;0.0;0.5034202569916857;0.0;28.5;0.07675438596491224;1.3862943611198906;0.0;0.0;7;1;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0
32;8;2;0;27;17;0.0;0.0;0.0;0.5030059746079165;0.0;29.5;0.07415254237288127;1.3862943611198906;0.0;0.0;7;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;8;2;0;27;17;0.0;0.0;0.0;0.5026014760147601;0.0;30.5;0.07172131147540983;1.3862943611198906;0.0;0.0;7;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;8;2;0;27;17;0.0;0.0;0.0;0.5022064186725019;0.0;31.5;0.06944444444444442;1.3862943611198906;0.0;0.0;7;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;8;2;0;27;17;0.0;0.0;0.0;0.5018204758471523;0.0;32.5;0.06730769230769229;1.3862943611198906;0.0;0.0;7;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;8;2;0;27;17;8.0;1.0;0.0;0.49289023521026376;0.0;33.5;0.06529850746268662;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
37;8;2;0;27;17;13.0;0.0;0.0;0.48727883934890315;0.0;34.5;0.06340579710144922;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
38;8;2;0;27;17;13.0;0.0;0.0;0.48707137858642424;0.0;35.5;0.06161971830985924;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;8;2;0;27;17;13.0;0.0;0.0;0.4868685121107268;0.0;36.5;0.05993150684931514;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;8;2;0;27;17;13.0;0.0;0.0;0.48667008898015074;0.0;37.5;0.05833333333333335;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;8;2;0;27;17;13.0;0.0;0.0;0.4864759647935004;0.0;38.5;0.05681818181818188;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;8;2;0;27;17;13.0;0.0;0.0;0.4862860013395849;0.0;39.5;0.05537974683544311;1.3862943611198906;0.0;0.0;6;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
