time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
0;50;0;0;0;0;0.0;0.0;0.0;0.23110204081632646;9.797632143947327;0.0;0.0;3.884297118205747;0.0;0.0;29;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02392578125
1;49;0;0;0;1;0.0;0.0;0.0;0.2754209555542333;10.705663560078506;1.0;0.0;3.8918202981106305;0.0;0.0;28;21;0.0;0.0;1.0;1.0;1.0;3.0;0.0;3.0;0.02392578125
2;46;0;0;1;3;0.0;0.0;0.0;0.34813517411910144;3.7385757399933706;2.0;0.0;3.8286413964890924;0.0;0.0;28;18;0.5;1.0;0.5;1.0;2.0;4.0;1.0;5.0;0.0224609375
3;43;0;0;4;3;0.0;0.0;0.0;0.36945296424273;3.506818222747257;3.0;0.0;3.7612001156935655;0.0;0.0;27;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02099609375
4;38;0;0;6;6;0.0;0.0;0.0;0.41680517082179125;2.964136645894912;4.0;0.0;3.637586159726386;0.0;0.0;24;14;0.3333333333333333;1.0;0.6666666666666666;2.0;3.0;2.0;2.0;4.0;0.0185546875
5;33;0;0;10;7;0.0;0.0;0.0;0.4383292383292383;2.7012787261378484;5.0;0.0;3.4965075614664793;0.0;0.0;22;11;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;0.01611328125
6;28;0;0;13;9;0.0;0.0;0.0;0.4929101510734162;1.648991233046062;6.0;0.0;3.332204510175204;0.0;0.0;19;9;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.013671875
7;26;0;0;14;10;0.0;0.0;0.0;0.5424303651320537;1.3315711417063585;7.0;0.0;3.2047775241322567;0.0;0.0;19;7;0.0;0.0;1.0;1.0;1.0;1.0;5.0;6.0;0.01220703125
8;24;0;0;16;10;0.0;0.0;0.0;0.5455827067669172;1.3852573875961915;8.0;0.0;3.120291565301284;0.0;0.0;17;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01123046875
9;22;0;0;18;10;0.0;0.0;0.0;0.5288948969246368;1.4377195201853215;9.0;0.0;3.0280290733074104;0.0;0.0;15;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.01025390625
