time,nagents,births,deaths_age,deaths_starvation,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_decision_entropy
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0.0
1,50,0,0,0,0.258075801749271,"Dict(:p25 => 8.25, :p75 => 19.0, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,0.0
2,49,0,0,1,0.2932799287939474,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 26.039999999999992, :p95 => 24.0)",9.769927195061701,2.0,0.0,0.0
3,47,0,0,3,0.3278433590160459,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 22.200000000000017, :p99 => 27.54, :p95 => 26.0)",8.184228109974695,3.0,0.0,0.0
4,44,0,0,6,0.34582942830365515,"Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 11.5, :p90 => 24.400000000000006, :p99 => 30.0, :p95 => 28.0)",5.1478752978809315,4.0,0.0,0.0
5,40,0,0,10,0.3419284467713788,"Dict(:p25 => 8.0, :p75 => 20.25, :p50 => 13.0, :p90 => 26.400000000000006, :p99 => 32.61, :p95 => 30.099999999999994)",3.958444291854757,5.0,0.0,0.0
6,36,0,0,14,0.3295035873569907,"Dict(:p25 => 8.0, :p75 => 21.25, :p50 => 14.5, :p90 => 30.0, :p99 => 35.3, :p95 => 32.5)",4.2749728312378,6.0,0.0,0.0
7,35,0,0,15,0.3496086105675147,"Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 17.0, :p90 => 32.800000000000004, :p99 => 37.97999999999999, :p95 => 34.599999999999994)",4.412486856160737,7.0,0.0,0.0
8,33,0,0,17,0.3525984976237928,"Dict(:p25 => 8.0, :p75 => 25.0, :p50 => 16.0, :p90 => 34.8, :p99 => 40.72, :p95 => 36.800000000000004)",8.429289217510668,8.0,0.0,0.0
9,32,0,0,18,0.3608788743882545,"Dict(:p25 => 8.0, :p75 => 28.0, :p50 => 18.5, :p90 => 36.900000000000006, :p99 => 43.760000000000005, :p95 => 39.35000000000001)",8.328071100256508,9.0,0.0,0.0
