time,nagents,births,deaths_age,deaths_starvation,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_decision_entropy
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0.0
1,50,0,0,0,0.2600580551523948,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,1.0,0.0,0.0
2,49,0,0,1,0.29397771378490045,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.6)",7.907866854153609,2.0,0.0,0.0
3,47,0,0,3,0.32898723404255326,"Dict(:p25 => 7.5, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.54, :p95 => 26.700000000000003)",7.5669521635601935,3.0,0.0,0.0
4,44,0,0,6,0.3453873712494402,"Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 26.700000000000003, :p99 => 31.0, :p95 => 28.85)",4.697628882841127,4.0,0.0,0.0
5,41,0,0,9,0.3565853658536584,"Dict(:p25 => 8.0, :p75 => 20.0, :p50 => 13.0, :p90 => 29.0, :p99 => 33.599999999999994, :p95 => 31.0)",4.199628573853255,5.0,0.0,0.0
6,38,0,0,12,0.3628070175438596,"Dict(:p25 => 8.0, :p75 => 22.75, :p50 => 13.5, :p90 => 31.300000000000004, :p99 => 36.25999999999999, :p95 => 33.3)",6.977276501347133,6.0,0.0,0.0
7,37,0,0,13,0.3881418364176985,"Dict(:p25 => 7.0, :p75 => 24.0, :p50 => 15.0, :p90 => 34.0, :p99 => 38.92, :p95 => 35.400000000000006)",5.830422693875749,7.0,0.0,0.0
8,34,0,0,16,0.3794022463354274,"Dict(:p25 => 7.0, :p75 => 28.0, :p50 => 16.5, :p90 => 36.7, :p99 => 41.67999999999998, :p95 => 37.7)",13.234042193193863,8.0,0.0,0.0
9,33,0,0,17,0.3894606441776254,"Dict(:p25 => 6.0, :p75 => 31.0, :p50 => 17.0, :p90 => 38.8, :p99 => 44.4, :p95 => 40.400000000000006)",12.561468500831104,9.0,0.0,0.0
10,32,0,0,18,0.3977446483180429,"Dict(:p25 => 6.5, :p75 => 32.25, :p50 => 18.5, :p90 => 40.900000000000006, :p99 => 47.14, :p95 => 43.0)",12.027330432573597,10.0,0.0,0.0
11,30,0,0,20,0.38130563798219574,"Dict(:p25 => 12.25, :p75 => 34.5, :p50 => 20.5, :p90 => 43.2, :p99 => 49.970000000000006, :p95 => 45.0)",12.1070725627763,11.0,0.0,0.0
12,29,0,0,21,0.37762584225128815,"Dict(:p25 => 12.0, :p75 => 37.0, :p50 => 23.0, :p90 => 45.400000000000006, :p99 => 52.76000000000002, :p95 => 47.0)",13.24389842624103,12.0,0.0,0.0
13,28,0,0,22,0.3696082311040758,"Dict(:p25 => 12.0, :p75 => 40.25, :p50 => 25.0, :p90 => 47.599999999999994, :p99 => 55.84, :p95 => 49.650000000000006)",12.504116047436865,13.0,0.0,0.0
14,26,0,0,24,0.3336243196056279,"Dict(:p25 => 14.25, :p75 => 45.5, :p50 => 28.5, :p90 => 50.00000000000001, :p99 => 59.0, :p95 => 52.5)",11.904544648839552,14.0,0.0,0.0
15,25,0,0,25,0.3147490347490347,"Dict(:p25 => 19.0, :p75 => 49.0, :p50 => 31.0, :p90 => 52.2, :p99 => 61.84000000000002, :p95 => 54.60000000000001)",11.897912300559431,15.0,0.0,0.0
16,25,0,0,25,0.3204962779156326,"Dict(:p25 => 19.0, :p75 => 51.0, :p50 => 32.0, :p90 => 54.2, :p99 => 64.60000000000001, :p95 => 56.599999999999994)",14.52638191092683,16.0,0.0,0.0
17,25,0,0,25,0.3266985645933014,"Dict(:p25 => 19.0, :p75 => 53.0, :p50 => 33.0, :p90 => 56.6, :p99 => 67.60000000000002, :p95 => 59.400000000000006)",13.092089008236588,17.0,0.0,0.0
18,26,1,0,25,0.3319253001333926,"Dict(:p25 => 15.25, :p75 => 53.5, :p50 => 32.0, :p90 => 58.00000000000001, :p99 => 62.75, :p95 => 61.250000000000014)",17.274077337696358,17.307692307692307,0.038461538461538325,0.0
19,28,3,0,25,0.34141583054626534,"Dict(:p25 => 14.0, :p75 => 45.75, :p50 => 32.0, :p90 => 58.3, :p99 => 64.65, :p95 => 60.30000000000001)",18.77553548065921,17.0,0.10519207683073217,0.0
20,28,3,0,25,0.3401451489686782,"Dict(:p25 => 17.0, :p75 => 47.75, :p50 => 33.5, :p90 => 60.3, :p99 => 67.38000000000001, :p95 => 62.3)",14.676201238152963,18.0,0.09934807256235811,0.0
21,31,6,0,25,0.36155636847356165,"Dict(:p25 => 12.75, :p75 => 47.5, :p50 => 29.0, :p90 => 60.00000000000001, :p99 => 64.4, :p95 => 62.5)",10.347102855293882,17.161290322580644,0.18178510793111813,0.0
22,32,7,0,25,0.3605364222001983,"Dict(:p25 => 14.375, :p75 => 45.0, :p50 => 28.0, :p90 => 61.60000000000001, :p99 => 66.07000000000001, :p95 => 63.45)",15.303281504015658,17.59375,0.19765763765541733,0.0
23,34,9,0,25,0.37450980392156863,"Dict(:p25 => 14.625, :p75 => 44.5, :p50 => 27.0, :p90 => 62.400000000000006, :p99 => 67.67999999999998, :p95 => 65.0)",13.357007429103446,17.5,0.23484923381117162,0.0
24,36,12,0,26,0.36723034734917737,"Dict(:p25 => 15.125, :p75 => 45.25, :p50 => 25.5, :p90 => 62.0, :p99 => 69.6, :p95 => 66.25)",6.1708809696636315,16.805555555555557,0.2928833792470158,0.0
25,38,15,0,27,0.3602046012127944,"Dict(:p25 => 14.25, :p75 => 40.5, :p50 => 22.0, :p90 => 59.55000000000001, :p99 => 70.77999999999997, :p95 => 66.15)",6.619903903774459,16.210526315789473,0.34039644565960336,0.0
26,41,18,0,27,0.3467192247680053,"Dict(:p25 => 15.5, :p75 => 39.0, :p50 => 23.0, :p90 => 56.5, :p99 => 72.19999999999996, :p95 => 61.0)",4.964913876073493,15.951219512195122,0.37032893264712463,0.0
27,44,21,0,27,0.34228151075977165,"Dict(:p25 => 15.25, :p75 => 38.25, :p50 => 22.5, :p90 => 57.85, :p99 => 73.56, :p95 => 60.425)",3.163281994514537,15.795454545454545,0.3929038587311968,0.0
28,45,23,0,28,0.32289094650205774,"Dict(:p25 => 15.5, :p75 => 39.0, :p50 => 23.0, :p90 => 59.400000000000006, :p99 => 68.89999999999999, :p95 => 61.4)",3.546828849846394,15.8,0.4045632130020316,0.0
29,46,24,0,28,0.3300673606858542,"Dict(:p25 => 15.875, :p75 => 39.75, :p50 => 24.0, :p90 => 60.25, :p99 => 70.32499999999999, :p95 => 63.125)",3.846376402333448,16.434782608695652,0.3939498504715895,0.0
30,47,26,0,29,0.30307396005520104,"Dict(:p25 => 17.25, :p75 => 41.0, :p50 => 25.0, :p90 => 52.400000000000034, :p99 => 71.77, :p95 => 63.400000000000006)",4.8900633114991905,16.425531914893618,0.4042001984345718,0.0
31,47,26,0,29,0.29688811694890727,"Dict(:p25 => 19.0, :p75 => 43.0, :p50 => 26.0, :p90 => 53.400000000000034, :p99 => 73.27000000000001, :p95 => 65.10000000000001)",4.743690380579557,17.425531914893618,0.381004338451147,0.0
32,47,26,0,29,0.29047844491478236,"Dict(:p25 => 21.0, :p75 => 43.5, :p50 => 28.0, :p90 => 55.60000000000002, :p99 => 74.81, :p95 => 66.20000000000002)",4.692570093375886,18.425531914893618,0.36032627389317495,0.0
33,49,28,0,29,0.28193262229514926,"Dict(:p25 => 21.5, :p75 => 41.0, :p50 => 29.0, :p90 => 56.60000000000001, :p99 => 72.45999999999995, :p95 => 64.2)",4.461486464171567,18.632653061224488,0.3686434047879832,0.0
