time,nagents,#77,#78,#79,#80,#81,#82,#83,#84,#85
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0.0
1,50,0,0,0,0.25712230215827336,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 23.0, :p99 => 24.0, :p95 => 23.549999999999997)",22.78728712621092,1.0,0.0,0.0
2,49,0,0,1,0.28749424581862826,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 25.0, :p95 => 24.6)",8.48139546369184,2.0,0.0,0.0
3,47,0,0,3,0.31622217106777617,"Dict(:p25 => 8.5, :p75 => 19.5, :p50 => 14.0, :p90 => 25.0, :p99 => 27.54, :p95 => 26.700000000000003)",8.05064051565075,3.0,0.0,0.0
4,44,0,0,6,0.3246500777604977,"Dict(:p25 => 8.75, :p75 => 21.0, :p50 => 14.0, :p90 => 26.700000000000003, :p99 => 30.14, :p95 => 28.85)",6.037129438662876,4.0,0.0,0.0
5,40,0,0,10,0.3063076923076924,"Dict(:p25 => 9.0, :p75 => 21.5, :p50 => 14.5, :p90 => 29.1, :p99 => 32.83, :p95 => 31.0)",8.128480756161794,5.0,0.0,0.0
6,38,0,0,12,0.3093990632690322,"Dict(:p25 => 9.0, :p75 => 23.0, :p50 => 17.0, :p90 => 31.300000000000004, :p99 => 35.51999999999998, :p95 => 33.0)",9.538495336063574,6.0,0.0,0.0
7,38,0,0,12,0.3424144060592007,"Dict(:p25 => 8.25, :p75 => 25.5, :p50 => 17.5, :p90 => 34.0, :p99 => 37.51999999999998, :p95 => 35.0)",13.23073933256476,7.0,0.0,0.0
8,37,0,0,13,0.35700456903895295,"Dict(:p25 => 8.0, :p75 => 29.0, :p50 => 19.0, :p90 => 36.0, :p99 => 39.56, :p95 => 36.2)",23.465798763099233,8.0,0.0,0.0
9,36,0,0,14,0.366035703293321,"Dict(:p25 => 8.25, :p75 => 31.0, :p50 => 20.5, :p90 => 38.0, :p99 => 42.24999999999999, :p95 => 39.0)",19.522320635903753,9.0,0.0,0.0
10,36,0,0,14,0.3906017277330951,"Dict(:p25 => 7.25, :p75 => 32.25, :p50 => 21.0, :p90 => 40.5, :p99 => 45.24999999999999, :p95 => 41.25)",17.01712276875082,10.0,0.0,0.0
11,34,0,0,16,0.3801375095492743,"Dict(:p25 => 8.25, :p75 => 34.5, :p50 => 23.0, :p90 => 42.7, :p99 => 48.34999999999997, :p95 => 44.35)",19.145060007789027,11.0,0.0,0.0
12,33,0,0,17,0.38094149037545266,"Dict(:p25 => 9.0, :p75 => 37.0, :p50 => 25.0, :p90 => 44.8, :p99 => 51.4, :p95 => 47.400000000000006)",12.592024842064015,12.0,0.0,0.0
