id,pos_1,pos_2,vision,metabolism,sugar,age,max_age,sex,has_reproduced,initial_sugar,children,total_inheritance_received,culture,loans_given,loans_owed,diseases,immunity,last_partner_id,last_credit_partner,schwartz_values
5,3,34,6,1,22.0,0,89,female,false,22.0,Int64[],0.0,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.46, stimulation = 0.75, hedonism = 1.06, achievement = -2.44, power = -0.99, security = -0.7, conformity = 0.31, tradition = -0.13, benevolence = 0.32, universalism = 1.35)"
35,31,50,4,2,13.0,0,76,male,false,13.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.72, stimulation = -1.1, hedonism = 0.08, achievement = -0.43, power = -0.51, security = 0.18, conformity = -1.18, tradition = 0.42, benevolence = 0.25, universalism = 0.57)"
30,17,36,2,3,19.0,0,91,female,false,19.0,Int64[],0.0,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.23, stimulation = -0.31, hedonism = 0.33, achievement = 0.0, power = -0.93, security = 0.96, conformity = -0.12, tradition = -0.19, benevolence = 0.71, universalism = -0.68)"
32,25,41,2,4,16.0,0,74,female,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = -0.72, stimulation = -0.34, hedonism = 0.6, achievement = -0.39, power = 0.19, security = 0.29, conformity = -0.75, tradition = -0.68, benevolence = 0.97, universalism = 0.84)"
6,26,27,3,2,11.0,0,92,female,false,11.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.53, stimulation = -0.68, hedonism = -0.92, achievement = 0.42, power = -0.58, security = -0.49, conformity = -1.27, tradition = 1.08, benevolence = 1.14, universalism = 0.77)"
45,44,32,6,3,14.0,0,92,male,false,14.0,Int64[],0.0,"Bool[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.42, stimulation = -2.21, hedonism = 0.7, achievement = -1.45, power = -0.67, security = 1.21, conformity = 0.68, tradition = 0.82, benevolence = 0.1, universalism = 0.41)"
4,9,13,6,2,16.0,0,86,male,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = -0.27, stimulation = -0.33, hedonism = -0.12, achievement = 0.05, power = 0.6, security = 0.95, conformity = -1.13, tradition = -0.72, benevolence = 0.27, universalism = 0.7)"
13,17,26,6,4,14.0,0,65,male,false,14.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.39, stimulation = -0.69, hedonism = 0.7, achievement = -0.79, power = 0.9, security = -0.71, conformity = -0.98, tradition = -0.24, benevolence = 0.73, universalism = -0.32)"
12,21,9,6,2,8.0,0,88,male,false,8.0,Int64[],0.0,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.56, stimulation = -0.1, hedonism = -1.58, achievement = -0.81, power = -1.2, security = 1.04, conformity = 0.03, tradition = -0.29, benevolence = 0.31, universalism = 1.05)"
28,26,19,2,4,5.0,0,91,male,false,5.0,Int64[],0.0,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.37, stimulation = -1.48, hedonism = -1.21, achievement = 1.27, power = 0.17, security = -0.79, conformity = -0.18, tradition = 1.32, benevolence = 0.05, universalism = 0.5)"
23,31,2,2,1,23.0,0,60,male,false,23.0,Int64[],0.0,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.68, stimulation = -1.29, hedonism = 0.15, achievement = -2.04, power = -1.8, security = 1.1, conformity = -0.41, tradition = -0.04, benevolence = 1.74, universalism = 0.92)"
41,2,18,1,3,6.0,0,72,female,false,6.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = -0.26, stimulation = -3.66, hedonism = -0.11, achievement = -1.03, power = -1.97, security = 2.05, conformity = 1.05, tradition = 2.1, benevolence = 0.86, universalism = 0.98)"
43,48,9,3,4,10.0,0,63,male,false,10.0,Int64[],0.0,"Bool[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.99, stimulation = 0.79, hedonism = 0.02, achievement = 0.13, power = -0.28, security = -0.72, conformity = -1.24, tradition = -0.75, benevolence = 0.24, universalism = 0.82)"
11,35,1,2,2,8.0,0,92,male,false,8.0,Int64[],0.0,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.65, stimulation = -1.53, hedonism = 1.16, achievement = -0.46, power = -0.11, security = 1.02, conformity = 0.29, tradition = -1.17, benevolence = 0.48, universalism = -0.33)"
36,43,42,1,1,6.0,0,64,female,false,6.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 0.88, stimulation = -1.25, hedonism = 0.36, achievement = -0.84, power = 0.39, security = 0.7, conformity = -0.71, tradition = -0.47, benevolence = 0.25, universalism = 0.69)"
39,9,24,1,1,15.0,0,99,female,false,15.0,Int64[],0.0,"Bool[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.12, stimulation = -0.5, hedonism = -1.29, achievement = 0.37, power = -0.51, security = 0.31, conformity = 0.24, tradition = -0.15, benevolence = 0.42, universalism = 0.02)"
7,9,40,1,1,8.0,0,76,male,false,8.0,Int64[],0.0,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.86, stimulation = 0.42, hedonism = 0.12, achievement = -0.04, power = -0.98, security = -0.44, conformity = -2.36, tradition = -0.25, benevolence = 1.51, universalism = 0.15)"
25,10,9,2,3,18.0,0,89,female,false,18.0,Int64[],0.0,"Bool[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = -0.31, stimulation = -1.22, hedonism = -1.15, achievement = 0.08, power = 0.05, security = 0.51, conformity = 0.99, tradition = 0.48, benevolence = 0.27, universalism = 0.3)"
34,5,33,1,4,24.0,0,69,male,false,24.0,Int64[],0.0,"Bool[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],"(self_direction = 1.2, stimulation = -0.66, hedonism = 0.26, achievement = 0.33, power = -0.83, security = -0.18, conformity = -1.26, tradition = -0.37, benevolence = 0.71, universalism = 0.81)"
