time,nagents,births,deaths_age,deaths_starvation,combat_kills,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_decision_entropy,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_trait_summary_stats,count_red_tribe,count_blue_tribe,calculate_tribe_proportions,calculate_credit_network_metrics_avg_degree,calculate_credit_network_metrics_density,calculate_credit_network_metrics_max_degree,calculate_credit_network_metrics_n_edges,calculate_credit_network_metrics_n_nodes,calculate_factional_clustering_blue_attack_rate,calculate_factional_clustering_blue_initiated_attacks,calculate_factional_clustering_red_attack_rate,calculate_factional_clustering_red_initiated_attacks,calculate_factional_clustering_total_attacks,calculate_cultural_initiation_by_tribe_blue_initiated_transmissions,calculate_cultural_initiation_by_tribe_blue_transmission_rate,calculate_cultural_initiation_by_tribe_red_initiated_transmissions,calculate_cultural_initiation_by_tribe_red_transmission_rate,calculate_cultural_initiation_by_tribe_total_transmissions,calculate_cultural_diversity_diversity_ratio,calculate_cultural_diversity_max_possible,calculate_cultural_diversity_unique_cultures,calculate_trait_similarity_metrics_avg_similarity,calculate_trait_similarity_metrics_count
0,50,0,0,0,0,0.0,0.0,0.0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)",0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02392578125,2048.0,49.0,0.0,0.0
1,45,0,0,0,5,0.0,0.0,0.0,0.27065444605242006,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 23.6, :p99 => 37.679999999999986, :p95 => 25.0)",7.592277905796079,1.0,0.0,3.8066624897703174,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",26,19,"Dict(""blue_proportion"" => 0.4222222222222222, ""red_proportion"" => 0.5777777777777777)",0.0,0.0,0.0,0.0,45.0,0.2,1.0,0.8,4.0,5.0,3.0,0.75,1.0,0.25,4.0,0.02197265625,2048.0,45.0,0.0,0.0
2,41,0,0,1,8,0.0,0.0,0.0,0.3115196998123828,"Dict(:p25 => 10.0, :p75 => 19.0, :p50 => 12.0, :p90 => 27.0, :p99 => 43.19999999999999, :p95 => 39.0)",3.371676567879184,2.0,0.0,3.713572066704311,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",23,18,"Dict(""blue_proportion"" => 0.43902439024390244, ""red_proportion"" => 0.5609756097560976)",0.0,0.0,0.0,0.0,41.0,1.0,3.0,0.0,0.0,3.0,2.0,0.6666666666666666,1.0,0.3333333333333333,3.0,0.02001953125,2048.0,41.0,0.0,0.0
3,40,0,0,1,9,0.0,0.0,0.0,0.37524154589371994,"Dict(:p25 => 8.75, :p75 => 19.5, :p50 => 12.0, :p90 => 32.70000000000001, :p99 => 45.22, :p95 => 40.19999999999999)",2.426815653465626,3.0,0.0,3.6888794541139402,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",23,17,"Dict(""blue_proportion"" => 0.425, ""red_proportion"" => 0.575)",0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.01953125,2048.0,40.0,0.0,0.0
4,36,0,0,3,11,0.0,0.0,0.0,0.4374412483549541,"Dict(:p25 => 6.75, :p75 => 20.0, :p50 => 12.5, :p90 => 30.5, :p99 => 72.34999999999994, :p95 => 41.0)",2.0138887927135958,4.0,0.0,3.5450107617583364,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",20,16,"Dict(""blue_proportion"" => 0.4444444444444444, ""red_proportion"" => 0.5555555555555556)",0.0,0.0,0.0,0.0,36.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.01708984375,2048.0,35.0,0.0,0.0
5,30,0,0,7,13,0.0,0.0,0.0,0.454694835680751,"Dict(:p25 => 8.25, :p75 => 20.75, :p50 => 13.0, :p90 => 33.60000000000001, :p99 => 80.75000000000003, :p95 => 52.2000000000001)",2.2935553976213012,5.0,0.0,3.401197381662154,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",19,11,"Dict(""blue_proportion"" => 0.36666666666666664, ""red_proportion"" => 0.6333333333333333)",0.0,0.0,0.0,0.0,30.0,0.5,1.0,0.5,1.0,2.0,3.0,0.75,1.0,0.25,4.0,0.0146484375,2048.0,30.0,0.0,0.0
6,22,0,0,10,18,0.0,0.0,0.0,0.5251031020261789,"Dict(:p25 => 7.25, :p75 => 25.0, :p50 => 12.5, :p90 => 45.800000000000004, :p99 => 118.36000000000023, :p95 => 51.70000000000002)",2.2169632024471135,6.0,0.0,3.0910424533583143,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",12,10,"Dict(""blue_proportion"" => 0.45454545454545453, ""red_proportion"" => 0.5454545454545454)",0.0,0.0,0.0,0.0,22.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0107421875,2048.0,22.0,0.0,0.0
7,21,0,0,11,18,0.0,0.0,0.0,0.5356905237144758,"Dict(:p25 => 7.0, :p75 => 24.0, :p50 => 13.0, :p90 => 47.000000000000014, :p99 => 121.00000000000006, :p95 => 53.000000000000306)",2.344486740673465,7.0,0.0,3.0445224377234217,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",12,9,"Dict(""blue_proportion"" => 0.42857142857142855, ""red_proportion"" => 0.5714285714285714)",0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.01025390625,2048.0,21.0,0.0,0.0
8,19,0,0,12,19,0.0,0.0,0.0,0.5803352193872104,"Dict(:p25 => 6.0, :p75 => 31.5, :p50 => 12.0, :p90 => 51.000000000000014, :p99 => 142.74, :p95 => 65.70000000000016)",2.2921613230551254,8.0,0.0,2.9444389791664403,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",12,7,"Dict(""blue_proportion"" => 0.3684210526315789, ""red_proportion"" => 0.631578947368421)",0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00927734375,2048.0,19.0,0.0,0.0
9,17,0,0,13,20,0.0,0.0,0.0,0.6299421407907426,"Dict(:p25 => 5.0, :p75 => 25.0, :p50 => 12.0, :p90 => 54.6, :p99 => 182.15999999999997, :p95 => 86.80000000000042)",1.1963759998201073,9.0,0.0,2.833213344056216,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",11,6,"Dict(""blue_proportion"" => 0.35294117647058826, ""red_proportion"" => 0.6470588235294118)",0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.00830078125,2048.0,17.0,0.0,0.0
10,16,0,0,13,21,0.0,0.0,0.0,0.6634814049586777,"Dict(:p25 => 4.0, :p75 => 30.25, :p50 => 12.5, :p90 => 62.0, :p99 => 186.99999999999994, :p95 => 103.00000000000026)",1.1597668243579298,10.0,0.0,2.772588722239781,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",10,6,"Dict(""blue_proportion"" => 0.375, ""red_proportion"" => 0.625)",0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0078125,2048.0,16.0,0.0,0.0
