time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_attack_rate;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
0;50;0;0;0;0;0.0;0.0;0.0;0.23110204081632646;9.797632143947327;0.0;0.0;3.884297118205747;0.0;0.0;29;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02392578125
1;45;0;0;0;5;0.0;0.0;0.0;0.27065444605242006;7.592277905796079;1.0;0.0;3.8066624897703174;0.0;0.0;26;19;0.2;1.0;0.8;4.0;5.0;3.0;1.0;4.0;0.02197265625
2;41;0;0;1;8;0.0;0.0;0.0;0.3115196998123828;3.371676567879184;2.0;0.0;3.713572066704311;0.0;0.0;23;18;1.0;3.0;0.0;0.0;3.0;2.0;1.0;3.0;0.02001953125
3;40;0;0;1;9;0.0;0.0;0.0;0.37524154589371994;2.426815653465626;3.0;0.0;3.6888794541139402;0.0;0.0;23;17;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;0.01953125
4;36;0;0;3;11;0.0;0.0;0.0;0.4374412483549541;2.0138887927135958;4.0;0.0;3.5450107617583364;0.0;0.0;20;16;1.0;2.0;0.0;0.0;2.0;4.0;0.0;4.0;0.01708984375
5;30;0;0;7;13;0.0;0.0;0.0;0.454694835680751;2.2935553976213012;5.0;0.0;3.401197381662154;0.0;0.0;19;11;0.5;1.0;0.5;1.0;2.0;3.0;1.0;4.0;0.0146484375
6;22;0;0;10;18;0.0;0.0;0.0;0.5251031020261789;2.2169632024471135;6.0;0.0;3.0910424533583143;0.0;0.0;12;10;1.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0107421875
7;21;0;0;11;18;0.0;0.0;0.0;0.5356905237144758;2.344486740673465;7.0;0.0;3.0445224377234217;0.0;0.0;12;9;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.01025390625
8;19;0;0;12;19;0.0;0.0;0.0;0.5803352193872104;2.2921613230551254;8.0;0.0;2.9444389791664403;0.0;0.0;12;7;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.00927734375
9;17;0;0;13;20;0.0;0.0;0.0;0.6299421407907426;1.1963759998201073;9.0;0.0;2.833213344056216;0.0;0.0;11;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.00830078125
10;16;0;0;13;21;0.0;0.0;0.0;0.6634814049586777;1.1597668243579298;10.0;0.0;2.772588722239781;0.0;0.0;10;6;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0078125
11;14;0;0;15;21;0.0;0.0;0.0;0.6452282157676348;1.163750049256248;11.0;0.0;2.6390573296152584;0.0;0.0;9;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0068359375
12;14;0;0;15;21;0.0;0.0;0.0;0.6644483880508725;1.167756012604238;12.0;0.0;2.6390573296152584;0.0;0.0;9;5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0068359375
13;13;0;0;16;21;0.0;0.0;0.0;0.6602034329307056;1.1717655068567971;13.0;0.0;2.5649493574615376;0.0;0.0;8;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00634765625
14;9;0;0;19;22;0.0;0.0;0.0;0.5686680469289165;0.0;14.0;0.0;2.1972245773362196;0.0;0.0;7;2;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.00439453125
15;7;0;0;20;23;0.0;0.0;0.0;0.4960235640648012;0.0;15.0;0.0;1.945910149055313;0.0;0.0;5;2;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.00341796875
16;7;0;0;20;23;0.0;0.0;0.0;0.5005807200929153;0.0;16.0;0.0;1.945910149055313;0.0;0.0;5;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00341796875
17;6;0;0;20;24;0.0;0.0;0.0;0.5441595441595442;0.0;17.0;0.0;1.7917594692280547;0.0;0.0;4;2;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0029296875
18;6;0;0;20;24;0.0;0.0;0.0;0.5501412429378529;0.0;18.0;0.0;1.7917594692280547;0.0;0.0;4;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0029296875
19;5;0;0;21;24;0.0;0.0;0.0;0.46722689075630264;0.0;19.0;0.0;1.6094379124341005;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244140625
20;5;0;0;21;24;0.0;0.0;0.0;0.46721991701244825;0.0;20.0;0.0;1.6094379124341005;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244140625
21;5;0;0;21;24;0.0;0.0;0.0;0.4672131147540983;0.0;21.0;0.0;1.6094379124341005;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244140625
22;5;0;0;21;24;0.0;0.0;0.0;0.46720647773279356;0.0;22.0;0.0;1.6094379124341005;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244140625
23;5;0;0;21;24;0.0;0.0;0.0;0.46720000000000006;0.0;23.0;0.0;1.6094379124341005;0.0;0.0;3;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244140625
24;4;0;0;22;24;0.0;0.0;0.0;0.33399209486166015;0.0;24.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
25;4;0;0;22;24;0.0;0.0;0.0;0.33089668615984413;0.0;25.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
26;4;0;0;22;24;0.0;0.0;0.0;0.32788461538461533;0.0;26.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
27;4;0;0;22;24;0.0;0.0;0.0;0.3249525616698292;0.0;27.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
28;4;0;0;22;24;0.0;0.0;0.0;0.32209737827715346;0.0;28.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
29;4;0;0;22;24;0.0;0.0;0.0;0.31931608133086886;0.0;29.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
30;4;0;0;22;24;0.0;0.0;0.0;0.31660583941605847;0.0;30.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
31;4;0;0;22;24;0.0;0.0;0.0;0.313963963963964;0.0;31.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
32;4;0;0;22;24;0.0;0.0;0.0;0.31138790035587194;0.0;32.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
33;4;0;0;22;24;0.0;0.0;0.0;0.3088752196836555;0.0;33.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
34;4;0;0;22;24;0.0;0.0;0.0;0.30642361111111116;0.0;34.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
35;4;0;0;22;24;0.0;0.0;0.0;0.30403087478559176;0.0;35.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
36;4;0;0;22;24;0.0;0.0;0.0;0.3016949152542372;0.0;36.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
37;4;0;0;22;24;0.0;0.0;0.0;0.29941373534338367;0.0;37.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
38;4;0;0;22;24;0.0;0.0;0.0;0.29718543046357615;0.0;38.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
39;4;0;0;22;24;0.0;0.0;0.0;0.2950081833060556;0.0;39.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
40;4;0;0;22;24;0.0;0.0;0.0;0.2928802588996764;0.0;40.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
41;4;0;0;22;24;0.0;0.0;0.0;0.29079999999999995;0.0;41.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
42;4;0;0;22;24;0.0;0.0;0.0;0.2887658227848102;0.0;42.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
43;4;0;0;22;24;0.0;0.0;0.0;0.28677621283255084;0.0;43.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
44;4;0;0;22;24;0.0;0.0;0.0;0.28482972136222906;0.0;44.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
45;4;0;0;22;24;0.0;0.0;0.0;0.2829249617151608;0.0;45.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
46;4;0;0;22;24;0.0;0.0;0.0;0.281060606060606;0.0;46.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
47;4;0;0;22;24;0.0;0.0;0.0;0.2792353823088456;0.0;47.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
48;4;0;0;22;24;0.0;0.0;0.0;0.2774480712166172;0.0;48.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
49;4;0;0;22;24;0.0;0.0;0.0;0.27569750367107204;0.0;49.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
50;4;0;0;22;24;0.0;0.0;0.0;0.273982558139535;0.0;50.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
51;4;0;0;22;24;0.0;0.0;0.0;0.27230215827338133;0.0;51.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
52;4;0;0;22;24;0.0;0.0;0.0;0.27065527065527073;0.0;52.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
53;4;0;0;22;24;0.0;0.0;0.0;0.26904090267983083;0.0;53.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
54;4;0;0;22;24;0.0;0.0;0.0;0.26745810055865915;0.0;54.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
55;4;0;0;22;24;0.0;0.0;0.0;0.2659059474412171;0.0;55.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
56;4;0;0;22;24;0.0;0.0;0.0;0.2643835616438357;0.0;56.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
57;4;0;0;22;24;0.0;0.0;0.0;0.2628900949796473;0.0;57.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
58;4;0;0;22;24;0.0;0.0;0.0;0.26142473118279574;0.0;58.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
59;4;0;0;22;24;0.0;0.0;0.0;0.25998668442077233;0.0;59.0;0.0;1.3862943611198906;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001953125
60;3;0;1;22;24;0.0;0.0;0.0;0.2514905149051492;0.0;60.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
61;3;0;1;22;24;0.0;0.0;0.0;0.2505376344086023;0.0;61.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
62;3;0;1;22;24;0.0;0.0;0.0;0.24960000000000004;0.0;62.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
63;3;0;1;22;24;0.0;0.0;0.0;0.24867724867724883;0.0;63.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
64;3;0;1;22;24;0.0;0.0;0.0;0.24776902887139118;0.0;64.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
65;3;0;1;22;24;0.0;0.0;0.0;0.24687500000000018;0.0;65.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
66;3;0;1;22;24;0.0;0.0;0.0;0.24599483204134365;0.0;66.0;0.0;1.0986122886681096;0.0;0.0;2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00146484375
67;2;0;2;22;24;0.0;0.0;0.0;0.06790123456790131;0.0;67.0;0.0;0.6931471805599453;0.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009765625
68;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;68.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
69;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;69.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
70;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
71;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;71.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
72;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;72.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
73;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;73.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
74;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;74.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
75;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
76;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;76.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
77;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;77.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
78;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;78.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
79;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
80;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;80.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
81;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;81.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
82;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;82.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
83;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
84;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;84.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
85;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;85.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
86;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;86.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
87;1;0;3;22;24;0.0;0.0;0.0;0.0;0.0;87.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00048828125
88;0;0;4;22;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89;0;0;4;22;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90;0;0;4;22;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;0;0;4;22;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
