time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,traits
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 4.47, conscientiousness = 3.87, extraversion = 3.82, agreeableness = 5.0, neuroticism = 1.48)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.4, conscientiousness = 3.83, extraversion = 1.27, agreeableness = 3.73, neuroticism = 3.23)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.8, conscientiousness = 2.81, extraversion = 2.78, agreeableness = 3.48, neuroticism = 3.71)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 4.58, conscientiousness = 2.99, extraversion = 3.3, agreeableness = 5.0, neuroticism = 4.08)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.61, conscientiousness = 3.65, extraversion = 3.47, agreeableness = 1.76, neuroticism = 3.55)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.13, conscientiousness = 3.78, extraversion = 3.38, agreeableness = 3.85, neuroticism = 2.64)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.16, conscientiousness = 3.5, extraversion = 2.32, agreeableness = 4.05, neuroticism = 3.37)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.35, conscientiousness = 2.97, extraversion = 3.23, agreeableness = 4.31, neuroticism = 3.68)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 4.79, conscientiousness = 3.55, extraversion = 2.0, agreeableness = 3.65, neuroticism = 1.61)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.09, conscientiousness = 3.23, extraversion = 2.47, agreeableness = 2.59, neuroticism = 3.79)"
0,11,"(35, 1)",8.0,0,2,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.81, conscientiousness = 3.88, extraversion = 2.31, agreeableness = 4.34, neuroticism = 3.58)"
0,12,"(21, 9)",8.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 4.48, conscientiousness = 3.96, extraversion = 3.49, agreeableness = 4.14, neuroticism = 1.78)"
0,13,"(17, 26)",14.0,0,6,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.67, conscientiousness = 3.33, extraversion = 4.58, agreeableness = 3.75, neuroticism = 2.47)"
0,14,"(13, 40)",10.0,0,2,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.41, conscientiousness = 3.0, extraversion = 2.92, agreeableness = 3.06, neuroticism = 2.54)"
0,15,"(28, 20)",5.0,0,4,2,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.89, conscientiousness = 2.21, extraversion = 3.31, agreeableness = 3.25, neuroticism = 3.27)"
0,16,"(38, 38)",11.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.82, conscientiousness = 2.68, extraversion = 3.16, agreeableness = 2.77, neuroticism = 1.0)"
0,17,"(13, 44)",22.0,0,1,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.86, conscientiousness = 2.26, extraversion = 3.93, agreeableness = 3.29, neuroticism = 3.6)"
0,18,"(50, 21)",11.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(openness = 3.34, conscientiousness = 3.6, extraversion = 2.03, agreeableness = 4.03, neuroticism = 2.99)"
