time,total_credit_outstanding,credit_default_rate,credit_network_metrics,gini_coefficient,nagents
0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,50
1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.25965065502183404,50
2,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2966205837173579,50
3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3350855365474339,50
4,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.35656012176560115,50
5,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.35853658536585353,50
6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3636216216216217,50
7,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36975796178343945,50
8,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3825759416767922,50
9,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3752252252252253,50
10,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.39962513781697906,50
11,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3966108786610878,50
12,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.38818092428711903,50
13,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36238095238095247,50
14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3579826086956521,50
15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3609650582362729,50
16,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.38022801302931586,50
17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37647150663544093,50
18,6.0,1.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3575703703703703,50
19,20.0,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3475358166189111,50
20,29.0,0.4,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3524581005586591,50
21,29.0,0.4,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.36559890485968505,50
22,29.0,0.6,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.38099462365591386,50
23,29.0,0.6,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3884362680683311,50
24,29.0,0.6,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3898016634676904,50
25,39.0,0.6666666666666666,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38708074534161496,50
26,41.0,0.5,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.37702994011976054,50
27,41.0,0.5,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3796732788798134,50
28,35.0,0.5714285714285714,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 1)",0.39326315789473676,50
29,25.1,0.5,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3981446714522363,50
30,33.1,0.42857142857142855,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3939538378958667,50
31,36.1,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.39630010493179446,50
32,34.1,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.39567678005925,50
33,35.1,0.2,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3984524877854223,50
34,37.1,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3879679350975467,50
