time,#125,#126,#127,#128,nagents
0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,50
1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2600580551523948,50
2,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2959939301972685,50
3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.33231707317073167,50
4,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3474556213017752,50
5,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34628650904033376,50
6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3459973924380704,50
7,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36391959798994966,50
8,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36616647127784296,50
9,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36659192825112097,50
10,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3771704180064308,50
11,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3713557594291539,50
12,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.375764705882353,50
13,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3788411214953271,50
14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.33570698466780247,50
15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3447254575707155,50
16,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36526143790849663,50
17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3668862745098038,50
18,18.0,1.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3799999999999999,50
19,27.0,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3462914862914863,50
20,28.0,0.25,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3577840508115737,50
21,35.0,0.2,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3668780151619573,50
22,40.0,0.2857142857142857,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 5)",0.37335127860026907,50
23,41.0,0.125,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 5)",0.38404730617608407,50
24,56.0,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3849744897959184,50
25,77.0,0.11764705882352941,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.6, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3870499999999999,50
26,77.0,0.17647058823529413,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.6, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3792279855247285,50
27,84.0,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 14, ""density"" => 0.011428571428571429, ""avg_degree"" => 0.64, ""n_nodes"" => 50, ""max_degree"" => 5)",0.39004154302670613,50
28,86.0,0.15,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.68, ""n_nodes"" => 50, ""max_degree"" => 6)",0.4036321303841677,50
29,87.9,0.19047619047619047,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.7, ""n_nodes"" => 50, ""max_degree"" => 6)",0.3901194863204913,50
30,88.9,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 16, ""density"" => 0.013061224489795919, ""avg_degree"" => 0.76, ""n_nodes"" => 50, ""max_degree"" => 7)",0.3780225685115528,50
31,81.9,0.09523809523809523,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.72, ""n_nodes"" => 50, ""max_degree"" => 7)",0.3781302761855134,50
32,76.9,0.10526315789473684,"Dict{String, Real}(""n_edges"" => 14, ""density"" => 0.011428571428571429, ""avg_degree"" => 0.64, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3922436028659162,50
33,80.1,0.1,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.66, ""n_nodes"" => 50, ""max_degree"" => 5)",0.38832421680755846,50
34,72.4,0.15789473684210525,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.66, ""n_nodes"" => 50, ""max_degree"" => 6)",0.39394536585365847,50
35,65.9,0.13333333333333333,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.5, ""n_nodes"" => 50, ""max_degree"" => 5)",0.402484412470024,50
36,56.7,0.06666666666666667,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.48, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3823644321584887,50
37,49.7,0.07142857142857142,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.44, ""n_nodes"" => 50, ""max_degree"" => 5)",0.38492044173991413,50
38,47.7,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3915242524916942,50
39,49.620000000000005,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 5)",0.39973531079607394,50
40,52.82000000000001,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 5)",0.400135353104331,50
41,54.82000000000001,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 5)",0.4020824785430184,50
42,54.720000000000006,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 5)",0.37743182741545533,50
43,51.620000000000005,0.09090909090909091,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 5)",0.38445068790501447,50
