time,total_credit_outstanding,credit_default_rate,credit_network_metrics,gini_coefficient,nagents
0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,50
1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2593604651162791,50
2,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2939301972685888,50
3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.32977168949771696,50
4,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34756277695716387,50
5,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3476429567642956,50
6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.35020942408376965,50
7,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3711392405063292,50
8,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37456906729634,50
9,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3774353205849268,50
10,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37517970401691336,50
11,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36885311871227366,50
12,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36930009587727697,50
13,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36994515539305306,50
14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36132173913043486,50
15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.361651376146789,50
16,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37790507364975445,50
17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.37316692667706697,50
18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3905263157894736,50
19,4.0,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.382071480671043,50
20,4.0,0.0,"Dict{String, Real}(""n_edges"" => 1, ""density"" => 0.0008163265306122449, ""avg_degree"" => 0.04, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3977428571428572,50
21,8.0,0.0,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.06, ""n_nodes"" => 50, ""max_degree"" => 1)",0.3900136798905609,50
22,15.0,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3932268795741849,50
23,24.0,0.0,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3949319507453013,50
24,43.0,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38754716981132065,50
25,43.0,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3785006045949213,50
26,44.0,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3911347517730497,50
27,45.0,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3962528735632185,50
28,45.0,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3987709497206704,50
29,47.4,0.1111111111111111,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.39359046587215585,50
30,48.4,0.1,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3908559411146162,50
31,51.8,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3968304213771836,50
32,49.8,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 2)",0.40524144869215295,50
33,52.5,0.15384615384615385,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 3)",0.39728612997090185,50
34,41.3,0.07142857142857142,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.42, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4013586337760908,50
35,50.0,0.06666666666666667,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.44, ""n_nodes"" => 50, ""max_degree"" => 5)",0.39576448942042286,50
36,49.0,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.42, ""n_nodes"" => 50, ""max_degree"" => 5)",0.39854102795311075,50
37,48.0,0.15384615384615385,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 5)",0.4024427750773307,50
38,49.0,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.42, ""n_nodes"" => 50, ""max_degree"" => 5)",0.40549501948895594,50
39,42.599999999999994,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.34, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4119266553480472,50
40,41.599999999999994,0.2727272727272727,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 4)",0.41505151893466485,50
41,35.2,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 3)",0.41144884568651263,50
42,30.2,0.375,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4104795562599046,50
43,27.4,0.5714285714285714,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4078672333848532,50
44,56.58,0.5555555555555556,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3907819574929745,50
45,47.88000000000001,0.375,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3941498061253994,50
46,47.88000000000001,0.375,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3982293057775248,50
47,48.88000000000001,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4020459300695278,50
48,48.980000000000004,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 2)",0.40664627454312474,50
49,50.980000000000004,0.2727272727272727,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.34, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4093266959750854,50
50,50.980000000000004,0.2727272727272727,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.34, ""n_nodes"" => 50, ""max_degree"" => 2)",0.40613303669530665,50
51,53.980000000000004,0.25,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 2)",0.41078717142260635,50
52,53.980000000000004,0.25,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 2)",0.40888560255672224,50
53,57.78,0.25,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4051612119405694,50
54,38.69,0.4,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 3)",0.42438312099264186,50
55,39.69,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 4)",0.42131867663021305,50
56,43.58,0.38461538461538464,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 4)",0.42460246945720304,50
57,41.480000000000004,0.36363636363636365,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 4)",0.4270751351318265,50
58,41.480000000000004,0.45454545454545453,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 4)",0.41870965121349535,50
59,51.480000000000004,0.6363636363636364,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 3)",0.41886196198023073,50
60,46.480000000000004,0.5,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 3)",0.45401265786459377,50
61,47.480000000000004,0.4444444444444444,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4520042484518114,50
62,47.480000000000004,0.4444444444444444,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 3)",0.46215497562626706,50
63,47.480000000000004,0.6666666666666666,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4645146642826061,50
64,16.890000000000004,0.2,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4582610621274754,50
65,16.89,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.45455240622691573,50
66,13.0,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 2)",0.45407910990653355,50
67,14.0,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 3)",0.46735381932127185,50
68,14.0,0.25,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.14, ""n_nodes"" => 50, ""max_degree"" => 3)",0.47051321489304,50
