time,nagents,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203
0,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0
1,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.260174672489083,"Dict(:p25 => 8.0, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",22.877873538780143,1.0,0.0
2,49,0,0,1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 49, ""max_degree"" => 0)",0.2937509887676,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.200000000000003, :p99 => 26.039999999999992, :p95 => 24.6)",8.959005546726319,2.0,0.0
3,47,0,0,3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 47, ""max_degree"" => 0)",0.32879479054218774,"Dict(:p25 => 7.5, :p75 => 18.0, :p50 => 11.0, :p90 => 24.200000000000017, :p99 => 28.08, :p95 => 26.700000000000003)",6.264956457169783,3.0,0.0
4,44,0,0,6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 44, ""max_degree"" => 0)",0.3482800982800982,"Dict(:p25 => 7.75, :p75 => 19.25, :p50 => 11.0, :p90 => 27.10000000000001, :p99 => 30.14, :p95 => 28.85)",4.265072413211838,4.0,0.0
5,40,0,0,10,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 40, ""max_degree"" => 0)",0.34607508532423226,"Dict(:p25 => 8.0, :p75 => 20.25, :p50 => 12.5, :p90 => 30.1, :p99 => 32.22, :p95 => 31.0)",3.3357408583712953,5.0,0.0
6,36,0,0,14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 36, ""max_degree"" => 0)",0.330971277399849,"Dict(:p25 => 8.75, :p75 => 22.25, :p50 => 14.0, :p90 => 32.0, :p99 => 34.65, :p95 => 33.25)",4.293371711005516,6.0,0.0
7,35,0,0,15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 35, ""max_degree"" => 0)",0.3515382780825185,"Dict(:p25 => 8.0, :p75 => 24.5, :p50 => 17.0, :p90 => 34.0, :p99 => 36.66, :p95 => 35.3)",3.99900757163897,7.0,0.0
8,33,0,0,17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 33, ""max_degree"" => 0)",0.353518821603928,"Dict(:p25 => 7.0, :p75 => 26.0, :p50 => 17.0, :p90 => 36.8, :p99 => 39.0, :p95 => 37.800000000000004)",11.983811478367906,8.0,0.0
9,32,0,0,18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 32, ""max_degree"" => 0)",0.36150793650793656,"Dict(:p25 => 8.25, :p75 => 28.25, :p50 => 18.0, :p90 => 38.9, :p99 => 41.69, :p95 => 40.45)",9.028956257591695,9.0,0.0
