time,nagents,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203
0,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0
1,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.2600580551523948,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,1.0,0.0
2,49,0,0,1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 49, ""max_degree"" => 0)",0.29397771378490045,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.6)",7.907866854153609,2.0,0.0
3,47,0,0,3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 47, ""max_degree"" => 0)",0.3306737588652484,"Dict(:p25 => 7.5, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.54, :p95 => 26.700000000000003)",7.5669521635601935,3.0,0.0
4,44,0,0,6,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 44, ""max_degree"" => 0)",0.3471889952153111,"Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 26.700000000000003, :p99 => 31.0, :p95 => 28.85)",4.697628882841127,4.0,0.0
5,41,0,0,9,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 41, ""max_degree"" => 0)",0.35891400511342875,"Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.0, :p90 => 29.0, :p99 => 33.599999999999994, :p95 => 31.0)",4.199628573853255,5.0,0.0
6,38,0,0,12,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 38, ""max_degree"" => 0)",0.3705809750506919,"Dict(:p25 => 7.25, :p75 => 22.75, :p50 => 13.5, :p90 => 31.300000000000004, :p99 => 36.25999999999999, :p95 => 33.3)",6.977276501347133,6.0,0.0
7,36,0,0,14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 36, ""max_degree"" => 0)",0.3757309941520468,"Dict(:p25 => 7.0, :p75 => 24.5, :p50 => 16.0, :p90 => 34.0, :p99 => 38.949999999999996, :p95 => 35.5)",5.830422693875749,7.0,0.0
8,34,0,0,16,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 34, ""max_degree"" => 0)",0.37847550595801027,"Dict(:p25 => 7.0, :p75 => 28.0, :p50 => 16.5, :p90 => 36.7, :p99 => 41.67999999999998, :p95 => 37.7)",13.234042193193863,8.0,0.0
9,33,0,0,17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 33, ""max_degree"" => 0)",0.3860549064310821,"Dict(:p25 => 6.0, :p75 => 31.0, :p50 => 17.0, :p90 => 38.8, :p99 => 44.4, :p95 => 40.400000000000006)",9.761716009753046,9.0,0.0
10,33,0,0,17,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 33, ""max_degree"" => 0)",0.4119549150036954,"Dict(:p25 => 5.0, :p75 => 32.0, :p50 => 18.0, :p90 => 40.8, :p99 => 47.08, :p95 => 43.0)",9.542876316655159,10.0,0.0
