id,pos_1,pos_2,vision,metabolism,sugar,age,max_age,sex,has_reproduced,has_spread_culture,has_accepted_culture,initial_sugar,children,total_inheritance_received,culture,loans_given,loans_owed,diseases,immunity,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,chose_not_to_spread_culture,traits
5,3,34,6,1,22.0,0,89,female,false,false,false,22.0,Int64[],0.0,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.47, conscientiousness = 1.21, extraversion = 1.76, agreeableness = 4.67, neuroticism = 3.66)"
35,31,50,4,2,13.0,0,76,male,false,false,false,13.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.78, conscientiousness = 4.86, extraversion = 3.44, agreeableness = 4.24, neuroticism = 3.11)"
30,17,36,2,3,19.0,0,91,female,false,false,false,19.0,Int64[],0.0,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.87, conscientiousness = 2.84, extraversion = 3.61, agreeableness = 4.5, neuroticism = 2.78)"
32,25,41,2,4,16.0,0,74,female,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.26, conscientiousness = 3.64, extraversion = 2.32, agreeableness = 3.96, neuroticism = 2.41)"
6,26,27,3,2,11.0,0,92,female,false,false,false,11.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.71, conscientiousness = 2.55, extraversion = 3.25, agreeableness = 4.29, neuroticism = 5.0)"
45,44,32,6,3,14.0,0,92,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.44, conscientiousness = 2.94, extraversion = 3.87, agreeableness = 3.2, neuroticism = 3.92)"
4,9,13,6,2,16.0,0,86,male,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 2.32, conscientiousness = 2.13, extraversion = 2.55, agreeableness = 4.25, neuroticism = 3.51)"
13,17,26,6,4,14.0,0,65,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.22, conscientiousness = 1.31, extraversion = 1.67, agreeableness = 2.05, neuroticism = 4.44)"
12,21,9,6,2,8.0,0,88,male,false,false,false,8.0,Int64[],0.0,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.26, conscientiousness = 2.77, extraversion = 1.18, agreeableness = 4.0, neuroticism = 5.0)"
28,26,19,2,4,5.0,0,91,male,false,false,false,5.0,Int64[],0.0,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.44, conscientiousness = 3.62, extraversion = 4.42, agreeableness = 3.56, neuroticism = 3.93)"
23,31,2,2,1,23.0,0,60,male,false,false,false,23.0,Int64[],0.0,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.79, conscientiousness = 2.49, extraversion = 4.22, agreeableness = 3.5, neuroticism = 2.35)"
41,2,18,1,3,6.0,0,72,female,false,false,false,6.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.39, conscientiousness = 2.37, extraversion = 2.82, agreeableness = 3.61, neuroticism = 2.69)"
43,48,9,3,4,10.0,0,63,male,false,false,false,10.0,Int64[],0.0,"Bool[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.69, conscientiousness = 2.86, extraversion = 3.34, agreeableness = 3.64, neuroticism = 3.23)"
11,35,1,2,2,8.0,0,92,male,false,false,false,8.0,Int64[],0.0,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.73, conscientiousness = 3.65, extraversion = 3.9, agreeableness = 4.2, neuroticism = 3.43)"
36,43,42,1,1,6.0,0,64,female,false,false,false,6.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.65, conscientiousness = 2.44, extraversion = 2.94, agreeableness = 3.0, neuroticism = 3.0)"
