id,pos_1,pos_2,vision,metabolism,sugar,age,max_age,sex,has_reproduced,has_spread_culture,has_accepted_culture,initial_sugar,children,total_inheritance_received,culture,loans_given,loans_owed,diseases,immunity,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,chose_not_to_spread_culture,schwartz_values
5,3,34,6,1,22.0,0,89,female,false,false,false,22.0,Int64[],0.0,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.51f0, stimulation = -0.95f0, hedonism = -0.81f0, achievement = -2.39f0, power = -1.71f0, security = 1.88f0, conformity = -0.53f0, tradition = 0.15f0, benevolence = 1.73f0, universalism = 2.11f0)"
35,31,50,4,2,13.0,0,76,male,false,false,false,13.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.5f0, stimulation = -0.05f0, hedonism = 1.2f0, achievement = -0.03f0, power = -0.44f0, security = 1.26f0, conformity = -1.22f0, tradition = -1.04f0, benevolence = -0.19f0, universalism = 0.02f0)"
30,17,36,2,3,19.0,0,91,female,false,false,false,19.0,Int64[],0.0,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.3f0, stimulation = -0.12f0, hedonism = 1.61f0, achievement = 0.11f0, power = -0.22f0, security = 1.25f0, conformity = -1.66f0, tradition = -1.15f0, benevolence = -0.96f0, universalism = -0.16f0)"
32,25,41,2,4,16.0,0,74,female,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.13f0, stimulation = -0.37f0, hedonism = -1.52f0, achievement = 0.57f0, power = 0.92f0, security = 0.38f0, conformity = 1.12f0, tradition = -0.85f0, benevolence = -0.31f0, universalism = -0.07f0)"
6,26,27,3,2,11.0,0,92,female,false,false,false,11.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.46f0, stimulation = 0.61f0, hedonism = -0.03f0, achievement = -1.13f0, power = -1.75f0, security = 0.29f0, conformity = -1.18f0, tradition = 1.63f0, benevolence = 0.24f0, universalism = 0.86f0)"
45,44,32,6,3,14.0,0,92,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.34f0, stimulation = -1.29f0, hedonism = -0.58f0, achievement = -1.23f0, power = -0.65f0, security = -0.51f0, conformity = 1.33f0, tradition = 1.39f0, benevolence = 1.49f0, universalism = 0.38f0)"
4,9,13,6,2,16.0,0,86,male,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = -0.84f0, stimulation = -1.24f0, hedonism = -0.83f0, achievement = -1.8f0, power = -0.91f0, security = 1.33f0, conformity = 0.45f0, tradition = 1.5f0, benevolence = 1.02f0, universalism = 1.33f0)"
13,17,26,6,4,14.0,0,65,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.25f0, stimulation = -1.79f0, hedonism = -0.89f0, achievement = -2.11f0, power = -1.65f0, security = 1.52f0, conformity = -0.31f0, tradition = -0.1f0, benevolence = 2.24f0, universalism = 1.83f0)"
12,21,9,6,2,8.0,0,88,male,false,false,false,8.0,Int64[],0.0,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 0.6f0, stimulation = 1.02f0, hedonism = 0.65f0, achievement = -0.35f0, power = -0.05f0, security = 0.14f0, conformity = -0.26f0, tradition = -2.11f0, benevolence = 0.73f0, universalism = -0.36f0)"
28,26,19,2,4,5.0,0,91,male,false,false,false,5.0,Int64[],0.0,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(self_direction = 1.41f0, stimulation = 0.03f0, hedonism = 1.73f0, achievement = 0.16f0, power = -0.84f0, security = -0.01f0, conformity = -1.3f0, tradition = -2.26f0, benevolence = 0.35f0, universalism = 0.74f0)"
