time,#101,#102,#103,#104,nagents
0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,50
1,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,50
2,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,49
3,3.820651977005379,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,47
4,3.7841896339182655,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,44
5,3.6888794541139402,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,40
6,3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,38
7,3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,38
8,3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,37
9,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,36
10,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,36
11,3.5263605246161633,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,34
12,3.5263605246161633,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,34
13,3.4224142040147285,"Dict{String, Real}(""unique_cultures"" => 31, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01513671875)",0.0,0.0,32
14,3.3892680315457953,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,31
15,3.319492576154752,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,29
16,3.367295829986472,"Dict{String, Real}(""unique_cultures"" => 29, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01416015625)",0.0,0.0,29
17,3.367295829986472,"Dict{String, Real}(""unique_cultures"" => 29, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01416015625)",0.0,0.0,29
18,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
19,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
20,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
21,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
22,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
23,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
24,3.2444926304072967,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,27
25,3.2444926304072967,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,27
26,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
27,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
28,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
29,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
30,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
31,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
32,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
33,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
34,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
35,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
36,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
37,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
38,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
39,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
40,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
41,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
42,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
43,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
44,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
45,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
46,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
47,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
48,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
49,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
50,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
51,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
52,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
53,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
54,3.0870423502280264,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
55,3.0870423502280264,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
56,3.052520501533813,"Dict{String, Real}(""unique_cultures"" => 22, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0107421875)",0.0,0.0,25
57,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
58,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
59,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
60,2.912494403331052,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,21
61,2.9264175554979963,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,20
62,2.798513256943294,"Dict{String, Real}(""unique_cultures"" => 17, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00830078125)",0.0,0.0,19
63,2.9444389791664403,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,19
