time,nagents,births,deaths_age,deaths_starvation,gini_coefficient,wealth_percentiles,pareto_alpha,mean_lifespan,lifespan_inequality
0,100,0,0,0,0.23126649076517158,"Dict(:p25 => 10.75, :p75 => 20.25, :p50 => 15.0, :p90 => 24.0, :p99 => 25.0, :p95 => 25.0)",13.281928836255917,0.0,0.0
1,100,0,0,0,0.25267694463910306,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 14.0, :p90 => 23.0, :p99 => 25.010000000000005, :p95 => 24.0)",20.962266510908016,1.0,0.0
2,99,0,0,1,0.28133348133348135,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 13.0, :p90 => 23.200000000000003, :p99 => 27.0, :p95 => 24.10000000000001)",9.652855040725447,2.0,0.0
3,95,0,0,5,0.2958457090808284,"Dict(:p25 => 8.5, :p75 => 19.0, :p50 => 14.0, :p90 => 24.599999999999994, :p99 => 28.060000000000002, :p95 => 26.0)",6.975503636321646,3.0,0.0
4,90,0,0,10,0.3020510212729892,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 15.0, :p90 => 26.0, :p99 => 31.0, :p95 => 28.0)",4.9001619204913975,4.0,0.0
5,84,0,0,16,0.29387125220458565,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 14.5, :p90 => 27.0, :p99 => 33.0, :p95 => 29.85000000000001)",5.290283705189751,5.0,0.0
6,79,0,0,21,0.28858400817674346,"Dict(:p25 => 9.0, :p75 => 21.5, :p50 => 14.0, :p90 => 29.200000000000003, :p99 => 34.44, :p95 => 31.0)",5.9205393542333145,6.0,0.0
7,78,0,0,22,0.31222182835086065,"Dict(:p25 => 9.0, :p75 => 23.75, :p50 => 15.0, :p90 => 31.0, :p99 => 35.920000000000016, :p95 => 32.150000000000006)",5.561427883215392,7.0,0.0
8,77,0,0,23,0.34015757313790607,"Dict(:p25 => 8.0, :p75 => 25.0, :p50 => 15.0, :p90 => 33.0, :p99 => 38.200000000000045, :p95 => 34.2)",6.199608578299633,8.0,0.0
9,76,0,0,24,0.36639524821021174,"Dict(:p25 => 7.75, :p75 => 26.5, :p50 => 15.0, :p90 => 34.5, :p99 => 39.5, :p95 => 36.25)",9.021153131197812,9.0,0.0
