time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
1,45,0,0,0,0.28582486695694254,"Dict(:p25 => 9.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.6, :p99 => 37.679999999999986, :p95 => 25.0)",7.093335561286646,1.0,0.0,5,"Dict{String, Real}(""total_attacks"" => 5, ""red_initiated_attacks"" => 4, ""red_attack_rate"" => 0.8, ""blue_attack_rate"" => 0.2, ""blue_initiated_attacks"" => 1)"
2,40,0,0,1,0.3049065420560748,"Dict(:p25 => 10.75, :p75 => 21.25, :p50 => 12.0, :p90 => 27.60000000000001, :p99 => 40.83, :p95 => 34.249999999999986)",3.7632063627496786,2.0,0.0,9,"Dict{String, Real}(""total_attacks"" => 4, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 2)"
3,38,0,0,1,0.35635786039323425,"Dict(:p25 => 9.0, :p75 => 21.0, :p50 => 13.0, :p90 => 33.50000000000002, :p99 => 44.0, :p95 => 39.74999999999999)",2.7601341532520784,3.0,0.0,11,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)"
4,34,0,0,2,0.3789341377576674,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 13.0, :p90 => 39.0, :p99 => 45.669999999999995, :p95 => 41.10000000000001)",3.7036993225072927,4.0,0.0,14,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 0.6666666666666666, ""blue_attack_rate"" => 0.3333333333333333, ""blue_initiated_attacks"" => 1)"
5,29,0,0,3,0.45250840283829197,"Dict(:p25 => 8.0, :p75 => 24.0, :p50 => 12.0, :p90 => 47.2, :p99 => 62.48000000000002, :p95 => 52.80000000000001)",4.686917182881607,5.0,0.0,18,"Dict{String, Real}(""total_attacks"" => 4, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 2)"
6,25,0,0,6,0.4907865168539325,"Dict(:p25 => 8.0, :p75 => 25.0, :p50 => 15.0, :p90 => 47.20000000000001, :p99 => 97.52000000000007, :p95 => 56.400000000000006)",1.6101356328719172,6.0,0.0,19,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
7,22,0,0,7,0.5643493761140821,"Dict(:p25 => 7.0, :p75 => 25.5, :p50 => 11.0, :p90 => 44.40000000000002, :p99 => 135.16000000000028, :p95 => 52.60000000000002)",1.8110607032220742,7.0,0.0,21,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)"
8,20,0,0,9,0.5593253968253968,"Dict(:p25 => 6.0, :p75 => 28.75, :p50 => 13.5, :p90 => 47.90000000000001, :p99 => 137.81000000000023, :p95 => 61.05000000000007)",1.9879273541988773,8.0,0.0,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
9,19,0,0,10,0.562101077744062,"Dict(:p25 => 5.5, :p75 => 32.5, :p50 => 15.0, :p90 => 51.00000000000003, :p99 => 139.36, :p95 => 68.80000000000014)",2.1781709287025963,9.0,0.0,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
10,19,0,0,10,0.5848879624804586,"Dict(:p25 => 4.5, :p75 => 34.5, :p50 => 15.0, :p90 => 53.20000000000003, :p99 => 139.90000000000003, :p95 => 71.50000000000014)",2.3575029476080056,10.0,0.0,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
11,16,0,0,12,0.5841202783300199,"Dict(:p25 => 4.75, :p75 => 45.5, :p50 => 15.5, :p90 => 68.0, :p99 => 144.09999999999997, :p95 => 92.50000000000014)",2.06713696802771,11.0,0.0,22,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
