time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
1,44,0,0,0,0.2735177865612648,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.700000000000003, :p99 => 37.71, :p95 => 25.0)",6.30518716558813,1.0,0.0,6,"Dict{String, Real}(""total_attacks"" => 6, ""red_initiated_attacks"" => 5, ""red_attack_rate"" => 0.8333333333333334, ""blue_attack_rate"" => 0.16666666666666666, ""blue_initiated_attacks"" => 1)"
2,41,0,0,0,0.30548873015285527,"Dict(:p25 => 11.0, :p75 => 21.0, :p50 => 12.0, :p90 => 27.0, :p99 => 40.79999999999998, :p95 => 34.0)",3.7081030781532824,2.0,0.0,9,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 0.6666666666666666, ""blue_attack_rate"" => 0.3333333333333333, ""blue_initiated_attacks"" => 1)"
3,36,0,0,0,0.38281109310282746,"Dict(:p25 => 9.0, :p75 => 21.0, :p50 => 14.0, :p90 => 35.5, :p99 => 54.39999999999998, :p95 => 43.25)",2.040945235535937,3.0,0.0,14,"Dict{String, Real}(""total_attacks"" => 5, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 0.4, ""blue_attack_rate"" => 0.6, ""blue_initiated_attacks"" => 3)"
4,32,0,0,2,0.419559199318569,"Dict(:p25 => 7.75, :p75 => 21.75, :p50 => 13.5, :p90 => 44.40000000000002, :p99 => 57.52000000000001, :p95 => 49.250000000000014)",2.5424018495442526,4.0,0.0,16,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)"
5,29,0,0,3,0.5235901904643345,"Dict(:p25 => 6.0, :p75 => 20.0, :p50 => 12.0, :p90 => 30.600000000000037, :p99 => 102.08000000000003, :p95 => 71.60000000000008)",1.7228391435927506,5.0,0.0,18,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)"
6,24,0,0,7,0.5230263157894737,"Dict(:p25 => 7.0, :p75 => 23.0, :p50 => 12.5, :p90 => 42.400000000000006, :p99 => 103.46999999999998, :p95 => 87.20000000000007)",1.6913952313217724,6.0,0.0,19,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
7,22,0,0,8,0.5470340470340471,"Dict(:p25 => 7.0, :p75 => 23.75, :p50 => 12.5, :p90 => 46.8, :p99 => 104.32000000000002, :p95 => 95.45000000000014)",1.7858580691028676,7.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
8,20,0,0,10,0.5419921875,"Dict(:p25 => 6.0, :p75 => 27.25, :p50 => 14.0, :p90 => 54.200000000000074, :p99 => 105.05000000000001, :p95 => 101.25)",1.9403491197282294,8.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
9,19,0,0,11,0.5462972499742507,"Dict(:p25 => 5.5, :p75 => 33.0, :p50 => 15.0, :p90 => 61.60000000000015, :p99 => 105.64, :p95 => 104.2)",2.104414208288332,9.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
10,19,0,0,11,0.572046554743022,"Dict(:p25 => 4.5, :p75 => 35.5, :p50 => 14.0, :p90 => 63.60000000000015, :p99 => 106.82000000000001, :p95 => 106.1)",2.2793737067284345,10.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
11,17,0,0,13,0.5509381834925751,"Dict(:p25 => 5.0, :p75 => 46.0, :p50 => 14.0, :p90 => 75.4, :p99 => 109.35999999999999, :p95 => 106.80000000000001)",2.4667251447898297,11.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
12,17,0,0,13,0.5703822384985122,"Dict(:p25 => 3.0, :p75 => 49.0, :p50 => 13.0, :p90 => 76.60000000000002, :p99 => 111.88, :p95 => 107.40000000000002)",2.6681890664034844,12.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
13,16,0,0,14,0.5646760154738879,"Dict(:p25 => 8.75, :p75 => 53.25, :p50 => 12.0, :p90 => 82.5, :p99 => 114.5, :p95 => 108.50000000000003)",2.885764491652387,13.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
14,13,0,0,17,0.48511641615089895,"Dict(:p25 => 11.0, :p75 => 59.0, :p50 => 30.0, :p90 => 97.00000000000003, :p99 => 117.44, :p95 => 111.20000000000002)",3.1217979048235485,14.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
15,12,0,0,18,0.45408805031446553,"Dict(:p25 => 11.5, :p75 => 61.5, :p50 => 34.5, :p90 => 101.70000000000002, :p99 => 120.23999999999998, :p95 => 113.20000000000002)",3.3790708887634557,15.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
16,12,0,0,18,0.46273964131107004,"Dict(:p25 => 11.25, :p75 => 63.5, :p50 => 36.0, :p90 => 101.9, :p99 => 122.90999999999997, :p95 => 114.55000000000001)",3.660913399437807,16.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
17,12,0,0,18,0.4711070559610706,"Dict(:p25 => 11.0, :p75 => 65.5, :p50 => 37.5, :p90 => 102.10000000000001, :p99 => 125.57999999999997, :p95 => 115.90000000000002)",3.9713525250369677,17.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
18,12,0,0,18,0.47920406941950944,"Dict(:p25 => 10.75, :p75 => 67.5, :p50 => 39.0, :p90 => 102.30000000000001, :p99 => 128.24999999999997, :p95 => 117.25000000000003)",4.31531091812778,18.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
19,11,0,0,19,0.4407324124638614,"Dict(:p25 => 12.0, :p75 => 70.5, :p50 => 46.0, :p90 => 106.0, :p99 => 131.20000000000002, :p95 => 120.00000000000006)",4.4012999882419255,19.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
20,11,0,0,19,0.4439892862769814,"Dict(:p25 => 12.0, :p75 => 73.0, :p50 => 48.0, :p90 => 106.0, :p99 => 133.9, :p95 => 121.50000000000006)",4.489864334814215,20.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
21,12,1,0,19,0.47123015873015883,"Dict(:p25 => 12.0, :p75 => 71.5, :p50 => 43.5, :p90 => 102.7, :p99 => 136.25999999999996, :p95 => 121.30000000000004)",3.817637726878733,19.25,0.08333333333333348,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
22,13,2,0,19,0.49054433938154873,"Dict(:p25 => 12.0, :p75 => 69.0, :p50 => 38.0, :p90 => 99.80000000000001, :p99 => 138.55999999999997, :p95 => 120.80000000000007)",2.99519426652463,18.692307692307693,0.15004748338081675,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
23,13,2,0,19,0.48879761015683343,"Dict(:p25 => 12.0, :p75 => 71.0, :p50 => 39.0, :p90 => 100.20000000000002, :p99 => 141.19999999999996, :p95 => 122.00000000000009)",3.213404916280783,19.692307692307693,0.14242788461538458,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
24,12,2,0,20,0.4444006309148265,"Dict(:p25 => 15.375, :p75 => 74.5, :p50 => 48.0, :p90 => 103.30000000000001, :p99 => 144.26999999999995, :p95 => 125.35000000000004)",3.4500321116973405,20.416666666666668,0.14659863945578233,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
25,11,2,0,21,0.38947074430945405,"Dict(:p25 => 21.5, :p75 => 78.0, :p50 => 58.0, :p90 => 106.0, :p99 => 147.40000000000003, :p95 => 129.00000000000009)",3.7077207444793374,21.09090909090909,0.152037617554859,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
26,11,2,0,21,0.3830683516782172,"Dict(:p25 => 24.0, :p75 => 80.0, :p50 => 60.0, :p90 => 106.0, :p99 => 150.10000000000002, :p95 => 130.50000000000009)",3.989627390520445,22.09090909090909,0.14515525626636738,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
27,11,2,0,21,0.3770014556040757,"Dict(:p25 => 26.5, :p75 => 82.0, :p50 => 62.0, :p90 => 106.0, :p99 => 152.8, :p95 => 132.0000000000001)",4.2995531394183635,23.09090909090909,0.1388690050107373,20,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
28,10,2,0,21,0.3352353780313837,"Dict(:p25 => 36.125, :p75 => 92.25, :p50 => 71.5, :p90 => 111.49999999999997, :p99 => 156.05, :p95 => 136.25000000000003)",4.078804475403005,23.7,0.14556962025316444,21,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
29,10,2,0,21,0.3288300835654596,"Dict(:p25 => 38.625, :p75 => 94.25, :p50 => 73.5, :p90 => 111.79999999999998, :p99 => 158.78, :p95 => 137.90000000000003)",4.20409364639087,24.7,0.1396761133603237,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
30,10,2,0,21,0.3241144414168937,"Dict(:p25 => 41.125, :p75 => 96.25, :p50 => 75.5, :p90 => 112.09999999999997, :p99 => 161.51000000000002, :p95 => 139.55000000000004)",4.333161471000385,25.7,0.13424124513618674,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
31,10,2,0,21,0.3195999999999999,"Dict(:p25 => 43.625, :p75 => 98.25, :p50 => 77.5, :p90 => 112.39999999999998, :p99 => 164.24, :p95 => 141.20000000000005)",4.466225981863848,26.7,0.1292134831460674,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
32,10,2,0,21,0.3152741514360313,"Dict(:p25 => 46.125, :p75 => 100.25, :p50 => 79.5, :p90 => 112.69999999999997, :p99 => 166.97000000000003, :p95 => 142.85000000000005)",4.603519647481989,27.7,0.12454873646209386,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
33,11,3,0,21,0.3412283757111345,"Dict(:p25 => 40.0, :p75 => 92.75, :p50 => 74.0, :p90 => 106.0, :p99 => 169.00000000000003, :p95 => 141.0000000000001)",3.730358656893675,26.09090909090909,0.20019005384859057,21,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
