time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
1,44,0,0,0,0.27024555903866254,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.0, :p99 => 38.28, :p95 => 25.0)",6.383187157752858,1.0,0.0,6,"Dict{String, Real}(""total_attacks"" => 6, ""red_initiated_attacks"" => 5, ""red_attack_rate"" => 0.8333333333333334, ""blue_attack_rate"" => 0.16666666666666666, ""blue_initiated_attacks"" => 1)"
2,40,0,0,1,0.31394736842105275,"Dict(:p25 => 10.75, :p75 => 21.0, :p50 => 14.0, :p90 => 24.1, :p99 => 52.97999999999999, :p95 => 34.39999999999998)",3.698648012267162,2.0,0.0,9,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 3)"
3,37,0,0,1,0.35901948460088007,"Dict(:p25 => 11.0, :p75 => 22.0, :p50 => 15.0, :p90 => 27.0, :p99 => 65.76000000000002, :p95 => 34.400000000000034)",3.2662207644725663,3.0,0.0,12,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 3)"
4,34,0,0,3,0.3814294948748731,"Dict(:p25 => 10.25, :p75 => 24.0, :p50 => 15.0, :p90 => 29.700000000000003, :p99 => 68.09999999999984, :p95 => 47.35)",2.7453318947397474,4.0,0.0,13,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
5,29,0,0,5,0.4174228675136116,"Dict(:p25 => 9.0, :p75 => 28.0, :p50 => 18.0, :p90 => 38.200000000000045, :p99 => 76.60000000000001, :p95 => 64.20000000000003)",2.0847291080182924,5.0,0.0,16,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.3333333333333333, ""blue_attack_rate"" => 0.6666666666666666, ""blue_initiated_attacks"" => 2)"
6,25,0,0,7,0.4399357945425362,"Dict(:p25 => 9.0, :p75 => 29.0, :p50 => 20.0, :p90 => 60.400000000000055, :p99 => 84.84, :p95 => 77.6)",1.799701856230443,6.0,0.0,18,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 2)"
7,24,0,0,7,0.48864850427350426,"Dict(:p25 => 7.75, :p75 => 31.75, :p50 => 19.5, :p90 => 72.00000000000006, :p99 => 87.46999999999998, :p95 => 78.85000000000001)",1.631312261532972,7.0,0.0,19,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
8,23,0,0,8,0.4928453494771601,"Dict(:p25 => 6.5, :p75 => 34.5, :p50 => 22.0, :p90 => 74.4, :p99 => 90.58000000000001, :p95 => 81.60000000000002)",1.6968131087816256,8.0,0.0,19,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
9,21,0,0,9,0.4738169411066606,"Dict(:p25 => 10.0, :p75 => 38.0, :p50 => 26.0, :p90 => 78.00000000000001, :p99 => 93.80000000000001, :p95 => 85.00000000000004)",1.8279364560162454,9.0,0.0,20,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
