time,nagents,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
1,50,0,0,0,0.26157894736842113,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,0,"Dict{String, Real}(""total_attacks"" => 0, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
2,47,0,0,1,0.31998659742000335,"Dict(:p25 => 8.5, :p75 => 18.5, :p50 => 12.0, :p90 => 23.400000000000006, :p99 => 35.09999999999999, :p95 => 25.400000000000006)",5.442795394676272,2.0,0.0,2,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 2, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
3,41,0,0,4,0.3784806482128902,"Dict(:p25 => 7.0, :p75 => 19.0, :p50 => 11.0, :p90 => 24.0, :p99 => 47.599999999999966, :p95 => 36.0)",3.4000420076559994,3.0,0.0,5,"Dict{String, Real}(""total_attacks"" => 3, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.3333333333333333, ""blue_attack_rate"" => 0.6666666666666666, ""blue_initiated_attacks"" => 2)"
4,38,0,0,6,0.40327914025902434,"Dict(:p25 => 7.25, :p75 => 20.75, :p50 => 12.5, :p90 => 26.0, :p99 => 49.77999999999997, :p95 => 40.89999999999999)",2.9278067584814558,4.0,0.0,6,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
5,33,0,0,10,0.41220794709166797,"Dict(:p25 => 7.0, :p75 => 21.0, :p50 => 13.0, :p90 => 39.20000000000001, :p99 => 51.4, :p95 => 45.60000000000001)",2.7071263461441353,5.0,0.0,7,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
6,29,0,0,13,0.431347962382445,"Dict(:p25 => 8.0, :p75 => 24.0, :p50 => 14.0, :p90 => 45.20000000000002, :p99 => 61.48000000000002, :p95 => 53.00000000000001)",2.214702685219458,6.0,0.0,8,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 1.0, ""blue_attack_rate"" => 0.0, ""blue_initiated_attacks"" => 0)"
7,26,0,0,14,0.4767113620324628,"Dict(:p25 => 7.0, :p75 => 26.75, :p50 => 15.5, :p90 => 51.50000000000004, :p99 => 72.0, :p95 => 63.75000000000003)",1.9980268379224828,7.0,0.0,10,"Dict{String, Real}(""total_attacks"" => 2, ""red_initiated_attacks"" => 1, ""red_attack_rate"" => 0.5, ""blue_attack_rate"" => 0.5, ""blue_initiated_attacks"" => 1)"
8,23,0,0,16,0.5060638561174822,"Dict(:p25 => 6.0, :p75 => 28.0, :p50 => 16.0, :p90 => 45.20000000000001, :p99 => 109.70000000000007, :p95 => 57.90000000000002)",2.1651111144980693,8.0,0.0,11,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
9,21,0,0,17,0.5469335526917101,"Dict(:p25 => 5.0, :p75 => 28.0, :p50 => 15.0, :p90 => 36.00000000000005, :p99 => 149.2000000000001, :p95 => 50.00000000000044)",1.99826761099531,9.0,0.0,12,"Dict{String, Real}(""total_attacks"" => 1, ""red_initiated_attacks"" => 0, ""red_attack_rate"" => 0.0, ""blue_attack_rate"" => 1.0, ""blue_initiated_attacks"" => 1)"
