time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
1,50,0,0,0,0.25982456140350885,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,30,20,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 3)"
2,49,0,0,1,0.2961586518437831,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 25.559999999999988, :p95 => 24.0)",10.222949137707785,2.0,0.0,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,29,20,"Dict(""blue_proportion"" => 0.40816326530612246, ""red_proportion"" => 0.5918367346938775)","Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 25.559999999999988, :p95 => 24.0)",10.222949137707785,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 3)"
3,46,0,0,4,0.3218115942028985,"Dict(:p25 => 8.0, :p75 => 18.75, :p50 => 11.0, :p90 => 23.5, :p99 => 27.64999999999999, :p95 => 26.0)",7.025547806019256,3.0,0.0,3.7985045625517038,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,30,16,"Dict(""blue_proportion"" => 0.34782608695652173, ""red_proportion"" => 0.6521739130434783)","Dict(:p25 => 8.0, :p75 => 18.75, :p50 => 11.0, :p90 => 23.5, :p99 => 27.64999999999999, :p95 => 26.0)",7.025547806019256,0,4,"Dict{String, Real}(""red_transmission_rate"" => 0.8571428571428571, ""blue_transmission_rate"" => 0.14285714285714285, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 7)"
4,43,0,0,7,0.34044262360927013,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 12.0, :p90 => 25.0, :p99 => 30.159999999999997, :p95 => 28.0)",4.6315571496370405,4.0,0.0,3.728960711946591,"Dict{String, Real}(""unique_cultures"" => 42, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0205078125)",0.0,0.0,29,14,"Dict(""blue_proportion"" => 0.32558139534883723, ""red_proportion"" => 0.6744186046511628)","Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 12.0, :p90 => 25.0, :p99 => 30.159999999999997, :p95 => 28.0)",4.6315571496370405,0,7,"Dict{String, Real}(""red_transmission_rate"" => 1.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 3)"
5,39,0,0,11,0.33810166441745393,"Dict(:p25 => 8.5, :p75 => 20.0, :p50 => 13.0, :p90 => 28.400000000000006, :p99 => 32.62, :p95 => 30.200000000000003)",5.440627508200007,5.0,0.0,3.5924696276106745,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,14,"Dict(""blue_proportion"" => 0.358974358974359, ""red_proportion"" => 0.6410256410256411)","Dict(:p25 => 8.5, :p75 => 20.0, :p50 => 13.0, :p90 => 28.400000000000006, :p99 => 32.62, :p95 => 30.200000000000003)",5.440627508200007,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.25, ""blue_transmission_rate"" => 0.75, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 4)"
6,36,0,0,14,0.3441602978640017,"Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 13.5, :p90 => 31.5, :p99 => 35.0, :p95 => 32.75)",4.798671563650739,6.0,0.0,3.5065025850605616,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,21,15,"Dict(""blue_proportion"" => 0.4166666666666667, ""red_proportion"" => 0.5833333333333334)","Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 13.5, :p90 => 31.5, :p99 => 35.0, :p95 => 32.75)",4.798671563650739,0,14,"Dict{String, Real}(""red_transmission_rate"" => 0.75, ""blue_transmission_rate"" => 0.25, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 4)"
7,35,0,0,15,0.3667496266799404,"Dict(:p25 => 7.5, :p75 => 24.0, :p50 => 15.0, :p90 => 33.2, :p99 => 37.66, :p95 => 34.89999999999999)",4.514421397175136,7.0,0.0,3.5157396511717023,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,20,15,"Dict(""blue_proportion"" => 0.42857142857142855, ""red_proportion"" => 0.5714285714285714)","Dict(:p25 => 7.5, :p75 => 24.0, :p50 => 15.0, :p90 => 33.2, :p99 => 37.66, :p95 => 34.89999999999999)",4.514421397175136,0,15,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 6)"
8,32,0,0,18,0.35329116638078895,"Dict(:p25 => 7.75, :p75 => 26.25, :p50 => 16.0, :p90 => 35.7, :p99 => 40.38, :p95 => 37.900000000000006)",4.871715647309704,8.0,0.0,3.4657359027997248,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,19,13,"Dict(""blue_proportion"" => 0.40625, ""red_proportion"" => 0.59375)","Dict(:p25 => 7.75, :p75 => 26.25, :p50 => 16.0, :p90 => 35.7, :p99 => 40.38, :p95 => 37.900000000000006)",4.871715647309704,0,18,"Dict{String, Real}(""red_transmission_rate"" => 0.4444444444444444, ""blue_transmission_rate"" => 0.5555555555555556, ""blue_initiated_transmissions"" => 5, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 9)"
9,31,0,0,19,0.35935483870967744,"Dict(:p25 => 8.5, :p75 => 28.0, :p50 => 17.0, :p90 => 38.00000000000001, :p99 => 43.10000000000001, :p95 => 40.5)",6.048049564817428,9.0,0.0,3.3892680315457953,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,16,15,"Dict(""blue_proportion"" => 0.4838709677419355, ""red_proportion"" => 0.5161290322580645)","Dict(:p25 => 8.5, :p75 => 28.0, :p50 => 17.0, :p90 => 38.00000000000001, :p99 => 43.10000000000001, :p95 => 40.5)",6.048049564817428,0,19,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 9)"
