time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0
1,50,0,0,0,0.2600580551523948,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,1.0,0.0,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,27,23,"Dict(""blue_proportion"" => 0.46, ""red_proportion"" => 0.54)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,0,0
2,49,0,0,1,0.29397771378490045,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.6)",7.907866854153609,2.0,0.0,3.8918202981106305,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,25,24,"Dict(""blue_proportion"" => 0.4897959183673469, ""red_proportion"" => 0.5102040816326531)","Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.6)",7.907866854153609,0,1
3,47,0,0,3,0.3306737588652484,"Dict(:p25 => 7.5, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.54, :p95 => 26.700000000000003)",7.5669521635601935,3.0,0.0,3.8501476017100575,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,25,22,"Dict(""blue_proportion"" => 0.46808510638297873, ""red_proportion"" => 0.5319148936170213)","Dict(:p25 => 7.5, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.54, :p95 => 26.700000000000003)",7.5669521635601935,0,3
4,44,0,0,6,0.34907143926913276,"Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 26.700000000000003, :p99 => 31.0, :p95 => 28.85)",4.697628882841127,4.0,0.0,3.752682943892813,"Dict{String, Real}(""unique_cultures"" => 43, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02099609375)",0.0,0.0,26,18,"Dict(""blue_proportion"" => 0.4090909090909091, ""red_proportion"" => 0.5909090909090909)","Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 26.700000000000003, :p99 => 31.0, :p95 => 28.85)",4.697628882841127,0,6
5,40,0,0,10,0.3473706176961604,"Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.5, :p90 => 29.1, :p99 => 33.61, :p95 => 31.099999999999994)",4.199628573853255,5.0,0.0,3.6542220950859425,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,26,14,"Dict(""blue_proportion"" => 0.35, ""red_proportion"" => 0.65)","Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.5, :p90 => 29.1, :p99 => 33.61, :p95 => 31.099999999999994)",4.199628573853255,0,10
6,37,0,0,13,0.35009009009009007,"Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 14.0, :p90 => 31.400000000000006, :p99 => 36.28, :p95 => 33.400000000000006)",6.977276501347133,6.0,0.0,3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,23,14,"Dict(""blue_proportion"" => 0.3783783783783784, ""red_proportion"" => 0.6216216216216216)","Dict(:p25 => 8.0, :p75 => 23.0, :p50 => 14.0, :p90 => 31.400000000000006, :p99 => 36.28, :p95 => 33.400000000000006)",6.977276501347133,0,13
7,36,0,0,14,0.3729702609012955,"Dict(:p25 => 7.0, :p75 => 23.75, :p50 => 16.0, :p90 => 34.0, :p99 => 38.949999999999996, :p95 => 35.5)",5.830422693875749,7.0,0.0,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,23,13,"Dict(""blue_proportion"" => 0.3611111111111111, ""red_proportion"" => 0.6388888888888888)","Dict(:p25 => 7.0, :p75 => 23.75, :p50 => 16.0, :p90 => 34.0, :p99 => 38.949999999999996, :p95 => 35.5)",5.830422693875749,0,14
8,34,0,0,16,0.37884815762053625,"Dict(:p25 => 7.0, :p75 => 27.75, :p50 => 16.5, :p90 => 36.7, :p99 => 41.67999999999998, :p95 => 37.7)",13.234042193193863,8.0,0.0,3.485587161053814,"Dict{String, Real}(""unique_cultures"" => 33, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01611328125)",0.0,0.0,21,13,"Dict(""blue_proportion"" => 0.38235294117647056, ""red_proportion"" => 0.6176470588235294)","Dict(:p25 => 7.0, :p75 => 27.75, :p50 => 16.5, :p90 => 36.7, :p99 => 41.67999999999998, :p95 => 37.7)",13.234042193193863,0,16
9,33,0,0,17,0.3867198632088915,"Dict(:p25 => 6.0, :p75 => 31.0, :p50 => 17.0, :p90 => 38.8, :p99 => 44.4, :p95 => 40.400000000000006)",12.561468500831104,9.0,0.0,3.4544986414325436,"Dict{String, Real}(""unique_cultures"" => 32, ""max_possible"" => 2048, ""diversity_ratio"" => 0.015625)",0.0,0.0,20,13,"Dict(""blue_proportion"" => 0.3939393939393939, ""red_proportion"" => 0.6060606060606061)","Dict(:p25 => 6.0, :p75 => 31.0, :p50 => 17.0, :p90 => 38.8, :p99 => 44.4, :p95 => 40.400000000000006)",12.561468500831104,0,17
