time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
1,50,0,0,0,0.25712230215827336,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 23.0, :p99 => 24.0, :p95 => 23.549999999999997)",22.78728712621092,1.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 14.0, :p90 => 23.0, :p99 => 24.0, :p95 => 23.549999999999997)",22.78728712621092,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
2,49,0,0,1,0.28749424581862826,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 25.0, :p95 => 24.6)",8.48139546369184,2.0,0.0,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,27,22,"Dict(""blue_proportion"" => 0.4489795918367347, ""red_proportion"" => 0.5510204081632653)","Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 25.0, :p95 => 24.6)",8.48139546369184,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 4)"
3,47,0,0,3,0.3155644710447565,"Dict(:p25 => 8.5, :p75 => 19.5, :p50 => 14.0, :p90 => 25.0, :p99 => 27.54, :p95 => 26.700000000000003)",8.05064051565075,3.0,0.0,3.820651977005379,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,27,20,"Dict(""blue_proportion"" => 0.425531914893617, ""red_proportion"" => 0.574468085106383)","Dict(:p25 => 8.5, :p75 => 19.5, :p50 => 14.0, :p90 => 25.0, :p99 => 27.54, :p95 => 26.700000000000003)",8.05064051565075,0,3,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 2)"
4,44,0,0,6,0.32351901597624777,"Dict(:p25 => 8.75, :p75 => 21.0, :p50 => 14.5, :p90 => 26.700000000000003, :p99 => 30.14, :p95 => 28.85)",6.037129438662876,4.0,0.0,3.7841896339182655,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,26,18,"Dict(""blue_proportion"" => 0.4090909090909091, ""red_proportion"" => 0.5909090909090909)","Dict(:p25 => 8.75, :p75 => 21.0, :p50 => 14.5, :p90 => 26.700000000000003, :p99 => 30.14, :p95 => 28.85)",6.037129438662876,0,6,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 3)"
5,41,0,0,9,0.32207147957458004,"Dict(:p25 => 9.0, :p75 => 22.0, :p50 => 15.0, :p90 => 29.0, :p99 => 32.79999999999998, :p95 => 31.0)",8.128480756161794,5.0,0.0,3.713572066704311,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,29,12,"Dict(""blue_proportion"" => 0.2926829268292683, ""red_proportion"" => 0.7073170731707317)","Dict(:p25 => 9.0, :p75 => 22.0, :p50 => 15.0, :p90 => 29.0, :p99 => 32.79999999999998, :p95 => 31.0)",8.128480756161794,0,9,"Dict{String, Real}(""red_transmission_rate"" => 0.4, ""blue_transmission_rate"" => 0.6, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 5)"
6,39,0,0,11,0.32752343326361455,"Dict(:p25 => 8.5, :p75 => 24.0, :p50 => 17.0, :p90 => 31.200000000000003, :p99 => 35.47999999999999, :p95 => 33.0)",9.538495336063574,6.0,0.0,3.6635616461296423,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,25,14,"Dict(""blue_proportion"" => 0.358974358974359, ""red_proportion"" => 0.6410256410256411)","Dict(:p25 => 8.5, :p75 => 24.0, :p50 => 17.0, :p90 => 31.200000000000003, :p99 => 35.47999999999999, :p95 => 33.0)",9.538495336063574,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 2, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 4)"
7,39,0,0,11,0.3572449056320024,"Dict(:p25 => 8.0, :p75 => 26.0, :p50 => 17.0, :p90 => 34.0, :p99 => 37.47999999999999, :p95 => 35.0)",13.23073933256476,7.0,0.0,3.6635616461296423,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,25,14,"Dict(""blue_proportion"" => 0.358974358974359, ""red_proportion"" => 0.6410256410256411)","Dict(:p25 => 8.0, :p75 => 26.0, :p50 => 17.0, :p90 => 34.0, :p99 => 37.47999999999999, :p95 => 35.0)",13.23073933256476,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.8, ""blue_transmission_rate"" => 0.2, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 5)"
8,38,0,0,12,0.37238337320574155,"Dict(:p25 => 8.0, :p75 => 28.75, :p50 => 17.5, :p90 => 36.300000000000004, :p99 => 40.14999999999998, :p95 => 37.0)",18.557696504984143,8.0,0.0,3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,24,14,"Dict(""blue_proportion"" => 0.3684210526315789, ""red_proportion"" => 0.631578947368421)","Dict(:p25 => 8.0, :p75 => 28.75, :p50 => 17.5, :p90 => 36.300000000000004, :p99 => 40.14999999999998, :p95 => 37.0)",18.557696504984143,0,12,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 4)"
9,37,0,0,13,0.38060894457043015,"Dict(:p25 => 8.0, :p75 => 31.0, :p50 => 19.0, :p90 => 38.400000000000006, :p99 => 42.84, :p95 => 39.0)",17.198498634843773,9.0,0.0,3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,12,"Dict(""blue_proportion"" => 0.32432432432432434, ""red_proportion"" => 0.6756756756756757)","Dict(:p25 => 8.0, :p75 => 31.0, :p50 => 19.0, :p90 => 38.400000000000006, :p99 => 42.84, :p95 => 39.0)",17.198498634843773,0,13,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 9)"
