time,nagents,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 0.0, ""blue_initiated_transmissions"" => 0, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 0)"
1,50,0,0,0,0.26099415204678356,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,1.0,0.0,3.912023005428145,"Dict{String, Real}(""unique_cultures"" => 50, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0244140625)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.0)",25.467857350961356,0,0,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 4)"
2,49,0,0,1,0.2984013071476628,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 25.559999999999988, :p95 => 24.0)",10.222949137707785,2.0,0.0,3.8918202981106305,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,29,20,"Dict(""blue_proportion"" => 0.40816326530612246, ""red_proportion"" => 0.5918367346938775)","Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.0, :p99 => 25.559999999999988, :p95 => 24.0)",10.222949137707785,0,1,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 3, ""total_transmissions"" => 6)"
3,46,0,0,4,0.32181870795051726,"Dict(:p25 => 8.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.5, :p99 => 27.64999999999999, :p95 => 25.75)",7.247437772856184,3.0,0.0,3.7985045625517033,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,27,19,"Dict(""blue_proportion"" => 0.41304347826086957, ""red_proportion"" => 0.5869565217391305)","Dict(:p25 => 8.25, :p75 => 18.75, :p50 => 11.0, :p90 => 23.5, :p99 => 27.64999999999999, :p95 => 25.75)",7.247437772856184,0,4,"Dict{String, Real}(""red_transmission_rate"" => 0.6666666666666666, ""blue_transmission_rate"" => 0.3333333333333333, ""blue_initiated_transmissions"" => 1, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 3)"
4,43,0,0,7,0.33975103070087664,"Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 12.0, :p90 => 25.800000000000004, :p99 => 29.739999999999995, :p95 => 27.799999999999997)",4.827121828087759,4.0,0.0,3.728960711946591,"Dict{String, Real}(""unique_cultures"" => 42, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0205078125)",0.0,0.0,26,17,"Dict(""blue_proportion"" => 0.3953488372093023, ""red_proportion"" => 0.6046511627906976)","Dict(:p25 => 7.0, :p75 => 20.0, :p50 => 12.0, :p90 => 25.800000000000004, :p99 => 29.739999999999995, :p95 => 27.799999999999997)",4.827121828087759,0,7,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 6)"
5,39,0,0,11,0.33489953908802095,"Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 14.0, :p90 => 28.0, :p99 => 31.859999999999992, :p95 => 30.0)",4.721592767278378,5.0,0.0,3.6635616461296423,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,24,15,"Dict(""blue_proportion"" => 0.38461538461538464, ""red_proportion"" => 0.6153846153846154)","Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 14.0, :p90 => 28.0, :p99 => 31.859999999999992, :p95 => 30.0)",4.721592767278378,0,11,"Dict{String, Real}(""red_transmission_rate"" => 0.0, ""blue_transmission_rate"" => 1.0, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 0, ""total_transmissions"" => 3)"
6,36,0,0,14,0.33435852372583486,"Dict(:p25 => 8.0, :p75 => 22.25, :p50 => 15.0, :p90 => 30.0, :p99 => 33.949999999999996, :p95 => 31.25)",4.601184268019611,6.0,0.0,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,21,15,"Dict(""blue_proportion"" => 0.4166666666666667, ""red_proportion"" => 0.5833333333333334)","Dict(:p25 => 8.0, :p75 => 22.25, :p50 => 15.0, :p90 => 30.0, :p99 => 33.949999999999996, :p95 => 31.25)",4.601184268019611,0,14,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 4, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 6)"
7,34,0,0,16,0.3379539641943734,"Dict(:p25 => 8.0, :p75 => 23.75, :p50 => 17.5, :p90 => 32.0, :p99 => 36.009999999999984, :p95 => 32.7)",16.458642084044524,7.0,0.0,3.4855871610538136,"Dict{String, Real}(""unique_cultures"" => 33, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01611328125)",0.0,0.0,21,13,"Dict(""blue_proportion"" => 0.38235294117647056, ""red_proportion"" => 0.6176470588235294)","Dict(:p25 => 8.0, :p75 => 23.75, :p50 => 17.5, :p90 => 32.0, :p99 => 36.009999999999984, :p95 => 32.7)",16.458642084044524,0,16,"Dict{String, Real}(""red_transmission_rate"" => 0.4, ""blue_transmission_rate"" => 0.6, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 5)"
8,33,0,0,17,0.35453511221429324,"Dict(:p25 => 7.0, :p75 => 25.0, :p50 => 17.0, :p90 => 34.0, :p99 => 38.04, :p95 => 34.800000000000004)",17.460927843911133,8.0,0.0,3.412489721398608,"Dict{String, Real}(""unique_cultures"" => 31, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01513671875)",0.0,0.0,19,14,"Dict(""blue_proportion"" => 0.42424242424242425, ""red_proportion"" => 0.5757575757575758)","Dict(:p25 => 7.0, :p75 => 25.0, :p50 => 17.0, :p90 => 34.0, :p99 => 38.04, :p95 => 34.800000000000004)",17.460927843911133,0,17,"Dict{String, Real}(""red_transmission_rate"" => 0.16666666666666666, ""blue_transmission_rate"" => 0.8333333333333334, ""blue_initiated_transmissions"" => 5, ""red_initiated_transmissions"" => 1, ""total_transmissions"" => 6)"
9,32,0,0,18,0.3635468490878939,"Dict(:p25 => 7.5, :p75 => 26.75, :p50 => 17.5, :p90 => 36.0, :p99 => 40.07000000000001, :p95 => 37.45)",12.064875419272981,9.0,0.0,3.3790925052297323,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,20,12,"Dict(""blue_proportion"" => 0.375, ""red_proportion"" => 0.625)","Dict(:p25 => 7.5, :p75 => 26.75, :p50 => 17.5, :p90 => 36.0, :p99 => 40.07000000000001, :p95 => 37.45)",12.064875419272981,0,18,"Dict{String, Real}(""red_transmission_rate"" => 0.4, ""blue_transmission_rate"" => 0.6, ""blue_initiated_transmissions"" => 3, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 5)"
