time,nagents,#77,#78,#79,#80,#81,#82,#83,#84,#85
0,50,0,0,0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,0.0
1,50,0,0,0,0.2600580551523948,"Dict(:p25 => 8.25, :p75 => 19.75, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",20.847962706112217,1.0,0.0,0.0
2,49,0,0,1,0.29397771378490045,"Dict(:p25 => 9.0, :p75 => 19.0, :p50 => 12.0, :p90 => 24.0, :p99 => 26.039999999999992, :p95 => 24.6)",7.907866854153609,2.0,0.0,0.0
3,47,0,0,3,0.3306737588652484,"Dict(:p25 => 7.5, :p75 => 19.0, :p50 => 11.0, :p90 => 25.0, :p99 => 28.54, :p95 => 26.700000000000003)",7.5669521635601935,3.0,0.0,0.0
4,44,0,0,6,0.348846787479407,"Dict(:p25 => 7.75, :p75 => 20.25, :p50 => 12.5, :p90 => 26.700000000000003, :p99 => 31.0, :p95 => 28.85)",4.697628882841127,4.0,0.0,0.0
5,41,0,0,9,0.36214829594038833,"Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 13.0, :p90 => 29.0, :p99 => 33.599999999999994, :p95 => 31.0)",4.199628573853255,5.0,0.0,0.0
6,38,0,0,12,0.3681114551083591,"Dict(:p25 => 7.25, :p75 => 22.75, :p50 => 13.5, :p90 => 31.300000000000004, :p99 => 36.25999999999999, :p95 => 33.3)",7.765059541977759,6.0,0.0,0.0
7,36,0,0,14,0.377326331306431,"Dict(:p25 => 7.0, :p75 => 24.5, :p50 => 16.0, :p90 => 34.0, :p99 => 38.949999999999996, :p95 => 35.5)",6.333185949468311,7.0,0.0,0.0
8,34,0,0,16,0.38053857906799093,"Dict(:p25 => 6.25, :p75 => 28.0, :p50 => 16.5, :p90 => 36.7, :p99 => 41.67999999999998, :p95 => 37.7)",6.656039105334466,8.0,0.0,0.0
9,33,0,0,17,0.389240506329114,"Dict(:p25 => 6.0, :p75 => 31.0, :p50 => 17.0, :p90 => 38.8, :p99 => 44.4, :p95 => 40.400000000000006)",6.663423059785941,9.0,0.0,0.0
10,33,0,0,17,0.4146534469115115,"Dict(:p25 => 5.0, :p75 => 32.0, :p50 => 18.0, :p90 => 40.8, :p99 => 47.08, :p95 => 43.0)",6.673508065101839,10.0,0.0,0.0
11,31,0,0,19,0.4040442946557534,"Dict(:p25 => 8.5, :p75 => 34.0, :p50 => 21.0, :p90 => 43.0, :p99 => 50.20000000000002, :p95 => 45.5)",6.6853370288512295,11.0,0.0,0.0
12,29,0,0,21,0.3823456237249341,"Dict(:p25 => 12.0, :p75 => 37.0, :p50 => 23.0, :p90 => 45.400000000000006, :p99 => 53.32000000000002, :p95 => 48.2)",11.927337539007391,12.0,0.0,0.0
13,28,0,0,22,0.37398172064375124,"Dict(:p25 => 12.0, :p75 => 39.75, :p50 => 25.0, :p90 => 47.599999999999994, :p99 => 56.38, :p95 => 50.95)",11.387211955752143,13.0,0.0,0.0
14,26,0,0,24,0.338007836667354,"Dict(:p25 => 13.75, :p75 => 43.25, :p50 => 28.5, :p90 => 50.00000000000001, :p99 => 59.5, :p95 => 54.000000000000014)",10.939747583912606,14.0,0.0,0.0
15,25,0,0,25,0.3195870967741936,"Dict(:p25 => 18.0, :p75 => 46.0, :p50 => 31.0, :p90 => 52.2, :p99 => 62.56000000000001, :p95 => 57.0)",10.56297222804863,15.0,0.0,0.0
16,25,0,0,25,0.32546583850931676,"Dict(:p25 => 20.0, :p75 => 48.0, :p50 => 32.0, :p90 => 54.2, :p99 => 65.56, :p95 => 59.8)",12.135217540803662,16.0,0.0,0.0
17,25,0,0,25,0.3325810324129652,"Dict(:p25 => 20.0, :p75 => 50.0, :p50 => 32.0, :p90 => 56.6, :p99 => 68.56, :p95 => 62.60000000000001)",11.199498974404637,17.0,0.0,0.0
18,26,1,0,25,0.34401213635552375,"Dict(:p25 => 14.75, :p75 => 48.25, :p50 => 31.5, :p90 => 58.00000000000001, :p99 => 71.5, :p95 => 65.00000000000003)",9.721309322759922,17.307692307692307,0.038461538461538325,0.0
19,31,6,0,25,0.37612758894421594,"Dict(:p25 => 12.75, :p75 => 39.5, :p50 => 26.0, :p90 => 56.000000000000014, :p99 => 74.20000000000002, :p95 => 65.50000000000003)",3.9891686424838286,15.35483870967742,0.19178639197614533,0.0
20,33,8,0,25,0.3852394916911046,"Dict(:p25 => 13.0, :p75 => 40.0, :p50 => 24.5, :p90 => 55.400000000000006, :p99 => 71.4, :p95 => 65.00000000000001)",4.641302999224345,15.363636363636363,0.22975315283007602,0.0
21,36,11,0,25,0.39055325987144185,"Dict(:p25 => 12.75, :p75 => 38.0, :p50 => 24.5, :p90 => 54.0, :p99 => 72.14999999999998, :p95 => 61.25)",4.422432465304623,15.0,0.2810699588477368,0.0
22,38,13,0,25,0.38710604714367847,"Dict(:p25 => 12.25, :p75 => 33.75, :p50 => 23.75, :p90 => 53.90000000000001, :p99 => 73.92999999999995, :p95 => 63.599999999999994)",3.596594286943474,15.157894736842104,0.30226608187134496,0.0
23,41,16,0,25,0.3816314622476369,"Dict(:p25 => 11.5, :p75 => 35.0, :p50 => 21.0, :p90 => 46.0, :p99 => 75.59999999999994, :p95 => 55.0)",3.384062044754117,14.975609756097562,0.33598156828473824,0.0
24,42,18,0,26,0.3523459061637535,"Dict(:p25 => 13.125, :p75 => 34.875, :p50 => 22.0, :p90 => 43.80000000000001, :p99 => 77.48999999999995, :p95 => 55.50000000000003)",3.2550685607001877,15.023809523809524,0.354350615047921,0.0
25,45,22,0,27,0.3328065554580042,"Dict(:p25 => 14.5, :p75 => 31.0, :p50 => 21.5, :p90 => 45.2, :p99 => 74.39999999999998, :p95 => 55.79999999999997)",3.768082575029339,14.4,0.3980109739369,0.0
26,48,25,0,27,0.3179787828029035,"Dict(:p25 => 15.25, :p75 => 30.125, :p50 => 20.25, :p90 => 46.300000000000004, :p99 => 66.41499999999996, :p95 => 55.79999999999998)",3.862622867651809,14.4375,0.41140572390572405,0.0
27,48,26,0,28,0.3111166666666667,"Dict(:p25 => 16.0, :p75 => 32.125, :p50 => 21.75, :p90 => 48.300000000000004, :p99 => 68.41499999999996, :p95 => 56.79999999999998)",4.187040830841583,14.875,0.4039449112978526,0.0
28,48,26,0,28,0.3081724581724583,"Dict(:p25 => 16.0, :p75 => 33.125, :p50 => 23.0, :p90 => 49.0, :p99 => 70.41499999999996, :p95 => 57.44999999999998)",4.297240127520258,15.875,0.37849956255468076,0.0
29,49,27,0,28,0.3044928419128845,"Dict(:p25 => 14.5, :p75 => 35.0, :p50 => 24.5, :p90 => 49.2, :p99 => 69.23999999999995, :p95 => 55.20000000000001)",4.737565335693568,16.53061224489796,0.36921138825900734,0.0
30,49,27,0,28,0.2986443148688047,"Dict(:p25 => 16.5, :p75 => 37.0, :p50 => 26.0, :p90 => 49.400000000000006, :p99 => 70.75999999999995, :p95 => 57.20000000000001)",4.758854314995648,17.53061224489796,0.34815043596018147,0.0
31,49,27,0,28,0.295638803466592,"Dict(:p25 => 17.5, :p75 => 39.0, :p50 => 28.0, :p90 => 49.60000000000001, :p99 => 72.27999999999994, :p95 => 59.20000000000001)",4.725253472188767,18.53061224489796,0.32936258203722013,0.0
32,51,29,0,28,0.30370227038183706,"Dict(:p25 => 14.5, :p75 => 38.5, :p50 => 29.0, :p90 => 49.0, :p99 => 73.5, :p95 => 60.5)",3.6893183005788797,18.764705882352942,0.33945950375970657,0.0
33,51,29,0,28,0.30399631262924487,"Dict(:p25 => 15.25, :p75 => 40.5, :p50 => 30.0, :p90 => 49.0, :p99 => 75.0, :p95 => 62.5)",3.9802715103206334,19.764705882352942,0.3222844693432929,0.0
