time,nagents,#77,#78,#79,#80,#81,#82,#83,#84
0,100,0,0,0,0.23126649076517158,"Dict(:p25 => 10.75, :p75 => 20.25, :p50 => 15.0, :p90 => 24.0, :p99 => 25.0, :p95 => 25.0)",13.281928836255917,0.0,0.0
1,100,0,0,0,0.2542484121383204,"Dict(:p25 => 9.0, :p75 => 20.0, :p50 => 14.0, :p90 => 23.0, :p99 => 25.010000000000005, :p95 => 24.0)",10.645106246117752,1.0,0.0
2,99,0,0,1,0.28531399001197655,"Dict(:p25 => 8.5, :p75 => 19.0, :p50 => 12.0, :p90 => 23.200000000000003, :p99 => 27.0, :p95 => 24.0)",9.47882139629212,2.0,0.0
3,95,0,0,5,0.3069847515986226,"Dict(:p25 => 8.0, :p75 => 18.5, :p50 => 13.0, :p90 => 24.19999999999999, :p99 => 29.0, :p95 => 26.0)",5.296502356749106,3.0,0.0
4,90,0,0,10,0.3215832445864395,"Dict(:p25 => 8.0, :p75 => 18.0, :p50 => 14.0, :p90 => 26.0, :p99 => 31.0, :p95 => 28.549999999999997)",5.044709496065563,4.0,0.0
5,83,0,0,17,0.31957562173959864,"Dict(:p25 => 8.5, :p75 => 20.0, :p50 => 14.0, :p90 => 27.799999999999997, :p99 => 33.0, :p95 => 30.0)",4.237490054445073,5.0,0.0
6,77,0,0,23,0.31863609641387436,"Dict(:p25 => 8.0, :p75 => 21.0, :p50 => 14.0, :p90 => 30.0, :p99 => 35.0, :p95 => 31.400000000000006)",3.8586011949165635,6.0,0.0
7,75,0,0,25,0.33741318020235167,"Dict(:p25 => 8.0, :p75 => 22.5, :p50 => 14.0, :p90 => 31.599999999999994, :p99 => 37.0, :p95 => 32.89999999999999)",4.344699631782142,7.0,0.0
8,72,0,0,28,0.3495954253684115,"Dict(:p25 => 8.0, :p75 => 24.25, :p50 => 15.0, :p90 => 33.0, :p99 => 39.290000000000006, :p95 => 35.35000000000001)",5.48257996537734,8.0,0.0
9,71,0,0,29,0.37483326927859295,"Dict(:p25 => 7.0, :p75 => 26.0, :p50 => 15.0, :p90 => 35.0, :p99 => 41.60000000000002, :p95 => 37.5)",6.144626611235953,9.0,0.0
10,70,0,0,30,0.400487915579258,"Dict(:p25 => 7.25, :p75 => 27.75, :p50 => 15.0, :p90 => 37.0, :p99 => 43.93000000000001, :p95 => 39.19999999999999)",6.987399797191737,10.0,0.0
11,66,0,0,34,0.39755713159968487,"Dict(:p25 => 8.25, :p75 => 29.75, :p50 => 17.5, :p90 => 38.0, :p99 => 46.050000000000026, :p95 => 39.75)",7.565931120003003,11.0,0.0
12,62,0,0,38,0.38384605803960636,"Dict(:p25 => 8.25, :p75 => 33.5, :p50 => 18.5, :p90 => 39.900000000000006, :p99 => 48.17, :p95 => 41.0)",9.96001077465981,12.0,0.0
13,59,0,0,41,0.3691092137122467,"Dict(:p25 => 9.0, :p75 => 36.5, :p50 => 21.0, :p90 => 41.2, :p99 => 50.259999999999984, :p95 => 43.2)",10.193841111003753,13.0,0.0
14,55,0,0,45,0.33974940015995747,"Dict(:p25 => 11.0, :p75 => 39.0, :p50 => 25.0, :p90 => 43.6, :p99 => 52.38, :p95 => 45.60000000000001)",10.930122157413235,14.0,0.0
15,53,0,0,47,0.3289867723091384,"Dict(:p25 => 10.0, :p75 => 40.0, :p50 => 26.0, :p90 => 46.800000000000004, :p99 => 54.43999999999999, :p95 => 47.8)",12.866358847459335,15.0,0.0
16,53,0,0,47,0.33863506419252554,"Dict(:p25 => 9.0, :p75 => 41.0, :p50 => 26.0, :p90 => 48.800000000000004, :p99 => 56.43999999999999, :p95 => 50.4)",10.14926492125306,16.0,0.0
