time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,1.0,NaN,1,bigfive
2,4.0,NaN,1,bigfive
3,2.0,NaN,1,bigfive
4,1.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,1.0,NaN,1,bigfive
7,3.0,NaN,1,bigfive
8,2.0,NaN,1,bigfive
9,1.0,NaN,1,bigfive
10,1.0,NaN,1,bigfive
11,1.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,1.0,NaN,1,bigfive
14,1.0,NaN,1,bigfive
15,1.0,NaN,1,bigfive
16,1.0,NaN,1,bigfive
17,2.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,2.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,1.0,NaN,1,bigfive
22,0.0,NaN,1,bigfive
23,0.0,NaN,1,bigfive
24,0.0,NaN,1,bigfive
25,0.0,NaN,1,bigfive
26,0.0,NaN,1,bigfive
27,0.0,NaN,1,bigfive
28,0.0,NaN,1,bigfive
29,0.0,NaN,1,bigfive
30,0.0,NaN,1,bigfive
31,0.0,NaN,1,bigfive
32,0.0,NaN,1,bigfive
33,0.0,NaN,1,bigfive
34,0.0,NaN,1,bigfive
35,1.0,NaN,1,bigfive
36,0.0,NaN,1,bigfive
37,0.0,NaN,1,bigfive
38,0.0,NaN,1,bigfive
39,0.0,NaN,1,bigfive
40,0.0,NaN,1,bigfive
41,0.0,NaN,1,bigfive
42,0.0,NaN,1,bigfive
43,0.0,NaN,1,bigfive
44,0.0,NaN,1,bigfive
45,0.0,NaN,1,bigfive
46,0.0,NaN,1,bigfive
47,0.0,NaN,1,bigfive
48,0.0,NaN,1,bigfive
49,0.0,NaN,1,bigfive
50,0.0,NaN,1,bigfive
51,0.0,NaN,1,bigfive
52,0.0,NaN,1,bigfive
53,0.0,NaN,1,bigfive
54,0.0,NaN,1,bigfive
55,0.0,NaN,1,bigfive
56,1.0,NaN,1,bigfive
57,0.0,NaN,1,bigfive
58,0.0,NaN,1,bigfive
59,0.0,NaN,1,bigfive
60,0.0,NaN,1,bigfive
61,0.0,NaN,1,bigfive
62,0.0,NaN,1,bigfive
63,0.0,NaN,1,bigfive
64,0.0,NaN,1,bigfive
65,0.0,NaN,1,bigfive
66,0.0,NaN,1,bigfive
67,0.0,NaN,1,bigfive
68,1.0,NaN,1,bigfive
69,0.0,NaN,1,bigfive
70,0.0,NaN,1,bigfive
71,1.0,NaN,1,bigfive
72,0.0,NaN,1,bigfive
73,0.0,NaN,1,bigfive
74,0.0,NaN,1,bigfive
75,0.0,NaN,1,bigfive
76,0.0,NaN,1,bigfive
77,0.0,NaN,1,bigfive
78,0.0,NaN,1,bigfive
79,0.0,NaN,1,bigfive
80,0.0,NaN,1,bigfive
81,1.0,NaN,1,bigfive
82,1.0,NaN,1,bigfive
83,0.0,NaN,1,bigfive
84,0.0,NaN,1,bigfive
85,0.0,NaN,1,bigfive
86,0.0,NaN,1,bigfive
87,0.0,NaN,1,bigfive
88,0.0,NaN,1,bigfive
89,0.0,NaN,1,bigfive
90,0.0,NaN,1,bigfive
91,1.0,NaN,1,bigfive
92,1.0,NaN,1,bigfive
93,0.0,NaN,1,bigfive
94,0.0,NaN,1,bigfive
95,0.0,NaN,1,bigfive
96,0.0,NaN,1,bigfive
97,0.0,NaN,1,bigfive
98,0.0,NaN,1,bigfive
99,0.0,NaN,1,bigfive
100,0.0,NaN,1,bigfive
101,0.0,NaN,1,bigfive
102,0.0,NaN,1,bigfive
103,0.0,NaN,1,bigfive
104,0.0,NaN,1,bigfive
105,0.0,NaN,1,bigfive
106,0.0,NaN,1,bigfive
107,0.0,NaN,1,bigfive
108,0.0,NaN,1,bigfive
109,0.0,NaN,1,bigfive
110,0.0,NaN,1,bigfive
111,0.0,NaN,1,bigfive
112,0.0,NaN,1,bigfive
113,0.0,NaN,1,bigfive
114,0.0,NaN,1,bigfive
115,0.0,NaN,1,bigfive
116,0.0,NaN,1,bigfive
117,0.0,NaN,1,bigfive
118,0.0,NaN,1,bigfive
119,0.0,NaN,1,bigfive
120,0.0,NaN,1,bigfive
121,0.0,NaN,1,bigfive
122,0.0,NaN,1,bigfive
123,0.0,NaN,1,bigfive
124,0.0,NaN,1,bigfive
125,0.0,NaN,1,bigfive
126,0.0,NaN,1,bigfive
127,0.0,NaN,1,bigfive
128,0.0,NaN,1,bigfive
129,0.0,NaN,1,bigfive
130,0.0,NaN,1,bigfive
131,0.0,NaN,1,bigfive
132,0.0,NaN,1,bigfive
133,0.0,NaN,1,bigfive
134,0.0,NaN,1,bigfive
135,0.0,NaN,1,bigfive
136,0.0,NaN,1,bigfive
137,0.0,NaN,1,bigfive
138,0.0,NaN,1,bigfive
139,0.0,NaN,1,bigfive
140,0.0,NaN,1,bigfive
141,0.0,NaN,1,bigfive
142,0.0,NaN,1,bigfive
143,0.0,NaN,1,bigfive
144,0.0,NaN,1,bigfive
145,0.0,NaN,1,bigfive
146,0.0,NaN,1,bigfive
147,0.0,NaN,1,bigfive
148,0.0,NaN,1,bigfive
149,0.0,NaN,1,bigfive
150,0.0,NaN,1,bigfive
0,0.0,0.0,2,llm
1,2.0,NaN,1,llm
2,2.0,NaN,1,llm
3,3.0,NaN,1,llm
4,2.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,2.0,NaN,1,llm
8,2.0,NaN,1,llm
9,1.0,NaN,1,llm
10,2.0,NaN,1,llm
11,2.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,1.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,1.0,NaN,1,llm
19,0.0,NaN,1,llm
20,1.0,NaN,1,llm
21,0.0,NaN,1,llm
22,0.0,NaN,1,llm
23,0.0,NaN,1,llm
24,0.0,NaN,1,llm
25,0.0,NaN,1,llm
26,0.0,NaN,1,llm
27,0.0,NaN,1,llm
28,0.0,NaN,1,llm
29,0.0,NaN,1,llm
30,0.0,NaN,1,llm
31,0.0,NaN,1,llm
32,0.0,NaN,1,llm
33,0.0,NaN,1,llm
34,0.0,NaN,1,llm
35,0.0,NaN,1,llm
36,0.0,NaN,1,llm
37,0.0,NaN,1,llm
38,0.0,NaN,1,llm
39,0.0,NaN,1,llm
40,0.0,NaN,1,llm
41,0.0,NaN,1,llm
42,0.0,NaN,1,llm
43,0.0,NaN,1,llm
44,0.0,NaN,1,llm
45,0.0,NaN,1,llm
46,0.0,NaN,1,llm
47,0.0,NaN,1,llm
48,0.0,NaN,1,llm
49,0.0,NaN,1,llm
50,0.0,NaN,1,llm
51,0.0,NaN,1,llm
52,0.0,NaN,1,llm
53,0.0,NaN,1,llm
54,0.0,NaN,1,llm
55,0.0,NaN,1,llm
56,0.0,NaN,1,llm
57,0.0,NaN,1,llm
58,0.0,NaN,1,llm
59,0.0,NaN,1,llm
60,0.0,NaN,1,llm
61,0.0,NaN,1,llm
62,0.0,NaN,1,llm
63,0.0,NaN,1,llm
64,0.0,NaN,1,llm
65,0.0,NaN,1,llm
66,1.0,NaN,1,llm
67,0.0,NaN,1,llm
68,0.0,NaN,1,llm
69,0.0,NaN,1,llm
70,0.0,NaN,1,llm
71,1.0,NaN,1,llm
72,0.0,NaN,1,llm
73,0.0,NaN,1,llm
74,0.0,NaN,1,llm
75,1.0,NaN,1,llm
76,0.0,NaN,1,llm
77,0.0,NaN,1,llm
78,0.0,NaN,1,llm
79,0.0,NaN,1,llm
80,0.0,NaN,1,llm
81,0.0,NaN,1,llm
82,0.0,NaN,1,llm
83,0.0,NaN,1,llm
84,1.0,NaN,1,llm
85,1.0,NaN,1,llm
86,0.0,NaN,1,llm
87,0.0,NaN,1,llm
88,1.0,NaN,1,llm
89,1.0,NaN,1,llm
90,0.0,NaN,1,llm
91,0.0,NaN,1,llm
92,0.0,NaN,1,llm
93,0.0,NaN,1,llm
94,0.0,NaN,1,llm
95,0.0,NaN,1,llm
96,0.0,NaN,1,llm
97,0.0,NaN,1,llm
98,0.0,NaN,1,llm
99,0.0,NaN,1,llm
100,0.0,NaN,1,llm
101,0.0,NaN,1,llm
102,0.0,NaN,1,llm
103,0.0,NaN,1,llm
104,0.0,NaN,1,llm
105,0.0,NaN,1,llm
106,0.0,NaN,1,llm
107,0.0,NaN,1,llm
108,0.0,NaN,1,llm
109,0.0,NaN,1,llm
110,0.0,NaN,1,llm
111,0.0,NaN,1,llm
112,0.0,NaN,1,llm
113,0.0,NaN,1,llm
114,0.0,NaN,1,llm
115,0.0,NaN,1,llm
116,0.0,NaN,1,llm
117,0.0,NaN,1,llm
118,0.0,NaN,1,llm
119,0.0,NaN,1,llm
120,0.0,NaN,1,llm
121,0.0,NaN,1,llm
122,0.0,NaN,1,llm
123,0.0,NaN,1,llm
124,0.0,NaN,1,llm
125,0.0,NaN,1,llm
126,0.0,NaN,1,llm
127,0.0,NaN,1,llm
128,0.0,NaN,1,llm
129,0.0,NaN,1,llm
130,0.0,NaN,1,llm
131,0.0,NaN,1,llm
132,0.0,NaN,1,llm
133,0.0,NaN,1,llm
134,0.0,NaN,1,llm
135,0.0,NaN,1,llm
136,1.0,NaN,1,llm
137,0.0,NaN,1,llm
138,0.0,NaN,1,llm
139,0.0,NaN,1,llm
140,0.0,NaN,1,llm
141,0.0,NaN,1,llm
142,0.0,NaN,1,llm
143,0.0,NaN,1,llm
144,0.0,NaN,1,llm
145,0.0,NaN,1,llm
146,0.0,NaN,1,llm
147,0.0,NaN,1,llm
148,0.0,NaN,1,llm
149,0.0,NaN,1,llm
150,0.0,NaN,1,llm
0,0.0,NaN,1,rule
1,1.0,NaN,1,rule
2,3.0,NaN,1,rule
3,3.0,NaN,1,rule
4,1.0,NaN,1,rule
5,1.0,NaN,1,rule
6,2.0,NaN,1,rule
7,2.0,NaN,1,rule
8,2.0,NaN,1,rule
9,0.0,NaN,1,rule
10,2.0,NaN,1,rule
11,1.0,NaN,1,rule
12,0.0,NaN,1,rule
13,0.0,NaN,1,rule
14,1.0,NaN,1,rule
15,0.0,NaN,1,rule
16,0.0,NaN,1,rule
17,1.0,NaN,1,rule
18,0.0,NaN,1,rule
19,0.0,NaN,1,rule
20,0.0,NaN,1,rule
21,0.0,NaN,1,rule
22,0.0,NaN,1,rule
23,0.0,NaN,1,rule
24,0.0,NaN,1,rule
25,0.0,NaN,1,rule
26,0.0,NaN,1,rule
27,0.0,NaN,1,rule
28,0.0,NaN,1,rule
29,0.0,NaN,1,rule
30,0.0,NaN,1,rule
31,0.0,NaN,1,rule
32,0.0,NaN,1,rule
33,0.0,NaN,1,rule
34,0.0,NaN,1,rule
35,1.0,NaN,1,rule
36,0.0,NaN,1,rule
37,0.0,NaN,1,rule
38,0.0,NaN,1,rule
39,0.0,NaN,1,rule
40,0.0,NaN,1,rule
41,1.0,NaN,1,rule
42,0.0,NaN,1,rule
43,0.0,NaN,1,rule
44,0.0,NaN,1,rule
45,0.0,NaN,1,rule
46,1.0,NaN,1,rule
47,0.0,NaN,1,rule
48,0.0,NaN,1,rule
49,0.0,NaN,1,rule
50,0.0,NaN,1,rule
51,0.0,NaN,1,rule
52,0.0,NaN,1,rule
53,0.0,NaN,1,rule
54,0.0,NaN,1,rule
55,0.0,NaN,1,rule
56,0.0,NaN,1,rule
57,0.0,NaN,1,rule
58,0.0,NaN,1,rule
59,0.0,NaN,1,rule
60,0.0,NaN,1,rule
61,0.0,NaN,1,rule
62,0.0,NaN,1,rule
63,0.0,NaN,1,rule
64,0.0,NaN,1,rule
65,0.0,NaN,1,rule
66,0.0,NaN,1,rule
67,0.0,NaN,1,rule
68,0.0,NaN,1,rule
69,0.0,NaN,1,rule
70,0.0,NaN,1,rule
71,0.0,NaN,1,rule
72,0.0,NaN,1,rule
73,0.0,NaN,1,rule
74,0.0,NaN,1,rule
75,0.0,NaN,1,rule
76,1.0,NaN,1,rule
77,0.0,NaN,1,rule
78,0.0,NaN,1,rule
79,2.0,NaN,1,rule
80,0.0,NaN,1,rule
81,1.0,NaN,1,rule
82,0.0,NaN,1,rule
83,1.0,NaN,1,rule
84,0.0,NaN,1,rule
85,0.0,NaN,1,rule
86,0.0,NaN,1,rule
87,1.0,NaN,1,rule
88,0.0,NaN,1,rule
89,0.0,NaN,1,rule
90,0.0,NaN,1,rule
91,0.0,NaN,1,rule
92,0.0,NaN,1,rule
93,1.0,NaN,1,rule
94,0.0,NaN,1,rule
95,0.0,NaN,1,rule
96,0.0,NaN,1,rule
97,0.0,NaN,1,rule
98,0.0,NaN,1,rule
99,0.0,NaN,1,rule
100,0.0,NaN,1,rule
101,0.0,NaN,1,rule
102,0.0,NaN,1,rule
103,0.0,NaN,1,rule
104,0.0,NaN,1,rule
105,0.0,NaN,1,rule
106,0.0,NaN,1,rule
107,0.0,NaN,1,rule
108,0.0,NaN,1,rule
109,0.0,NaN,1,rule
110,1.0,NaN,1,rule
111,0.0,NaN,1,rule
112,0.0,NaN,1,rule
113,0.0,NaN,1,rule
114,0.0,NaN,1,rule
115,0.0,NaN,1,rule
116,0.0,NaN,1,rule
117,1.0,NaN,1,rule
118,0.0,NaN,1,rule
119,0.0,NaN,1,rule
120,0.0,NaN,1,rule
121,0.0,NaN,1,rule
122,1.0,NaN,1,rule
123,0.0,NaN,1,rule
124,0.0,NaN,1,rule
125,0.0,NaN,1,rule
126,0.0,NaN,1,rule
127,0.0,NaN,1,rule
128,0.0,NaN,1,rule
129,0.0,NaN,1,rule
130,0.0,NaN,1,rule
131,0.0,NaN,1,rule
132,0.0,NaN,1,rule
133,0.0,NaN,1,rule
134,0.0,NaN,1,rule
135,0.0,NaN,1,rule
136,0.0,NaN,1,rule
137,0.0,NaN,1,rule
138,0.0,NaN,1,rule
139,0.0,NaN,1,rule
140,0.0,NaN,1,rule
141,0.0,NaN,1,rule
142,0.0,NaN,1,rule
143,0.0,NaN,1,rule
144,0.0,NaN,1,rule
145,0.0,NaN,1,rule
146,0.0,NaN,1,rule
147,0.0,NaN,1,rule
148,1.0,NaN,1,rule
149,0.0,NaN,1,rule
150,0.0,NaN,1,rule
0,0.0,NaN,1,schwartz
1,0.0,NaN,1,schwartz
2,0.0,NaN,1,schwartz
3,0.0,NaN,1,schwartz
4,0.0,NaN,1,schwartz
5,3.0,NaN,1,schwartz
6,2.0,NaN,1,schwartz
7,1.0,NaN,1,schwartz
8,0.0,NaN,1,schwartz
9,2.0,NaN,1,schwartz
10,2.0,NaN,1,schwartz
11,1.0,NaN,1,schwartz
12,2.0,NaN,1,schwartz
13,1.0,NaN,1,schwartz
14,1.0,NaN,1,schwartz
15,2.0,NaN,1,schwartz
16,0.0,NaN,1,schwartz
17,1.0,NaN,1,schwartz
18,1.0,NaN,1,schwartz
19,0.0,NaN,1,schwartz
20,0.0,NaN,1,schwartz
21,0.0,NaN,1,schwartz
22,1.0,NaN,1,schwartz
23,1.0,NaN,1,schwartz
24,0.0,NaN,1,schwartz
25,0.0,NaN,1,schwartz
26,1.0,NaN,1,schwartz
27,0.0,NaN,1,schwartz
28,0.0,NaN,1,schwartz
29,0.0,NaN,1,schwartz
30,1.0,NaN,1,schwartz
31,0.0,NaN,1,schwartz
32,0.0,NaN,1,schwartz
33,0.0,NaN,1,schwartz
34,0.0,NaN,1,schwartz
35,1.0,NaN,1,schwartz
36,0.0,NaN,1,schwartz
37,0.0,NaN,1,schwartz
38,0.0,NaN,1,schwartz
39,0.0,NaN,1,schwartz
40,0.0,NaN,1,schwartz
41,1.0,NaN,1,schwartz
42,0.0,NaN,1,schwartz
43,0.0,NaN,1,schwartz
44,0.0,NaN,1,schwartz
45,0.0,NaN,1,schwartz
46,0.0,NaN,1,schwartz
47,0.0,NaN,1,schwartz
48,0.0,NaN,1,schwartz
49,0.0,NaN,1,schwartz
50,0.0,NaN,1,schwartz
51,0.0,NaN,1,schwartz
52,0.0,NaN,1,schwartz
53,0.0,NaN,1,schwartz
54,0.0,NaN,1,schwartz
55,0.0,NaN,1,schwartz
56,0.0,NaN,1,schwartz
57,0.0,NaN,1,schwartz
58,0.0,NaN,1,schwartz
59,0.0,NaN,1,schwartz
60,0.0,NaN,1,schwartz
