time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,4.0,NaN,1,bigfive
2,10.0,NaN,1,bigfive
3,14.0,NaN,1,bigfive
4,16.0,NaN,1,bigfive
5,16.0,NaN,1,bigfive
6,17.0,NaN,1,bigfive
7,21.0,NaN,1,bigfive
8,23.0,NaN,1,bigfive
9,24.0,NaN,1,bigfive
10,25.0,NaN,1,bigfive
11,27.0,NaN,1,bigfive
12,27.0,NaN,1,bigfive
13,28.0,NaN,1,bigfive
14,29.0,NaN,1,bigfive
15,30.0,NaN,1,bigfive
16,31.0,NaN,1,bigfive
17,33.0,NaN,1,bigfive
18,33.0,NaN,1,bigfive
19,35.0,NaN,1,bigfive
20,35.0,NaN,1,bigfive
21,36.0,NaN,1,bigfive
22,36.0,NaN,1,bigfive
23,36.0,NaN,1,bigfive
24,36.0,NaN,1,bigfive
25,36.0,NaN,1,bigfive
26,36.0,NaN,1,bigfive
27,36.0,NaN,1,bigfive
28,36.0,NaN,1,bigfive
29,36.0,NaN,1,bigfive
30,36.0,NaN,1,bigfive
31,36.0,NaN,1,bigfive
32,36.0,NaN,1,bigfive
33,36.0,NaN,1,bigfive
34,36.0,NaN,1,bigfive
35,37.0,NaN,1,bigfive
36,37.0,NaN,1,bigfive
37,37.0,NaN,1,bigfive
38,37.0,NaN,1,bigfive
39,37.0,NaN,1,bigfive
40,37.0,NaN,1,bigfive
41,37.0,NaN,1,bigfive
42,37.0,NaN,1,bigfive
43,37.0,NaN,1,bigfive
44,37.0,NaN,1,bigfive
45,37.0,NaN,1,bigfive
46,37.0,NaN,1,bigfive
47,37.0,NaN,1,bigfive
48,37.0,NaN,1,bigfive
49,37.0,NaN,1,bigfive
50,37.0,NaN,1,bigfive
51,37.0,NaN,1,bigfive
52,37.0,NaN,1,bigfive
53,37.0,NaN,1,bigfive
54,37.0,NaN,1,bigfive
55,37.0,NaN,1,bigfive
56,38.0,NaN,1,bigfive
57,38.0,NaN,1,bigfive
58,38.0,NaN,1,bigfive
59,38.0,NaN,1,bigfive
60,38.0,NaN,1,bigfive
61,38.0,NaN,1,bigfive
62,38.0,NaN,1,bigfive
63,38.0,NaN,1,bigfive
64,38.0,NaN,1,bigfive
65,38.0,NaN,1,bigfive
66,38.0,NaN,1,bigfive
67,38.0,NaN,1,bigfive
68,39.0,NaN,1,bigfive
69,39.0,NaN,1,bigfive
70,39.0,NaN,1,bigfive
71,40.0,NaN,1,bigfive
72,40.0,NaN,1,bigfive
73,40.0,NaN,1,bigfive
74,40.0,NaN,1,bigfive
75,40.0,NaN,1,bigfive
76,40.0,NaN,1,bigfive
77,40.0,NaN,1,bigfive
78,40.0,NaN,1,bigfive
79,40.0,NaN,1,bigfive
80,40.0,NaN,1,bigfive
81,41.0,NaN,1,bigfive
82,42.0,NaN,1,bigfive
83,42.0,NaN,1,bigfive
84,42.0,NaN,1,bigfive
85,42.0,NaN,1,bigfive
86,42.0,NaN,1,bigfive
87,42.0,NaN,1,bigfive
88,42.0,NaN,1,bigfive
89,42.0,NaN,1,bigfive
90,42.0,NaN,1,bigfive
91,43.0,NaN,1,bigfive
92,44.0,NaN,1,bigfive
93,44.0,NaN,1,bigfive
94,44.0,NaN,1,bigfive
95,44.0,NaN,1,bigfive
96,44.0,NaN,1,bigfive
97,44.0,NaN,1,bigfive
98,44.0,NaN,1,bigfive
99,44.0,NaN,1,bigfive
100,44.0,NaN,1,bigfive
101,44.0,NaN,1,bigfive
102,44.0,NaN,1,bigfive
103,44.0,NaN,1,bigfive
104,44.0,NaN,1,bigfive
105,44.0,NaN,1,bigfive
106,44.0,NaN,1,bigfive
107,44.0,NaN,1,bigfive
108,44.0,NaN,1,bigfive
109,44.0,NaN,1,bigfive
110,44.0,NaN,1,bigfive
111,44.0,NaN,1,bigfive
112,44.0,NaN,1,bigfive
113,44.0,NaN,1,bigfive
114,44.0,NaN,1,bigfive
115,44.0,NaN,1,bigfive
116,44.0,NaN,1,bigfive
117,44.0,NaN,1,bigfive
118,44.0,NaN,1,bigfive
119,44.0,NaN,1,bigfive
120,44.0,NaN,1,bigfive
121,44.0,NaN,1,bigfive
122,44.0,NaN,1,bigfive
123,44.0,NaN,1,bigfive
124,44.0,NaN,1,bigfive
125,44.0,NaN,1,bigfive
126,44.0,NaN,1,bigfive
127,44.0,NaN,1,bigfive
128,44.0,NaN,1,bigfive
129,44.0,NaN,1,bigfive
130,44.0,NaN,1,bigfive
131,44.0,NaN,1,bigfive
132,44.0,NaN,1,bigfive
133,44.0,NaN,1,bigfive
134,44.0,NaN,1,bigfive
135,44.0,NaN,1,bigfive
136,44.0,NaN,1,bigfive
137,44.0,NaN,1,bigfive
138,44.0,NaN,1,bigfive
139,44.0,NaN,1,bigfive
140,44.0,NaN,1,bigfive
141,44.0,NaN,1,bigfive
142,44.0,NaN,1,bigfive
143,44.0,NaN,1,bigfive
144,44.0,NaN,1,bigfive
145,44.0,NaN,1,bigfive
146,44.0,NaN,1,bigfive
147,44.0,NaN,1,bigfive
148,44.0,NaN,1,bigfive
149,44.0,NaN,1,bigfive
150,44.0,NaN,1,bigfive
0,0.0,0.0,2,llm
1,7.0,NaN,1,llm
2,11.0,NaN,1,llm
3,15.0,NaN,1,llm
4,17.0,NaN,1,llm
5,17.0,NaN,1,llm
6,17.0,NaN,1,llm
7,19.0,NaN,1,llm
8,22.0,NaN,1,llm
9,23.0,NaN,1,llm
10,25.0,NaN,1,llm
11,28.0,NaN,1,llm
12,28.0,NaN,1,llm
13,28.0,NaN,1,llm
14,28.0,NaN,1,llm
15,29.0,NaN,1,llm
16,29.0,NaN,1,llm
17,29.0,NaN,1,llm
18,31.0,NaN,1,llm
19,31.0,NaN,1,llm
20,32.0,NaN,1,llm
21,32.0,NaN,1,llm
22,32.0,NaN,1,llm
23,32.0,NaN,1,llm
24,32.0,NaN,1,llm
25,32.0,NaN,1,llm
26,32.0,NaN,1,llm
27,32.0,NaN,1,llm
28,32.0,NaN,1,llm
29,32.0,NaN,1,llm
30,32.0,NaN,1,llm
31,32.0,NaN,1,llm
32,32.0,NaN,1,llm
33,32.0,NaN,1,llm
34,32.0,NaN,1,llm
35,32.0,NaN,1,llm
36,32.0,NaN,1,llm
37,32.0,NaN,1,llm
38,32.0,NaN,1,llm
39,32.0,NaN,1,llm
40,32.0,NaN,1,llm
41,32.0,NaN,1,llm
42,32.0,NaN,1,llm
43,32.0,NaN,1,llm
44,32.0,NaN,1,llm
45,32.0,NaN,1,llm
46,32.0,NaN,1,llm
47,32.0,NaN,1,llm
48,32.0,NaN,1,llm
49,32.0,NaN,1,llm
50,32.0,NaN,1,llm
51,32.0,NaN,1,llm
52,32.0,NaN,1,llm
53,33.0,NaN,1,llm
54,33.0,NaN,1,llm
55,33.0,NaN,1,llm
56,33.0,NaN,1,llm
57,33.0,NaN,1,llm
58,33.0,NaN,1,llm
59,33.0,NaN,1,llm
60,33.0,NaN,1,llm
61,33.0,NaN,1,llm
62,33.0,NaN,1,llm
63,33.0,NaN,1,llm
64,33.0,NaN,1,llm
65,33.0,NaN,1,llm
66,34.0,NaN,1,llm
67,35.0,NaN,1,llm
68,35.0,NaN,1,llm
69,35.0,NaN,1,llm
70,35.0,NaN,1,llm
71,36.0,NaN,1,llm
72,36.0,NaN,1,llm
73,36.0,NaN,1,llm
74,36.0,NaN,1,llm
75,37.0,NaN,1,llm
76,37.0,NaN,1,llm
77,37.0,NaN,1,llm
78,37.0,NaN,1,llm
79,37.0,NaN,1,llm
80,37.0,NaN,1,llm
81,37.0,NaN,1,llm
82,37.0,NaN,1,llm
83,37.0,NaN,1,llm
84,38.0,NaN,1,llm
85,39.0,NaN,1,llm
86,39.0,NaN,1,llm
