time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,44.0,NaN,1,bigfive
2,119.0,NaN,1,bigfive
3,179.0,NaN,1,bigfive
4,243.0,NaN,1,bigfive
5,243.0,NaN,1,bigfive
6,259.0,NaN,1,bigfive
7,311.0,NaN,1,bigfive
8,343.0,NaN,1,bigfive
9,348.0,NaN,1,bigfive
10,373.0,NaN,1,bigfive
11,384.0,NaN,1,bigfive
12,384.0,NaN,1,bigfive
13,403.0,NaN,1,bigfive
14,414.0,NaN,1,bigfive
15,441.0,NaN,1,bigfive
16,457.0,NaN,1,bigfive
17,511.0,NaN,1,bigfive
18,511.0,NaN,1,bigfive
19,564.0,NaN,1,bigfive
20,564.0,NaN,1,bigfive
21,567.0,NaN,1,bigfive
22,567.0,NaN,1,bigfive
23,567.0,NaN,1,bigfive
24,567.0,NaN,1,bigfive
25,567.0,NaN,1,bigfive
26,567.0,NaN,1,bigfive
27,567.0,NaN,1,bigfive
28,567.0,NaN,1,bigfive
29,567.0,NaN,1,bigfive
30,567.0,NaN,1,bigfive
31,567.0,NaN,1,bigfive
32,567.0,NaN,1,bigfive
33,567.0,NaN,1,bigfive
34,567.0,NaN,1,bigfive
35,582.0,NaN,1,bigfive
36,582.0,NaN,1,bigfive
37,582.0,NaN,1,bigfive
38,582.0,NaN,1,bigfive
39,582.0,NaN,1,bigfive
40,582.0,NaN,1,bigfive
41,582.0,NaN,1,bigfive
42,582.0,NaN,1,bigfive
43,582.0,NaN,1,bigfive
44,582.0,NaN,1,bigfive
45,582.0,NaN,1,bigfive
46,582.0,NaN,1,bigfive
47,582.0,NaN,1,bigfive
48,582.0,NaN,1,bigfive
49,582.0,NaN,1,bigfive
50,582.0,NaN,1,bigfive
51,582.0,NaN,1,bigfive
52,582.0,NaN,1,bigfive
53,582.0,NaN,1,bigfive
54,582.0,NaN,1,bigfive
55,582.0,NaN,1,bigfive
56,611.0,NaN,1,bigfive
57,611.0,NaN,1,bigfive
58,611.0,NaN,1,bigfive
59,611.0,NaN,1,bigfive
60,611.0,NaN,1,bigfive
61,611.0,NaN,1,bigfive
62,611.0,NaN,1,bigfive
63,611.0,NaN,1,bigfive
64,611.0,NaN,1,bigfive
65,611.0,NaN,1,bigfive
66,611.0,NaN,1,bigfive
67,611.0,NaN,1,bigfive
68,638.0,NaN,1,bigfive
69,638.0,NaN,1,bigfive
70,638.0,NaN,1,bigfive
71,663.0,NaN,1,bigfive
72,663.0,NaN,1,bigfive
73,663.0,NaN,1,bigfive
74,663.0,NaN,1,bigfive
75,663.0,NaN,1,bigfive
76,663.0,NaN,1,bigfive
77,663.0,NaN,1,bigfive
78,663.0,NaN,1,bigfive
79,663.0,NaN,1,bigfive
80,663.0,NaN,1,bigfive
81,670.0,NaN,1,bigfive
82,679.0,NaN,1,bigfive
83,679.0,NaN,1,bigfive
84,679.0,NaN,1,bigfive
85,679.0,NaN,1,bigfive
86,679.0,NaN,1,bigfive
87,679.0,NaN,1,bigfive
88,679.0,NaN,1,bigfive
89,679.0,NaN,1,bigfive
90,679.0,NaN,1,bigfive
91,694.0,NaN,1,bigfive
92,703.0,NaN,1,bigfive
93,703.0,NaN,1,bigfive
94,703.0,NaN,1,bigfive
95,703.0,NaN,1,bigfive
96,703.0,NaN,1,bigfive
97,703.0,NaN,1,bigfive
98,703.0,NaN,1,bigfive
99,703.0,NaN,1,bigfive
100,703.0,NaN,1,bigfive
101,703.0,NaN,1,bigfive
102,703.0,NaN,1,bigfive
103,703.0,NaN,1,bigfive
104,703.0,NaN,1,bigfive
105,703.0,NaN,1,bigfive
106,703.0,NaN,1,bigfive
107,703.0,NaN,1,bigfive
108,703.0,NaN,1,bigfive
109,703.0,NaN,1,bigfive
110,703.0,NaN,1,bigfive
111,703.0,NaN,1,bigfive
112,703.0,NaN,1,bigfive
113,703.0,NaN,1,bigfive
114,703.0,NaN,1,bigfive
115,703.0,NaN,1,bigfive
116,703.0,NaN,1,bigfive
117,703.0,NaN,1,bigfive
118,703.0,NaN,1,bigfive
119,703.0,NaN,1,bigfive
120,703.0,NaN,1,bigfive
121,703.0,NaN,1,bigfive
122,703.0,NaN,1,bigfive
123,703.0,NaN,1,bigfive
124,703.0,NaN,1,bigfive
125,703.0,NaN,1,bigfive
126,703.0,NaN,1,bigfive
127,703.0,NaN,1,bigfive
128,703.0,NaN,1,bigfive
129,703.0,NaN,1,bigfive
130,703.0,NaN,1,bigfive
131,703.0,NaN,1,bigfive
132,703.0,NaN,1,bigfive
133,703.0,NaN,1,bigfive
134,703.0,NaN,1,bigfive
135,703.0,NaN,1,bigfive
136,703.0,NaN,1,bigfive
137,703.0,NaN,1,bigfive
138,703.0,NaN,1,bigfive
139,703.0,NaN,1,bigfive
140,703.0,NaN,1,bigfive
141,703.0,NaN,1,bigfive
142,703.0,NaN,1,bigfive
143,703.0,NaN,1,bigfive
144,703.0,NaN,1,bigfive
145,703.0,NaN,1,bigfive
146,703.0,NaN,1,bigfive
147,703.0,NaN,1,bigfive
148,703.0,NaN,1,bigfive
149,703.0,NaN,1,bigfive
150,703.0,NaN,1,bigfive
0,0.0,0.0,2,llm
1,68.0,NaN,1,llm
2,127.0,NaN,1,llm
3,188.0,NaN,1,llm
4,233.0,NaN,1,llm
5,233.0,NaN,1,llm
6,233.0,NaN,1,llm
7,270.0,NaN,1,llm
8,288.0,NaN,1,llm
9,304.0,NaN,1,llm
10,338.0,NaN,1,llm
11,373.0,NaN,1,llm
12,373.0,NaN,1,llm
13,373.0,NaN,1,llm
14,373.0,NaN,1,llm
15,396.0,NaN,1,llm
16,396.0,NaN,1,llm
17,396.0,NaN,1,llm
18,404.0,NaN,1,llm
19,404.0,NaN,1,llm
20,414.0,NaN,1,llm
21,414.0,NaN,1,llm
22,414.0,NaN,1,llm
23,414.0,NaN,1,llm
24,414.0,NaN,1,llm
25,414.0,NaN,1,llm
26,414.0,NaN,1,llm
27,414.0,NaN,1,llm
28,414.0,NaN,1,llm
29,414.0,NaN,1,llm
30,414.0,NaN,1,llm
31,414.0,NaN,1,llm
32,414.0,NaN,1,llm
33,414.0,NaN,1,llm
34,414.0,NaN,1,llm
35,414.0,NaN,1,llm
36,414.0,NaN,1,llm
37,414.0,NaN,1,llm
38,414.0,NaN,1,llm
39,414.0,NaN,1,llm
40,414.0,NaN,1,llm
41,414.0,NaN,1,llm
42,414.0,NaN,1,llm
43,414.0,NaN,1,llm
44,414.0,NaN,1,llm
45,414.0,NaN,1,llm
46,414.0,NaN,1,llm
47,414.0,NaN,1,llm
48,414.0,NaN,1,llm
49,414.0,NaN,1,llm
50,414.0,NaN,1,llm
51,414.0,NaN,1,llm
52,414.0,NaN,1,llm
53,452.0,NaN,1,llm
54,452.0,NaN,1,llm
55,452.0,NaN,1,llm
56,452.0,NaN,1,llm
57,452.0,NaN,1,llm
58,452.0,NaN,1,llm
59,452.0,NaN,1,llm
60,452.0,NaN,1,llm
61,452.0,NaN,1,llm
