time,mean_val,std_val,n_runs,architecture
0,50.0,NaN,1,bigfive
1,46.0,NaN,1,bigfive
2,40.0,NaN,1,bigfive
3,36.0,NaN,1,bigfive
4,34.0,NaN,1,bigfive
5,34.0,NaN,1,bigfive
6,33.0,NaN,1,bigfive
7,29.0,NaN,1,bigfive
8,27.0,NaN,1,bigfive
9,26.0,NaN,1,bigfive
10,25.0,NaN,1,bigfive
11,23.0,NaN,1,bigfive
12,23.0,NaN,1,bigfive
13,22.0,NaN,1,bigfive
14,21.0,NaN,1,bigfive
15,20.0,NaN,1,bigfive
16,19.0,NaN,1,bigfive
17,17.0,NaN,1,bigfive
18,17.0,NaN,1,bigfive
19,15.0,NaN,1,bigfive
20,15.0,NaN,1,bigfive
21,14.0,NaN,1,bigfive
22,14.0,NaN,1,bigfive
23,14.0,NaN,1,bigfive
24,14.0,NaN,1,bigfive
25,14.0,NaN,1,bigfive
26,14.0,NaN,1,bigfive
27,14.0,NaN,1,bigfive
28,14.0,NaN,1,bigfive
29,14.0,NaN,1,bigfive
30,14.0,NaN,1,bigfive
31,14.0,NaN,1,bigfive
32,14.0,NaN,1,bigfive
33,14.0,NaN,1,bigfive
34,14.0,NaN,1,bigfive
35,13.0,NaN,1,bigfive
36,13.0,NaN,1,bigfive
37,13.0,NaN,1,bigfive
38,13.0,NaN,1,bigfive
39,13.0,NaN,1,bigfive
40,13.0,NaN,1,bigfive
41,13.0,NaN,1,bigfive
42,13.0,NaN,1,bigfive
43,13.0,NaN,1,bigfive
44,13.0,NaN,1,bigfive
45,13.0,NaN,1,bigfive
46,13.0,NaN,1,bigfive
47,13.0,NaN,1,bigfive
48,13.0,NaN,1,bigfive
49,13.0,NaN,1,bigfive
50,13.0,NaN,1,bigfive
51,13.0,NaN,1,bigfive
52,13.0,NaN,1,bigfive
53,13.0,NaN,1,bigfive
54,13.0,NaN,1,bigfive
55,13.0,NaN,1,bigfive
56,12.0,NaN,1,bigfive
57,12.0,NaN,1,bigfive
58,12.0,NaN,1,bigfive
59,12.0,NaN,1,bigfive
60,12.0,NaN,1,bigfive
61,12.0,NaN,1,bigfive
62,12.0,NaN,1,bigfive
63,12.0,NaN,1,bigfive
64,12.0,NaN,1,bigfive
65,12.0,NaN,1,bigfive
66,12.0,NaN,1,bigfive
67,12.0,NaN,1,bigfive
68,11.0,NaN,1,bigfive
69,11.0,NaN,1,bigfive
70,11.0,NaN,1,bigfive
71,10.0,NaN,1,bigfive
72,10.0,NaN,1,bigfive
73,10.0,NaN,1,bigfive
74,10.0,NaN,1,bigfive
75,10.0,NaN,1,bigfive
76,10.0,NaN,1,bigfive
77,10.0,NaN,1,bigfive
78,10.0,NaN,1,bigfive
79,10.0,NaN,1,bigfive
80,10.0,NaN,1,bigfive
81,9.0,NaN,1,bigfive
82,8.0,NaN,1,bigfive
83,8.0,NaN,1,bigfive
84,8.0,NaN,1,bigfive
85,8.0,NaN,1,bigfive
86,8.0,NaN,1,bigfive
87,8.0,NaN,1,bigfive
88,8.0,NaN,1,bigfive
89,8.0,NaN,1,bigfive
90,8.0,NaN,1,bigfive
91,7.0,NaN,1,bigfive
92,6.0,NaN,1,bigfive
93,6.0,NaN,1,bigfive
94,6.0,NaN,1,bigfive
95,6.0,NaN,1,bigfive
96,6.0,NaN,1,bigfive
97,6.0,NaN,1,bigfive
98,6.0,NaN,1,bigfive
99,6.0,NaN,1,bigfive
100,6.0,NaN,1,bigfive
101,6.0,NaN,1,bigfive
102,6.0,NaN,1,bigfive
103,6.0,NaN,1,bigfive
104,6.0,NaN,1,bigfive
105,6.0,NaN,1,bigfive
106,6.0,NaN,1,bigfive
107,6.0,NaN,1,bigfive
108,6.0,NaN,1,bigfive
109,6.0,NaN,1,bigfive
110,6.0,NaN,1,bigfive
111,6.0,NaN,1,bigfive
112,6.0,NaN,1,bigfive
113,6.0,NaN,1,bigfive
114,6.0,NaN,1,bigfive
115,6.0,NaN,1,bigfive
116,6.0,NaN,1,bigfive
117,6.0,NaN,1,bigfive
118,6.0,NaN,1,bigfive
119,6.0,NaN,1,bigfive
120,6.0,NaN,1,bigfive
121,6.0,NaN,1,bigfive
122,6.0,NaN,1,bigfive
123,6.0,NaN,1,bigfive
124,6.0,NaN,1,bigfive
