time,mean_val,std_val,n_runs,architecture
0,0.23110204081632646,NaN,1,bigfive
1,0.25965065502183404,NaN,1,bigfive
2,0.2966205837173579,NaN,1,bigfive
3,0.3350855365474339,NaN,1,bigfive
4,0.35656012176560115,NaN,1,bigfive
5,0.35853658536585353,NaN,1,bigfive
6,0.3636216216216217,NaN,1,bigfive
7,0.36975796178343945,NaN,1,bigfive
8,0.3825759416767922,NaN,1,bigfive
9,0.3752252252252253,NaN,1,bigfive
10,0.39962513781697906,NaN,1,bigfive
11,0.3966108786610878,NaN,1,bigfive
12,0.38818092428711903,NaN,1,bigfive
13,0.36238095238095247,NaN,1,bigfive
14,0.3579826086956521,NaN,1,bigfive
15,0.3609650582362729,NaN,1,bigfive
16,0.38022801302931586,NaN,1,bigfive
17,0.37647150663544093,NaN,1,bigfive
18,0.3575703703703703,NaN,1,bigfive
19,0.3475358166189111,NaN,1,bigfive
20,0.3524581005586591,NaN,1,bigfive
21,0.36559890485968505,NaN,1,bigfive
22,0.38099462365591386,NaN,1,bigfive
23,0.3884362680683311,NaN,1,bigfive
24,0.3898016634676904,NaN,1,bigfive
25,0.38708074534161496,NaN,1,bigfive
26,0.37702994011976054,NaN,1,bigfive
27,0.3796732788798134,NaN,1,bigfive
28,0.39326315789473676,NaN,1,bigfive
29,0.3981446714522363,NaN,1,bigfive
30,0.3939538378958667,NaN,1,bigfive
31,0.39630010493179446,NaN,1,bigfive
32,0.39567678005925,NaN,1,bigfive
33,0.3984524877854223,NaN,1,bigfive
34,0.3879679350975467,NaN,1,bigfive
35,0.39461131076224687,NaN,1,bigfive
36,0.38453212768872436,NaN,1,bigfive
37,0.39048484577158993,NaN,1,bigfive
38,0.39771084866312534,NaN,1,bigfive
39,0.38617277865125565,NaN,1,bigfive
40,0.3918622687580182,NaN,1,bigfive
41,0.39995796847635723,NaN,1,bigfive
42,0.39385944398043216,NaN,1,bigfive
43,0.39670467938961074,NaN,1,bigfive
44,0.3992146384412203,NaN,1,bigfive
45,0.39748678652861336,NaN,1,bigfive
46,0.3909942167097078,NaN,1,bigfive
47,0.39343332260487074,NaN,1,bigfive
48,0.382056272388968,NaN,1,bigfive
49,0.37423697313453097,NaN,1,bigfive
50,0.3753083926126306,NaN,1,bigfive
51,0.37652105107764977,NaN,1,bigfive
52,0.3763351698040598,NaN,1,bigfive
53,0.37859874380582625,NaN,1,bigfive
54,0.3809418241628648,NaN,1,bigfive
55,0.38279131578142667,NaN,1,bigfive
56,0.3773828817770857,NaN,1,bigfive
57,0.3770231908815125,NaN,1,bigfive
58,0.37974035311512466,NaN,1,bigfive
59,0.380451663192759,NaN,1,bigfive
60,0.4205832044191873,NaN,1,bigfive
61,0.41982653640166845,NaN,1,bigfive
62,0.4204002831346145,NaN,1,bigfive
63,0.4108238141781655,NaN,1,bigfive
64,0.4130824498861998,NaN,1,bigfive
65,0.41427823921122475,NaN,1,bigfive
66,0.4162318799951783,NaN,1,bigfive
67,0.43067227688552356,NaN,1,bigfive
68,0.4317413540106274,NaN,1,bigfive
69,0.458336918279729,NaN,1,bigfive
70,0.4656760287298809,NaN,1,bigfive
71,0.47200136244821733,NaN,1,bigfive
72,0.4658843804011574,NaN,1,bigfive
73,0.45082430747898083,NaN,1,bigfive
74,0.4675021670142716,NaN,1,bigfive
75,0.46825304133577306,NaN,1,bigfive
76,0.48047650727097113,NaN,1,bigfive
77,0.4758777042958766,NaN,1,bigfive
78,0.47111242286596133,NaN,1,bigfive
79,0.4812804070124659,NaN,1,bigfive
80,0.4769117342371745,NaN,1,bigfive
81,0.4769252970111981,NaN,1,bigfive
82,0.47761495528843456,NaN,1,bigfive
83,0.4923541556642077,NaN,1,bigfive
84,0.4985684460910951,NaN,1,bigfive
85,0.4963376421584518,NaN,1,bigfive
86,0.5006896579342088,NaN,1,bigfive
87,0.4976293755588781,NaN,1,bigfive
88,0.5215880275244682,NaN,1,bigfive
89,0.5223712100492381,NaN,1,bigfive
90,0.5185069725637608,NaN,1,bigfive
91,0.5430620754660922,NaN,1,bigfive
92,0.5338286716510294,NaN,1,bigfive
93,0.5340252288961094,NaN,1,bigfive
94,0.5414976332641357,NaN,1,bigfive
95,0.5293097385890095,NaN,1,bigfive
96,0.5257042189587269,NaN,1,bigfive
97,0.5349578535123569,NaN,1,bigfive
98,0.506081086287419,NaN,1,bigfive
99,0.505135559904947,NaN,1,bigfive
100,0.4903919674983599,NaN,1,bigfive
101,0.49522951433181883,NaN,1,bigfive
102,0.4923800306054382,NaN,1,bigfive
103,0.4979739855971761,NaN,1,bigfive
104,0.4975131090113132,NaN,1,bigfive
105,0.504587502343365,NaN,1,bigfive
106,0.5064033634312479,NaN,1,bigfive
107,0.49441838684455863,NaN,1,bigfive
108,0.4800811460501715,NaN,1,bigfive
109,0.4675707104248126,NaN,1,bigfive
110,0.4861478724835224,NaN,1,bigfive
111,0.48782882126926586,NaN,1,bigfive
112,0.486375814215648,NaN,1,bigfive
113,0.49829966185945773,NaN,1,bigfive
114,0.5024261424441712,NaN,1,bigfive
115,0.5099600785254086,NaN,1,bigfive
116,0.49848233688545274,NaN,1,bigfive
117,0.47560661604035026,NaN,1,bigfive
118,0.4899263778551488,NaN,1,bigfive
119,0.49228014922691576,NaN,1,bigfive
120,0.48672060844674525,NaN,1,bigfive
121,0.49050808208534535,NaN,1,bigfive
122,0.49139913367262,NaN,1,bigfive
123,0.489813046257753,NaN,1,bigfive
124,0.4799836687256094,NaN,1,bigfive
125,0.47947218982663853,NaN,1,bigfive
126,0.4770859398020453,NaN,1,bigfive
127,0.4738703780600142,NaN,1,bigfive
128,0.49267624349245653,NaN,1,bigfive
129,0.49716912470669783,NaN,1,bigfive
130,0.4950433620883583,NaN,1,bigfive
131,0.5055880648238158,NaN,1,bigfive
132,0.49898145620073686,NaN,1,bigfive
133,0.4912202239239549,NaN,1,bigfive
134,0.5084096106169544,NaN,1,bigfive
135,0.5162390378237613,NaN,1,bigfive
136,0.49307056318507136,NaN,1,bigfive
137,0.5023824478644061,NaN,1,bigfive
138,0.5030111630732894,NaN,1,bigfive
139,0.5071219920733281,NaN,1,bigfive
140,0.48901864923282634,NaN,1,bigfive
141,0.49608519672469886,NaN,1,bigfive
142,0.5010065900038907,NaN,1,bigfive
143,0.4798257982742209,NaN,1,bigfive
144,0.4890746512284916,NaN,1,bigfive
145,0.4914848786237891,NaN,1,bigfive
146,0.49978985388277763,NaN,1,bigfive
147,0.5185254507276806,NaN,1,bigfive
148,0.5111569621189702,NaN,1,bigfive
149,0.5159147567350217,NaN,1,bigfive
150,0.5082510394546653,NaN,1,bigfive
0,0.23110204081632646,NaN,1,llm
1,0.2593604651162791,NaN,1,llm
2,0.2939301972685888,NaN,1,llm
3,0.32977168949771696,NaN,1,llm
4,0.34756277695716387,NaN,1,llm
5,0.3476429567642956,NaN,1,llm
6,0.35020942408376965,NaN,1,llm
7,0.3711392405063292,NaN,1,llm
8,0.37456906729634,NaN,1,llm
9,0.3774353205849268,NaN,1,llm
10,0.37517970401691336,NaN,1,llm
11,0.36885311871227366,NaN,1,llm
12,0.36930009587727697,NaN,1,llm
13,0.36994515539305306,NaN,1,llm
14,0.36132173913043486,NaN,1,llm
