time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,6.0,NaN,1,bigfive
19,20.0,NaN,1,bigfive
20,29.0,NaN,1,bigfive
21,29.0,NaN,1,bigfive
22,29.0,NaN,1,bigfive
23,29.0,NaN,1,bigfive
24,29.0,NaN,1,bigfive
25,39.0,NaN,1,bigfive
26,41.0,NaN,1,bigfive
27,41.0,NaN,1,bigfive
28,35.0,NaN,1,bigfive
29,25.1,NaN,1,bigfive
30,33.1,NaN,1,bigfive
31,36.1,NaN,1,bigfive
32,34.1,NaN,1,bigfive
33,35.1,NaN,1,bigfive
34,37.1,NaN,1,bigfive
35,39.1,NaN,1,bigfive
36,37.1,NaN,1,bigfive
37,38.2,NaN,1,bigfive
38,38.2,NaN,1,bigfive
39,29.310000000000002,NaN,1,bigfive
40,12.31,NaN,1,bigfive
41,11.51,NaN,1,bigfive
42,22.610000000000003,NaN,1,bigfive
43,22.71,NaN,1,bigfive
44,24.810000000000002,NaN,1,bigfive
45,25.910000000000004,NaN,1,bigfive
46,25.910000000000004,NaN,1,bigfive
47,24.810000000000002,NaN,1,bigfive
48,27.020000000000003,NaN,1,bigfive
49,27.241000000000003,NaN,1,bigfive
50,27.241000000000003,NaN,1,bigfive
51,25.041000000000004,NaN,1,bigfive
52,12.940999999999999,NaN,1,bigfive
53,11.841,NaN,1,bigfive
54,7.741,NaN,1,bigfive
55,4.641,NaN,1,bigfive
56,4.641,NaN,1,bigfive
57,13.641,NaN,1,bigfive
58,12.431000000000001,NaN,1,bigfive
59,13.431000000000001,NaN,1,bigfive
60,13.431000000000001,NaN,1,bigfive
61,13.431000000000001,NaN,1,bigfive
62,13.431000000000001,NaN,1,bigfive
63,11.0,NaN,1,bigfive
64,11.0,NaN,1,bigfive
65,11.0,NaN,1,bigfive
66,11.0,NaN,1,bigfive
67,2.0,NaN,1,bigfive
68,1.0,NaN,1,bigfive
69,0.0,NaN,1,bigfive
70,0.0,NaN,1,bigfive
71,0.0,NaN,1,bigfive
72,1.0,NaN,1,bigfive
73,1.0,NaN,1,bigfive
74,1.0,NaN,1,bigfive
75,1.0,NaN,1,bigfive
76,1.0,NaN,1,bigfive
77,1.0,NaN,1,bigfive
78,1.0,NaN,1,bigfive
79,1.0,NaN,1,bigfive
80,1.0,NaN,1,bigfive
81,16.0,NaN,1,bigfive
82,15.0,NaN,1,bigfive
83,15.0,NaN,1,bigfive
84,15.0,NaN,1,bigfive
85,15.0,NaN,1,bigfive
86,16.0,NaN,1,bigfive
87,16.0,NaN,1,bigfive
88,17.0,NaN,1,bigfive
89,17.0,NaN,1,bigfive
90,17.0,NaN,1,bigfive
91,2.0,NaN,1,bigfive
92,18.5,NaN,1,bigfive
93,18.5,NaN,1,bigfive
94,18.5,NaN,1,bigfive
95,18.5,NaN,1,bigfive
96,17.5,NaN,1,bigfive
97,17.5,NaN,1,bigfive
98,18.700000000000003,NaN,1,bigfive
99,18.700000000000003,NaN,1,bigfive
100,19.700000000000003,NaN,1,bigfive
101,20.700000000000003,NaN,1,bigfive
102,4.2,NaN,1,bigfive
103,5.2,NaN,1,bigfive
104,5.2,NaN,1,bigfive
105,5.2,NaN,1,bigfive
106,5.2,NaN,1,bigfive
107,23.200000000000003,NaN,1,bigfive
108,36.0,NaN,1,bigfive
109,36.0,NaN,1,bigfive
110,35.0,NaN,1,bigfive
111,36.0,NaN,1,bigfive
112,36.0,NaN,1,bigfive
113,35.0,NaN,1,bigfive
114,35.0,NaN,1,bigfive
115,35.0,NaN,1,bigfive
116,45.0,NaN,1,bigfive
117,45.0,NaN,1,bigfive
118,36.5,NaN,1,bigfive
119,36.5,NaN,1,bigfive
120,36.5,NaN,1,bigfive
121,17.7,NaN,1,bigfive
122,17.7,NaN,1,bigfive
123,17.7,NaN,1,bigfive
124,17.7,NaN,1,bigfive
125,17.7,NaN,1,bigfive
126,17.7,NaN,1,bigfive
127,30.7,NaN,1,bigfive
128,18.2,NaN,1,bigfive
129,18.2,NaN,1,bigfive
130,18.2,NaN,1,bigfive
131,20.0,NaN,1,bigfive
132,21.0,NaN,1,bigfive
133,22.0,NaN,1,bigfive
134,28.0,NaN,1,bigfive
135,29.0,NaN,1,bigfive
136,29.0,NaN,1,bigfive
137,33.2,NaN,1,bigfive
138,33.6,NaN,1,bigfive
139,33.6,NaN,1,bigfive
140,36.599999999999994,NaN,1,bigfive
141,33.599999999999994,NaN,1,bigfive
142,46.599999999999994,NaN,1,bigfive
143,52.7,NaN,1,bigfive
144,47.7,NaN,1,bigfive
145,58.199999999999996,NaN,1,bigfive
146,61.4,NaN,1,bigfive
147,46.3,NaN,1,bigfive
148,41.9,NaN,1,bigfive
149,41.9,NaN,1,bigfive
150,39.9,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,0.0,NaN,1,llm
3,0.0,NaN,1,llm
4,0.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,0.0,NaN,1,llm
8,0.0,NaN,1,llm
9,0.0,NaN,1,llm
10,0.0,NaN,1,llm
11,0.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,0.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,0.0,NaN,1,llm
19,4.0,NaN,1,llm
20,4.0,NaN,1,llm
21,8.0,NaN,1,llm
22,15.0,NaN,1,llm
23,24.0,NaN,1,llm
24,43.0,NaN,1,llm
25,43.0,NaN,1,llm
26,44.0,NaN,1,llm
27,45.0,NaN,1,llm
28,45.0,NaN,1,llm
29,47.4,NaN,1,llm
30,48.4,NaN,1,llm
31,51.8,NaN,1,llm
32,49.8,NaN,1,llm
33,52.5,NaN,1,llm
34,41.3,NaN,1,llm
35,50.0,NaN,1,llm
36,49.0,NaN,1,llm
37,48.0,NaN,1,llm
38,49.0,NaN,1,llm
39,42.599999999999994,NaN,1,llm
40,41.599999999999994,NaN,1,llm
41,35.2,NaN,1,llm
42,30.2,NaN,1,llm
43,27.4,NaN,1,llm
44,56.58,NaN,1,llm
45,47.88000000000001,NaN,1,llm
46,47.88000000000001,NaN,1,llm
47,48.88000000000001,NaN,1,llm
48,48.980000000000004,NaN,1,llm
49,50.980000000000004,NaN,1,llm
50,50.980000000000004,NaN,1,llm
51,53.980000000000004,NaN,1,llm
52,53.980000000000004,NaN,1,llm
53,57.78,NaN,1,llm
54,38.69,NaN,1,llm
55,39.69,NaN,1,llm
56,43.58,NaN,1,llm
57,41.480000000000004,NaN,1,llm
58,41.480000000000004,NaN,1,llm
59,51.480000000000004,NaN,1,llm
60,46.480000000000004,NaN,1,llm
61,47.480000000000004,NaN,1,llm
62,47.480000000000004,NaN,1,llm
63,47.480000000000004,NaN,1,llm
64,16.890000000000004,NaN,1,llm
65,16.89,NaN,1,llm
66,13.0,NaN,1,llm
67,14.0,NaN,1,llm
68,14.0,NaN,1,llm
69,5.0,NaN,1,llm
70,9.0,NaN,1,llm
71,8.0,NaN,1,llm
72,8.0,NaN,1,llm
73,8.0,NaN,1,llm
74,7.0,NaN,1,llm
75,7.0,NaN,1,llm
76,9.0,NaN,1,llm
77,8.0,NaN,1,llm
78,8.0,NaN,1,llm
79,8.0,NaN,1,llm
80,9.4,NaN,1,llm
81,7.4,NaN,1,llm
82,8.4,NaN,1,llm
83,9.4,NaN,1,llm
84,9.4,NaN,1,llm
85,9.4,NaN,1,llm
86,25.4,NaN,1,llm
87,28.6,NaN,1,llm
88,29.6,NaN,1,llm
89,30.0,NaN,1,llm
90,24.599999999999998,NaN,1,llm
91,24.599999999999998,NaN,1,llm
92,23.599999999999998,NaN,1,llm
93,22.599999999999998,NaN,1,llm
94,22.599999999999998,NaN,1,llm
95,22.599999999999998,NaN,1,llm
96,22.599999999999998,NaN,1,llm
97,19.4,NaN,1,llm
98,18.4,NaN,1,llm
99,18.0,NaN,1,llm
100,22.0,NaN,1,llm
101,22.0,NaN,1,llm
102,22.0,NaN,1,llm
103,29.0,NaN,1,llm
104,29.0,NaN,1,llm
105,16.0,NaN,1,llm
106,16.0,NaN,1,llm
107,18.0,NaN,1,llm
108,18.0,NaN,1,llm
109,20.0,NaN,1,llm
110,16.0,NaN,1,llm
111,16.0,NaN,1,llm
112,7.0,NaN,1,llm
113,6.0,NaN,1,llm
114,6.0,NaN,1,llm
115,32.1,NaN,1,llm
116,36.1,NaN,1,llm
117,36.1,NaN,1,llm
118,38.1,NaN,1,llm
119,49.1,NaN,1,llm
120,50.1,NaN,1,llm
121,51.1,NaN,1,llm
122,53.1,NaN,1,llm
123,54.699999999999996,NaN,1,llm
124,63.3,NaN,1,llm
125,43.8,NaN,1,llm
126,45.0,NaN,1,llm
127,37.800000000000004,NaN,1,llm
128,37.800000000000004,NaN,1,llm
129,26.800000000000004,NaN,1,llm
130,42.800000000000004,NaN,1,llm
131,43.800000000000004,NaN,1,llm
132,42.800000000000004,NaN,1,llm
133,44.46,NaN,1,llm
134,34.86,NaN,1,llm
135,38.62,NaN,1,llm
136,38.72,NaN,1,llm
