time,mean_val,std_val,n_runs,architecture
0,3.884297118205747,NaN,1,bigfive
1,3.884297118205747,NaN,1,bigfive
2,3.884297118205747,NaN,1,bigfive
3,3.884297118205747,NaN,1,bigfive
4,3.884297118205747,NaN,1,bigfive
5,3.912023005428145,NaN,1,bigfive
6,3.884297118205747,NaN,1,bigfive
7,3.912023005428145,NaN,1,bigfive
8,3.912023005428145,NaN,1,bigfive
9,3.8565712309833495,NaN,1,bigfive
10,3.912023005428145,NaN,1,bigfive
11,3.8842971182057475,NaN,1,bigfive
12,3.884297118205747,NaN,1,bigfive
13,3.8842971182057475,NaN,1,bigfive
14,3.8842971182057475,NaN,1,bigfive
15,3.8565712309833495,NaN,1,bigfive
16,3.8842971182057475,NaN,1,bigfive
17,3.8842971182057475,NaN,1,bigfive
18,3.8288453437609515,NaN,1,bigfive
19,3.8288453437609515,NaN,1,bigfive
20,3.8288453437609515,NaN,1,bigfive
21,3.8288453437609515,NaN,1,bigfive
22,3.884297118205747,NaN,1,bigfive
23,3.8288453437609515,NaN,1,bigfive
24,3.8288453437609515,NaN,1,bigfive
25,3.762928606440865,NaN,1,bigfive
26,3.735202719218467,NaN,1,bigfive
27,3.7733935693161555,NaN,1,bigfive
28,3.8288453437609515,NaN,1,bigfive
29,3.8183803808856602,NaN,1,bigfive
30,3.8011194565385535,NaN,1,bigfive
31,3.8565712309833495,NaN,1,bigfive
32,3.7733935693161555,NaN,1,bigfive
33,3.762928606440865,NaN,1,bigfive
34,3.679750944773671,NaN,1,bigfive
35,3.6970118691207787,NaN,1,bigfive
36,3.6347641332041665,NaN,1,bigfive
37,3.735202719218467,NaN,1,bigfive
38,3.7179417948713605,NaN,1,bigfive
39,3.745667682093758,NaN,1,bigfive
40,3.6956274397399396,NaN,1,bigfive
41,3.7179417948713605,NaN,1,bigfive
42,3.723353326962337,NaN,1,bigfive
43,3.7179417948713605,NaN,1,bigfive
44,3.707476831996069,NaN,1,bigfive
45,3.652025057551273,NaN,1,bigfive
46,3.7456676820937576,NaN,1,bigfive
47,3.679750944773671,NaN,1,bigfive
48,3.7456676820937584,NaN,1,bigfive
49,3.6956274397399396,NaN,1,bigfive
50,3.5569980036279505,NaN,1,bigfive
51,3.6970118691207787,NaN,1,bigfive
52,3.679750944773671,NaN,1,bigfive
