time,mean_val,std_val,n_runs,architecture
0,9.797632143947327,NaN,1,bigfive
1,25.467857350961356,NaN,1,bigfive
2,10.788741200438297,NaN,1,bigfive
3,7.565092573155026,NaN,1,bigfive
4,5.511481253399516,NaN,1,bigfive
5,4.932503424740724,NaN,1,bigfive
6,4.673405711739192,NaN,1,bigfive
7,5.02211366532325,NaN,1,bigfive
8,5.387062994508703,NaN,1,bigfive
9,5.682311145144124,NaN,1,bigfive
10,6.123249005535558,NaN,1,bigfive
11,5.68683010618236,NaN,1,bigfive
12,5.342075273838046,NaN,1,bigfive
13,5.555306433722602,NaN,1,bigfive
14,5.857774510664881,NaN,1,bigfive
15,5.6462366935618045,NaN,1,bigfive
16,6.001213576283168,NaN,1,bigfive
17,5.617205997943588,NaN,1,bigfive
18,5.968578030393827,NaN,1,bigfive
19,6.162191251465882,NaN,1,bigfive
20,6.558406024569927,NaN,1,bigfive
21,5.450005106816674,NaN,1,bigfive
22,5.609457942235941,NaN,1,bigfive
23,5.88747606286335,NaN,1,bigfive
24,5.493692409601941,NaN,1,bigfive
25,5.12895468689465,NaN,1,bigfive
26,5.251216484300589,NaN,1,bigfive
27,4.9605089592870435,NaN,1,bigfive
28,5.125086009848134,NaN,1,bigfive
29,5.339514634098094,NaN,1,bigfive
30,5.388199314332879,NaN,1,bigfive
31,5.112710002660688,NaN,1,bigfive
32,5.223027569636745,NaN,1,bigfive
33,5.013338113715768,NaN,1,bigfive
34,5.0609358093268195,NaN,1,bigfive
35,4.845080627209447,NaN,1,bigfive
36,4.632881785428997,NaN,1,bigfive
37,4.7097476853107585,NaN,1,bigfive
38,4.851753752743613,NaN,1,bigfive
39,5.286489493627954,NaN,1,bigfive
40,5.7083636660057895,NaN,1,bigfive
41,6.175741472667634,NaN,1,bigfive
42,6.233251269959079,NaN,1,bigfive
43,5.983133529328602,NaN,1,bigfive
44,5.7977855182271885,NaN,1,bigfive
45,5.86082909459234,NaN,1,bigfive
46,5.792234665779188,NaN,1,bigfive
47,5.696034698044224,NaN,1,bigfive
48,5.65452253160905,NaN,1,bigfive
49,5.386024186460444,NaN,1,bigfive
50,5.567556592609979,NaN,1,bigfive
51,5.383985400180164,NaN,1,bigfive
52,5.139598937671398,NaN,1,bigfive
53,4.978206253138659,NaN,1,bigfive
54,4.922136958678994,NaN,1,bigfive
55,4.764394969297834,NaN,1,bigfive
56,4.853536827927143,NaN,1,bigfive
57,4.762879712524371,NaN,1,bigfive
58,4.67354214670919,NaN,1,bigfive
59,4.742484839428808,NaN,1,bigfive
60,4.921064734543977,NaN,1,bigfive
61,4.768241771158356,NaN,1,bigfive
62,3.9361384797534447,NaN,1,bigfive
63,3.9896800474825174,NaN,1,bigfive
64,4.084504233448914,NaN,1,bigfive
65,3.820425933307054,NaN,1,bigfive
66,3.8615735347945517,NaN,1,bigfive
67,3.935192937830656,NaN,1,bigfive
68,3.5220088890035117,NaN,1,bigfive
69,3.3379354739781597,NaN,1,bigfive
70,3.2796823976936795,NaN,1,bigfive
71,3.2384231439150915,NaN,1,bigfive
72,3.180191712679254,NaN,1,bigfive
73,3.1446448093174553,NaN,1,bigfive
74,3.2988863468838407,NaN,1,bigfive
75,3.4420974496382497,NaN,1,bigfive
76,3.5106058418783483,NaN,1,bigfive
77,3.589171571169981,NaN,1,bigfive
78,3.61171393003785,NaN,1,bigfive
79,3.6357714470016713,NaN,1,bigfive
80,3.8004809170133513,NaN,1,bigfive
81,3.9671863689060034,NaN,1,bigfive
82,3.8754184681295034,NaN,1,bigfive
83,3.5817544473327705,NaN,1,bigfive
84,3.6205153324230417,NaN,1,bigfive
85,3.643285003608362,NaN,1,bigfive
86,3.4773059637257306,NaN,1,bigfive
87,3.426077820738084,NaN,1,bigfive
88,3.0512328127596637,NaN,1,bigfive
89,2.495525958338842,NaN,1,bigfive
90,2.4724659684850447,NaN,1,bigfive
91,2.554259100833015,NaN,1,bigfive
92,2.6001719935582956,NaN,1,bigfive
93,2.764411060851355,NaN,1,bigfive
94,2.808556902835568,NaN,1,bigfive
95,2.6696407705837273,NaN,1,bigfive
96,2.7153456463184,NaN,1,bigfive
97,2.770027701297049,NaN,1,bigfive
98,2.819387709990157,NaN,1,bigfive
99,2.4181502417116922,NaN,1,bigfive
100,2.4686551775436114,NaN,1,bigfive
101,2.5229750925231427,NaN,1,bigfive
102,2.732499424881378,NaN,1,bigfive
103,2.20738983747639,NaN,1,bigfive
104,2.1893437229241095,NaN,1,bigfive
105,2.2413221769778295,NaN,1,bigfive
106,2.308584110057884,NaN,1,bigfive
107,2.301779885548216,NaN,1,bigfive
108,2.389719928542312,NaN,1,bigfive
109,2.178120933050705,NaN,1,bigfive
110,2.2269458555298565,NaN,1,bigfive
111,2.2892669546486264,NaN,1,bigfive
112,2.4380960218932413,NaN,1,bigfive
113,2.4919992780656206,NaN,1,bigfive
114,2.4967964510968113,NaN,1,bigfive
115,2.462396313148672,NaN,1,bigfive
116,2.424621521368934,NaN,1,bigfive
117,2.3775854950023807,NaN,1,bigfive
118,2.5632474634601157,NaN,1,bigfive
119,2.7046681814253954,NaN,1,bigfive
120,2.668999267868815,NaN,1,bigfive
121,2.6153302494976183,NaN,1,bigfive
122,2.5595484433165927,NaN,1,bigfive
123,2.6179128148160493,NaN,1,bigfive
124,2.9281149729040954,NaN,1,bigfive
125,2.889062284322447,NaN,1,bigfive
126,3.0922529570491286,NaN,1,bigfive
127,3.123194945655461,NaN,1,bigfive
128,3.3194552647042537,NaN,1,bigfive
129,3.4012755820862695,NaN,1,bigfive
130,3.592725601028501,NaN,1,bigfive
131,3.7389176456437863,NaN,1,bigfive
132,4.010112851969372,NaN,1,bigfive
133,4.277767394606108,NaN,1,bigfive
134,2.898310616768706,NaN,1,bigfive
135,2.875296426639908,NaN,1,bigfive
136,2.833613044390215,NaN,1,bigfive
137,2.8826623217658383,NaN,1,bigfive
138,2.917037000076446,NaN,1,bigfive
139,2.978807233467137,NaN,1,bigfive
140,3.139504896285737,NaN,1,bigfive
141,3.2881775638478716,NaN,1,bigfive
142,3.438444378918968,NaN,1,bigfive
143,4.304994265511658,NaN,1,bigfive
144,4.38864153213246,NaN,1,bigfive
145,4.6128317768790135,NaN,1,bigfive
146,4.908089463993839,NaN,1,bigfive
147,5.150357898004629,NaN,1,bigfive
148,5.23602670447469,NaN,1,bigfive
149,5.618185822336461,NaN,1,bigfive
150,5.731120268218019,NaN,1,bigfive
0,9.797632143947327,0.0,4,llm
1,21.91265064878379,1.2293957406087639,4,llm
2,8.94995992969588,0.1887256449341039,4,llm
3,6.293391567490255,0.08628857830319005,4,llm
4,4.80811620992913,0.01249348146763666,4,llm
5,5.1787822367242295,0.05076944750463538,4,llm
6,5.61470065392252,0.05600297348178554,4,llm
7,5.986597556039632,0.12361334212412173,4,llm
8,6.348671577574745,0.20735147007146468,4,llm
9,5.634826933075859,0.04895400949297648,4,llm
10,5.89917420287304,0.05086554468861006,4,llm
11,5.321780497736629,0.0775614944920561,4,llm
12,5.188179254658223,0.4122475704918164,4,llm
13,5.096632617674709,0.024890432402260892,4,llm
14,5.071226774550386,0.45068288416772706,4,llm
15,5.372214080640545,0.47609734290735173,4,llm
16,5.900714388173764,0.07245486125149406,4,llm
17,5.759634431341054,0.40783233972770006,4,llm
18,6.050287026458848,0.48743369873695774,4,llm
19,5.605892148147873,0.3439209059442462,4,llm
20,5.772335057154413,0.3442756590518156,4,llm
21,5.955645879543715,0.2530023846973947,4,llm
22,6.062193396262813,0.25181412329374303,4,llm
23,5.98361169927748,0.6063525697606873,4,llm
24,6.167089118872371,0.5863327127497254,4,llm
25,5.951758414754496,0.28035021387783304,4,llm
26,6.021921131428881,0.3060346084873901,4,llm
27,6.129752125678163,0.2882560254263091,4,llm
28,6.043318140529715,0.6301817105631351,4,llm
29,5.988097532942624,0.8709602998441078,4,llm
30,5.832119173008854,0.4936710281515066,4,llm
31,5.960669767184594,0.49672287324403236,4,llm
32,6.016041067503757,0.7169849050765655,4,llm
33,6.016686173949568,1.0019647679909975,4,llm
34,5.9589365070065785,1.2179522592995007,4,llm
35,6.159588512063713,1.2518024515401578,4,llm
36,6.154009854323436,1.3978832498305573,4,llm
37,6.2533637583003,1.4224837195756481,4,llm
38,6.339708677253359,1.4680578666985884,4,llm
39,6.51895637501896,1.5580263645603722,4,llm
40,6.301218836125722,1.1896448311720478,4,llm
41,6.616091352696293,1.0902109458383231,4,llm
42,6.376732540863986,1.040779566727072,4,llm
43,6.096734590588553,1.0215604144241863,4,llm
44,6.038731715140871,1.1589482267468008,4,llm
45,6.115616047790345,1.0784401483562984,4,llm
46,5.825265155086601,0.9664663708598843,4,llm
47,5.903054841244112,0.9525081543497631,4,llm
48,5.73438831204415,0.6719519565387716,4,llm
49,5.812282882616916,0.6733525647928297,4,llm
50,5.732217336149929,0.7952350281799933,4,llm
51,5.5096616696645775,0.7010311374653565,4,llm
52,5.402256311655567,0.4905843113031187,4,llm
53,5.344379671826889,0.613406697266092,4,llm
54,5.449325613242954,0.5897425971282096,4,llm
55,5.52083347357309,0.633052840472268,4,llm
56,5.610873940865332,0.6449407055682219,4,llm
57,5.383910512099032,0.5672506724577268,4,llm
58,5.3405086485412445,0.6465306707117102,4,llm
59,5.325248823235773,0.712443995702219,4,llm
60,5.500366210291395,0.3250001246515136,4,llm
61,5.500673061578437,0.3162455863448987,4,llm
62,4.703593165354001,0.2891462787223982,4,llm
63,4.655726154385267,0.19854903964956974,4,llm
64,4.692264933002445,0.21871018918948462,4,llm
65,4.714993688497712,0.20951591491153687,4,llm
66,4.722266322988727,0.17210075002118316,4,llm
67,4.776178426609492,0.20800400771611516,4,llm
68,4.771602649994431,0.4411035682571521,4,llm
69,3.582132287757078,0.3298877572211304,4,llm
70,3.5547894497858037,0.3731286054664891,4,llm
71,3.5904318232194274,0.36998399114094355,4,llm
72,3.622325201274249,0.3693747120739782,4,llm
73,3.544313562107562,0.23220480324660078,4,llm
74,3.571909785998007,0.2435637710840561,4,llm
75,3.5945428226017375,0.24100516187676668,4,llm
76,3.621303973211397,0.24413848502331673,4,llm
77,3.6454052166375916,0.23917277188832187,4,llm
78,3.691296039792803,0.23989687307273969,4,llm
79,2.4176552503262836,0.5467149818726705,4,llm
80,2.4134296163914404,0.5107927221308509,4,llm
81,2.4156702343841983,0.47259015078148114,4,llm
82,2.4100483077221213,0.44258223670851826,4,llm
83,2.3356643863996798,0.49833594668574266,4,llm
