time,mean_val,std_val,n_runs,architecture
0,21.0,NaN,1,bigfive
1,20.0,NaN,1,bigfive
2,20.0,NaN,1,bigfive
3,19.0,NaN,1,bigfive
4,22.0,NaN,1,bigfive
5,25.0,NaN,1,bigfive
6,27.0,NaN,1,bigfive
7,28.0,NaN,1,bigfive
8,27.0,NaN,1,bigfive
9,25.0,NaN,1,bigfive
10,27.0,NaN,1,bigfive
11,27.0,NaN,1,bigfive
12,28.0,NaN,1,bigfive
13,29.0,NaN,1,bigfive
14,27.0,NaN,1,bigfive
15,30.0,NaN,1,bigfive
16,30.0,NaN,1,bigfive
17,29.0,NaN,1,bigfive
18,30.0,NaN,1,bigfive
19,30.0,NaN,1,bigfive
20,26.0,NaN,1,bigfive
21,27.0,NaN,1,bigfive
22,25.0,NaN,1,bigfive
23,26.0,NaN,1,bigfive
24,28.0,NaN,1,bigfive
25,30.0,NaN,1,bigfive
26,29.0,NaN,1,bigfive
27,27.0,NaN,1,bigfive
28,25.0,NaN,1,bigfive
29,28.0,NaN,1,bigfive
30,26.0,NaN,1,bigfive
31,24.0,NaN,1,bigfive
32,20.0,NaN,1,bigfive
33,20.0,NaN,1,bigfive
34,21.0,NaN,1,bigfive
35,21.0,NaN,1,bigfive
36,22.0,NaN,1,bigfive
37,22.0,NaN,1,bigfive
38,24.0,NaN,1,bigfive
39,26.0,NaN,1,bigfive
40,27.0,NaN,1,bigfive
41,25.0,NaN,1,bigfive
42,25.0,NaN,1,bigfive
43,24.0,NaN,1,bigfive
44,24.0,NaN,1,bigfive
45,24.0,NaN,1,bigfive
46,24.0,NaN,1,bigfive
47,22.0,NaN,1,bigfive
48,22.0,NaN,1,bigfive
49,23.0,NaN,1,bigfive
50,23.0,NaN,1,bigfive
51,19.0,NaN,1,bigfive
52,20.0,NaN,1,bigfive
53,16.0,NaN,1,bigfive
54,19.0,NaN,1,bigfive
55,22.0,NaN,1,bigfive
56,22.0,NaN,1,bigfive
57,19.0,NaN,1,bigfive
58,20.0,NaN,1,bigfive
59,20.0,NaN,1,bigfive
60,20.0,NaN,1,bigfive
61,20.0,NaN,1,bigfive
62,19.0,NaN,1,bigfive
63,21.0,NaN,1,bigfive
64,21.0,NaN,1,bigfive
65,20.0,NaN,1,bigfive
66,16.0,NaN,1,bigfive
67,22.0,NaN,1,bigfive
68,18.0,NaN,1,bigfive
69,20.0,NaN,1,bigfive
70,19.0,NaN,1,bigfive
71,14.0,NaN,1,bigfive
72,17.0,NaN,1,bigfive
73,15.0,NaN,1,bigfive
74,18.0,NaN,1,bigfive
75,20.0,NaN,1,bigfive
76,19.0,NaN,1,bigfive
77,18.0,NaN,1,bigfive
78,19.0,NaN,1,bigfive
79,21.0,NaN,1,bigfive
80,20.0,NaN,1,bigfive
81,16.0,NaN,1,bigfive
82,14.0,NaN,1,bigfive
83,14.0,NaN,1,bigfive
84,16.0,NaN,1,bigfive
85,17.0,NaN,1,bigfive
86,15.0,NaN,1,bigfive
87,15.0,NaN,1,bigfive
88,18.0,NaN,1,bigfive
89,18.0,NaN,1,bigfive
90,18.0,NaN,1,bigfive
91,19.0,NaN,1,bigfive
92,19.0,NaN,1,bigfive
93,19.0,NaN,1,bigfive
94,22.0,NaN,1,bigfive
95,22.0,NaN,1,bigfive
96,23.0,NaN,1,bigfive
97,20.0,NaN,1,bigfive
98,20.0,NaN,1,bigfive
99,20.0,NaN,1,bigfive
100,20.0,NaN,1,bigfive
101,20.0,NaN,1,bigfive
102,22.0,NaN,1,bigfive
103,23.0,NaN,1,bigfive
104,21.0,NaN,1,bigfive
105,20.0,NaN,1,bigfive
106,21.0,NaN,1,bigfive
107,20.0,NaN,1,bigfive
108,20.0,NaN,1,bigfive
109,22.0,NaN,1,bigfive
110,19.0,NaN,1,bigfive
111,20.0,NaN,1,bigfive
112,21.0,NaN,1,bigfive
113,19.0,NaN,1,bigfive
114,19.0,NaN,1,bigfive
115,21.0,NaN,1,bigfive
116,22.0,NaN,1,bigfive
117,22.0,NaN,1,bigfive
