time,mean_val,std_val,n_runs,architecture
0,29.0,NaN,1,bigfive
1,30.0,NaN,1,bigfive
2,30.0,NaN,1,bigfive
3,31.0,NaN,1,bigfive
4,28.0,NaN,1,bigfive
5,25.0,NaN,1,bigfive
6,23.0,NaN,1,bigfive
7,22.0,NaN,1,bigfive
8,23.0,NaN,1,bigfive
9,25.0,NaN,1,bigfive
10,23.0,NaN,1,bigfive
11,23.0,NaN,1,bigfive
12,22.0,NaN,1,bigfive
13,21.0,NaN,1,bigfive
14,23.0,NaN,1,bigfive
15,20.0,NaN,1,bigfive
16,20.0,NaN,1,bigfive
17,21.0,NaN,1,bigfive
18,20.0,NaN,1,bigfive
19,20.0,NaN,1,bigfive
20,24.0,NaN,1,bigfive
21,23.0,NaN,1,bigfive
22,25.0,NaN,1,bigfive
23,24.0,NaN,1,bigfive
24,22.0,NaN,1,bigfive
25,20.0,NaN,1,bigfive
26,21.0,NaN,1,bigfive
27,23.0,NaN,1,bigfive
28,25.0,NaN,1,bigfive
29,22.0,NaN,1,bigfive
30,24.0,NaN,1,bigfive
31,26.0,NaN,1,bigfive
32,30.0,NaN,1,bigfive
33,30.0,NaN,1,bigfive
34,29.0,NaN,1,bigfive
35,29.0,NaN,1,bigfive
36,28.0,NaN,1,bigfive
37,28.0,NaN,1,bigfive
38,26.0,NaN,1,bigfive
39,24.0,NaN,1,bigfive
40,23.0,NaN,1,bigfive
41,25.0,NaN,1,bigfive
42,25.0,NaN,1,bigfive
43,26.0,NaN,1,bigfive
44,26.0,NaN,1,bigfive
45,26.0,NaN,1,bigfive
46,26.0,NaN,1,bigfive
47,28.0,NaN,1,bigfive
48,28.0,NaN,1,bigfive
49,27.0,NaN,1,bigfive
50,27.0,NaN,1,bigfive
51,31.0,NaN,1,bigfive
52,30.0,NaN,1,bigfive
53,34.0,NaN,1,bigfive
54,31.0,NaN,1,bigfive
55,28.0,NaN,1,bigfive
56,28.0,NaN,1,bigfive
57,31.0,NaN,1,bigfive
