time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,0.0,NaN,1,bigfive
23,0.0,NaN,1,bigfive
24,0.0,NaN,1,bigfive
25,0.0,NaN,1,bigfive
26,0.0,NaN,1,bigfive
27,0.0,NaN,1,bigfive
28,0.0,NaN,1,bigfive
29,0.0,NaN,1,bigfive
30,0.0,NaN,1,bigfive
31,0.0,NaN,1,bigfive
32,0.0,NaN,1,bigfive
33,0.0,NaN,1,bigfive
34,0.0,NaN,1,bigfive
35,0.0,NaN,1,bigfive
36,0.0,NaN,1,bigfive
37,0.0,NaN,1,bigfive
38,0.0,NaN,1,bigfive
39,0.0,NaN,1,bigfive
40,0.0,NaN,1,bigfive
41,0.0,NaN,1,bigfive
42,0.0,NaN,1,bigfive
43,0.0,NaN,1,bigfive
44,0.0,NaN,1,bigfive
45,0.0,NaN,1,bigfive
46,0.0,NaN,1,bigfive
47,0.0,NaN,1,bigfive
48,0.0,NaN,1,bigfive
49,0.0,NaN,1,bigfive
50,0.0,NaN,1,bigfive
51,0.0,NaN,1,bigfive
52,0.0,NaN,1,bigfive
53,0.0,NaN,1,bigfive
54,0.0,NaN,1,bigfive
55,0.0,NaN,1,bigfive
56,0.0,NaN,1,bigfive
57,0.0,NaN,1,bigfive
58,0.0,NaN,1,bigfive
59,0.0,NaN,1,bigfive
60,4.0,NaN,1,bigfive
61,5.0,NaN,1,bigfive
62,6.0,NaN,1,bigfive
63,6.0,NaN,1,bigfive
64,6.0,NaN,1,bigfive
65,6.0,NaN,1,bigfive
66,6.0,NaN,1,bigfive
67,7.0,NaN,1,bigfive
68,9.0,NaN,1,bigfive
69,11.0,NaN,1,bigfive
70,11.0,NaN,1,bigfive
71,11.0,NaN,1,bigfive
72,11.0,NaN,1,bigfive
73,11.0,NaN,1,bigfive
74,13.0,NaN,1,bigfive
75,13.0,NaN,1,bigfive
76,14.0,NaN,1,bigfive
77,14.0,NaN,1,bigfive
78,14.0,NaN,1,bigfive
79,15.0,NaN,1,bigfive
80,15.0,NaN,1,bigfive
81,15.0,NaN,1,bigfive
82,15.0,NaN,1,bigfive
83,16.0,NaN,1,bigfive
84,17.0,NaN,1,bigfive
85,19.0,NaN,1,bigfive
86,19.0,NaN,1,bigfive
87,19.0,NaN,1,bigfive
88,22.0,NaN,1,bigfive
89,23.0,NaN,1,bigfive
90,23.0,NaN,1,bigfive
91,25.0,NaN,1,bigfive
92,27.0,NaN,1,bigfive
93,29.0,NaN,1,bigfive
94,30.0,NaN,1,bigfive
95,32.0,NaN,1,bigfive
96,32.0,NaN,1,bigfive
97,32.0,NaN,1,bigfive
98,33.0,NaN,1,bigfive
99,34.0,NaN,1,bigfive
100,34.0,NaN,1,bigfive
101,34.0,NaN,1,bigfive
102,35.0,NaN,1,bigfive
103,36.0,NaN,1,bigfive
104,36.0,NaN,1,bigfive
105,36.0,NaN,1,bigfive
106,36.0,NaN,1,bigfive
107,36.0,NaN,1,bigfive
108,37.0,NaN,1,bigfive
109,39.0,NaN,1,bigfive
110,39.0,NaN,1,bigfive
111,39.0,NaN,1,bigfive
112,40.0,NaN,1,bigfive
113,40.0,NaN,1,bigfive
114,42.0,NaN,1,bigfive
115,42.0,NaN,1,bigfive
116,43.0,NaN,1,bigfive
117,43.0,NaN,1,bigfive
118,44.0,NaN,1,bigfive
119,44.0,NaN,1,bigfive
120,44.0,NaN,1,bigfive
121,44.0,NaN,1,bigfive
122,44.0,NaN,1,bigfive
123,44.0,NaN,1,bigfive
124,45.0,NaN,1,bigfive
125,45.0,NaN,1,bigfive
126,45.0,NaN,1,bigfive
127,45.0,NaN,1,bigfive
128,45.0,NaN,1,bigfive
129,45.0,NaN,1,bigfive
130,45.0,NaN,1,bigfive
131,45.0,NaN,1,bigfive
132,45.0,NaN,1,bigfive
133,45.0,NaN,1,bigfive
134,47.0,NaN,1,bigfive
135,47.0,NaN,1,bigfive
136,48.0,NaN,1,bigfive
137,48.0,NaN,1,bigfive
138,48.0,NaN,1,bigfive
139,48.0,NaN,1,bigfive
140,48.0,NaN,1,bigfive
141,48.0,NaN,1,bigfive
142,48.0,NaN,1,bigfive
143,50.0,NaN,1,bigfive
144,50.0,NaN,1,bigfive
145,50.0,NaN,1,bigfive
146,50.0,NaN,1,bigfive
147,51.0,NaN,1,bigfive
148,51.0,NaN,1,bigfive
149,53.0,NaN,1,bigfive
150,53.0,NaN,1,bigfive
0,0.0,0.0,4,llm
1,0.0,0.0,4,llm
2,0.0,0.0,4,llm
3,0.0,0.0,4,llm
4,0.0,0.0,4,llm
5,0.0,0.0,4,llm
6,0.0,0.0,4,llm
7,0.0,0.0,4,llm
8,0.0,0.0,4,llm
9,0.0,0.0,4,llm
10,0.0,0.0,4,llm
11,0.0,0.0,4,llm
12,0.0,0.0,4,llm
13,0.0,0.0,4,llm
14,0.0,0.0,4,llm
15,0.0,0.0,4,llm
16,0.0,0.0,4,llm
17,0.0,0.0,4,llm
18,0.0,0.0,4,llm
19,0.0,0.0,4,llm
20,0.0,0.0,4,llm
21,0.0,0.0,4,llm
22,0.0,0.0,4,llm
23,0.0,0.0,4,llm
24,0.0,0.0,4,llm
25,0.0,0.0,4,llm
26,0.0,0.0,4,llm
27,0.0,0.0,4,llm
28,0.0,0.0,4,llm
29,0.0,0.0,4,llm
30,0.0,0.0,4,llm
31,0.0,0.0,4,llm
32,0.0,0.0,4,llm
33,0.0,0.0,4,llm
34,0.0,0.0,4,llm
35,0.0,0.0,4,llm
36,0.0,0.0,4,llm
37,0.0,0.0,4,llm
38,0.0,0.0,4,llm
39,0.0,0.0,4,llm
40,0.0,0.0,4,llm
41,0.0,0.0,4,llm
42,0.0,0.0,4,llm
43,0.0,0.0,4,llm
44,0.0,0.0,4,llm
45,0.0,0.0,4,llm
46,0.0,0.0,4,llm
47,0.0,0.0,4,llm
48,0.0,0.0,4,llm
49,0.0,0.0,4,llm
50,0.0,0.0,4,llm
51,0.0,0.0,4,llm
52,0.0,0.0,4,llm
53,0.0,0.0,4,llm
54,0.0,0.0,4,llm
55,0.0,0.0,4,llm
56,0.0,0.0,4,llm
57,0.0,0.0,4,llm
58,0.0,0.0,4,llm
59,0.0,0.0,4,llm
60,4.0,0.0,4,llm
61,5.0,0.0,4,llm
62,6.0,0.0,4,llm
63,6.0,0.0,4,llm
64,6.0,0.0,4,llm
65,6.0,0.0,4,llm
66,6.0,0.0,4,llm
67,7.0,0.0,4,llm
68,8.0,0.0,4,llm
69,11.0,0.0,4,llm
70,11.0,0.0,4,llm
71,11.0,0.0,4,llm
72,11.0,0.0,4,llm
73,11.0,0.0,4,llm
74,13.0,0.0,4,llm
75,13.0,0.0,4,llm
76,14.0,0.0,4,llm
77,14.0,0.0,4,llm
78,14.0,0.0,4,llm
79,15.0,0.0,4,llm
80,15.0,0.0,4,llm
81,15.0,0.0,4,llm
82,15.0,0.0,4,llm
83,16.0,0.0,4,llm
84,17.5,0.5773502691896257,4,llm
85,19.0,0.0,4,llm
86,19.0,0.0,4,llm
87,19.0,0.0,4,llm
88,22.0,0.0,4,llm
89,23.0,0.0,4,llm
90,23.0,0.0,4,llm
91,25.0,0.0,4,llm
92,27.0,0.0,4,llm
93,29.0,0.0,4,llm
94,29.5,0.5773502691896257,4,llm
95,30.5,0.5773502691896257,4,llm
96,32.0,0.0,4,llm
97,32.0,0.0,4,llm
98,33.0,0.0,4,llm
99,33.0,0.0,4,llm
100,34.0,0.0,4,llm
101,34.0,0.0,4,llm
102,35.0,0.0,4,llm
103,35.0,0.0,4,llm
104,36.0,0.0,4,llm
105,36.0,0.0,4,llm
106,36.0,0.0,4,llm
107,36.0,0.0,4,llm
108,37.0,0.0,4,llm
109,37.5,0.5773502691896257,4,llm
110,38.0,0.0,4,llm
111,39.0,0.0,4,llm
112,39.5,0.5773502691896257,4,llm
113,40.0,0.0,4,llm
114,40.0,0.0,4,llm
115,40.0,0.0,4,llm
116,40.0,0.0,4,llm
117,40.5,0.5773502691896257,4,llm
118,41.0,1.1547005383792515,4,llm
119,43.0,1.1547005383792515,4,llm
120,43.0,1.1547005383792515,4,llm
121,43.5,0.5773502691896257,4,llm
122,43.5,0.5773502691896257,4,llm
123,43.5,0.5773502691896257,4,llm
124,43.5,0.5773502691896257,4,llm
125,44.0,0.0,4,llm
126,44.5,0.5773502691896257,4,llm
127,45.0,0.0,4,llm
128,45.0,0.0,4,llm
129,45.0,0.0,4,llm
130,45.0,0.0,4,llm
131,45.0,0.0,4,llm
132,45.0,0.0,4,llm
133,45.0,0.0,4,llm
134,45.0,0.0,4,llm
135,45.5,0.5773502691896257,4,llm
136,46.5,0.5773502691896257,4,llm
137,46.5,0.5773502691896257,4,llm
138,46.5,0.5773502691896257,4,llm
139,46.5,0.5773502691896257,4,llm
140,46.5,0.5773502691896257,4,llm
141,46.5,0.5773502691896257,4,llm
142,46.5,0.5773502691896257,4,llm
143,48.0,0.0,4,llm
144,48.0,0.0,4,llm
