time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,1.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,7.0,NaN,1,bigfive
5,11.0,NaN,1,bigfive
6,14.0,NaN,1,bigfive
7,15.0,NaN,1,bigfive
8,18.0,NaN,1,bigfive
9,19.0,NaN,1,bigfive
10,19.0,NaN,1,bigfive
11,22.0,NaN,1,bigfive
12,23.0,NaN,1,bigfive
13,24.0,NaN,1,bigfive
14,26.0,NaN,1,bigfive
15,27.0,NaN,1,bigfive
16,28.0,NaN,1,bigfive
17,30.0,NaN,1,bigfive
18,31.0,NaN,1,bigfive
19,32.0,NaN,1,bigfive
20,33.0,NaN,1,bigfive
21,33.0,NaN,1,bigfive
22,33.0,NaN,1,bigfive
23,34.0,NaN,1,bigfive
24,35.0,NaN,1,bigfive
25,39.0,NaN,1,bigfive
26,40.0,NaN,1,bigfive
27,42.0,NaN,1,bigfive
28,45.0,NaN,1,bigfive
29,46.0,NaN,1,bigfive
30,46.0,NaN,1,bigfive
31,47.0,NaN,1,bigfive
32,48.0,NaN,1,bigfive
33,50.0,NaN,1,bigfive
34,50.0,NaN,1,bigfive
35,50.0,NaN,1,bigfive
36,50.0,NaN,1,bigfive
37,50.0,NaN,1,bigfive
38,52.0,NaN,1,bigfive
39,52.0,NaN,1,bigfive
40,52.0,NaN,1,bigfive
41,53.0,NaN,1,bigfive
42,54.0,NaN,1,bigfive
43,55.0,NaN,1,bigfive
44,56.0,NaN,1,bigfive
45,56.0,NaN,1,bigfive
46,57.0,NaN,1,bigfive
47,57.0,NaN,1,bigfive
48,58.0,NaN,1,bigfive
49,58.0,NaN,1,bigfive
50,58.0,NaN,1,bigfive
51,60.0,NaN,1,bigfive
52,60.0,NaN,1,bigfive
53,60.0,NaN,1,bigfive
54,61.0,NaN,1,bigfive
55,61.0,NaN,1,bigfive
56,61.0,NaN,1,bigfive
57,62.0,NaN,1,bigfive
58,62.0,NaN,1,bigfive
59,62.0,NaN,1,bigfive
60,63.0,NaN,1,bigfive
61,63.0,NaN,1,bigfive
62,63.0,NaN,1,bigfive
63,64.0,NaN,1,bigfive
64,64.0,NaN,1,bigfive
65,65.0,NaN,1,bigfive
66,65.0,NaN,1,bigfive
67,68.0,NaN,1,bigfive
68,68.0,NaN,1,bigfive
69,68.0,NaN,1,bigfive
70,68.0,NaN,1,bigfive
71,71.0,NaN,1,bigfive
72,71.0,NaN,1,bigfive
73,72.0,NaN,1,bigfive
74,73.0,NaN,1,bigfive
75,73.0,NaN,1,bigfive
76,73.0,NaN,1,bigfive
77,73.0,NaN,1,bigfive
78,74.0,NaN,1,bigfive
79,74.0,NaN,1,bigfive
80,76.0,NaN,1,bigfive
81,77.0,NaN,1,bigfive
82,77.0,NaN,1,bigfive
83,79.0,NaN,1,bigfive
84,82.0,NaN,1,bigfive
85,82.0,NaN,1,bigfive
86,84.0,NaN,1,bigfive
87,84.0,NaN,1,bigfive
88,84.0,NaN,1,bigfive
89,85.0,NaN,1,bigfive
90,86.0,NaN,1,bigfive
91,87.0,NaN,1,bigfive
92,87.0,NaN,1,bigfive
93,91.0,NaN,1,bigfive
94,92.0,NaN,1,bigfive
95,93.0,NaN,1,bigfive
96,95.0,NaN,1,bigfive
97,96.0,NaN,1,bigfive
98,98.0,NaN,1,bigfive
99,100.0,NaN,1,bigfive
100,104.0,NaN,1,bigfive
101,104.0,NaN,1,bigfive
102,104.0,NaN,1,bigfive
103,105.0,NaN,1,bigfive
104,105.0,NaN,1,bigfive
105,105.0,NaN,1,bigfive
106,106.0,NaN,1,bigfive
107,107.0,NaN,1,bigfive
108,107.0,NaN,1,bigfive
109,108.0,NaN,1,bigfive
110,109.0,NaN,1,bigfive
111,109.0,NaN,1,bigfive
112,110.0,NaN,1,bigfive
113,110.0,NaN,1,bigfive
114,110.0,NaN,1,bigfive
115,112.0,NaN,1,bigfive
116,112.0,NaN,1,bigfive
117,113.0,NaN,1,bigfive
118,113.0,NaN,1,bigfive
119,113.0,NaN,1,bigfive
120,113.0,NaN,1,bigfive
121,114.0,NaN,1,bigfive
122,114.0,NaN,1,bigfive
123,115.0,NaN,1,bigfive
124,116.0,NaN,1,bigfive
125,116.0,NaN,1,bigfive
126,116.0,NaN,1,bigfive
127,116.0,NaN,1,bigfive
128,116.0,NaN,1,bigfive
129,117.0,NaN,1,bigfive
130,117.0,NaN,1,bigfive
131,120.0,NaN,1,bigfive
132,122.0,NaN,1,bigfive
133,122.0,NaN,1,bigfive
134,122.0,NaN,1,bigfive
135,122.0,NaN,1,bigfive
136,122.0,NaN,1,bigfive
137,123.0,NaN,1,bigfive
138,125.0,NaN,1,bigfive
139,125.0,NaN,1,bigfive
140,127.0,NaN,1,bigfive
141,127.0,NaN,1,bigfive
142,127.0,NaN,1,bigfive
143,127.0,NaN,1,bigfive
144,127.0,NaN,1,bigfive
145,129.0,NaN,1,bigfive
146,129.0,NaN,1,bigfive
147,129.0,NaN,1,bigfive
148,129.0,NaN,1,bigfive
149,129.0,NaN,1,bigfive
150,131.0,NaN,1,bigfive
0,0.0,0.0,4,llm
1,0.0,0.0,4,llm
2,1.0,0.0,4,llm
3,3.0,0.0,4,llm
4,6.0,0.0,4,llm
5,10.0,0.0,4,llm
6,13.0,0.0,4,llm
7,14.0,0.0,4,llm
8,16.0,0.0,4,llm
9,18.5,0.5773502691896257,4,llm
10,18.5,0.5773502691896257,4,llm
11,20.5,0.5773502691896257,4,llm
12,22.0,0.0,4,llm
13,23.5,0.5773502691896257,4,llm
14,26.5,0.5773502691896257,4,llm
15,27.5,0.5773502691896257,4,llm
16,28.0,0.0,4,llm
17,29.5,0.5773502691896257,4,llm
18,30.0,0.0,4,llm
19,32.5,0.5773502691896257,4,llm
20,33.0,0.0,4,llm
21,33.0,0.0,4,llm
22,33.5,0.5773502691896257,4,llm
23,34.0,0.0,4,llm
24,36.0,0.0,4,llm
25,37.5,0.5773502691896257,4,llm
26,40.5,0.5773502691896257,4,llm
27,42.0,0.0,4,llm
28,42.0,0.0,4,llm
29,43.5,0.5773502691896257,4,llm
30,44.5,0.5773502691896257,4,llm
31,46.0,0.0,4,llm
32,46.5,0.5773502691896257,4,llm
33,48.0,0.0,4,llm
34,48.0,0.0,4,llm
35,48.0,0.0,4,llm
36,48.0,0.0,4,llm
37,48.5,0.5773502691896257,4,llm
38,48.5,0.5773502691896257,4,llm
39,49.5,0.5773502691896257,4,llm
40,49.5,0.5773502691896257,4,llm
41,50.0,0.0,4,llm
42,52.0,1.1547005383792515,4,llm
43,52.5,0.5773502691896257,4,llm
44,53.0,0.0,4,llm
45,54.0,1.1547005383792515,4,llm
46,54.0,1.1547005383792515,4,llm
47,55.5,0.5773502691896257,4,llm
48,56.0,1.1547005383792515,4,llm
49,56.5,0.5773502691896257,4,llm
50,57.5,0.5773502691896257,4,llm
51,57.5,0.5773502691896257,4,llm
52,58.0,1.1547005383792515,4,llm
53,58.0,1.1547005383792515,4,llm
54,58.0,1.1547005383792515,4,llm
55,58.5,0.5773502691896257,4,llm
56,59.0,1.1547005383792515,4,llm
57,59.0,1.1547005383792515,4,llm
58,60.0,1.1547005383792515,4,llm
59,60.0,1.1547005383792515,4,llm
60,60.5,0.5773502691896257,4,llm
61,60.5,0.5773502691896257,4,llm
62,61.0,0.0,4,llm
63,61.5,0.5773502691896257,4,llm
64,63.0,0.0,4,llm
65,64.0,1.1547005383792515,4,llm
66,64.5,0.5773502691896257,4,llm
67,65.5,0.5773502691896257,4,llm
68,66.0,1.1547005383792515,4,llm
69,67.0,1.1547005383792515,4,llm
70,67.5,0.5773502691896257,4,llm
71,68.0,1.1547005383792515,4,llm
72,69.5,1.7320508075688772,4,llm
73,72.0,1.1547005383792515,4,llm
74,72.0,1.1547005383792515,4,llm
75,73.0,1.1547005383792515,4,llm
76,73.5,0.5773502691896257,4,llm
77,74.5,0.5773502691896257,4,llm
78,75.0,0.0,4,llm
79,76.0,0.0,4,llm
80,76.0,0.0,4,llm
81,76.5,0.5773502691896257,4,llm
82,77.0,1.1547005383792515,4,llm
83,77.0,1.1547005383792515,4,llm
84,78.5,0.5773502691896257,4,llm
85,78.5,0.5773502691896257,4,llm
86,79.0,0.0,4,llm
87,80.5,0.5773502691896257,4,llm
88,81.0,0.0,4,llm
89,81.5,0.5773502691896257,4,llm
90,82.5,0.5773502691896257,4,llm
91,82.5,0.5773502691896257,4,llm
92,84.5,1.7320508075688772,4,llm
93,86.0,1.1547005383792515,4,llm
94,86.5,0.5773502691896257,4,llm
95,87.0,1.1547005383792515,4,llm
96,90.0,0.0,4,llm
97,91.5,0.5773502691896257,4,llm
98,92.5,1.7320508075688772,4,llm
99,94.0,1.1547005383792515,4,llm
100,96.0,1.1547005383792515,4,llm
101,96.0,1.1547005383792515,4,llm
102,97.0,2.309401076758503,4,llm
103,97.5,1.7320508075688772,4,llm
104,98.0,2.309401076758503,4,llm
105,99.0,1.1547005383792515,4,llm
106,100.0,1.1547005383792515,4,llm
107,103.5,0.5773502691896257,4,llm
108,104.5,0.5773502691896257,4,llm
109,105.5,1.7320508075688772,4,llm
110,106.5,1.7320508075688772,4,llm
111,107.5,1.7320508075688772,4,llm
112,109.0,1.1547005383792515,4,llm
113,109.0,1.1547005383792515,4,llm
114,110.0,1.1547005383792515,4,llm
115,111.0,0.0,4,llm
116,111.5,0.5773502691896257,4,llm
117,111.5,0.5773502691896257,4,llm
118,112.5,0.5773502691896257,4,llm
119,113.5,0.5773502691896257,4,llm
120,114.0,1.1547005383792515,4,llm
121,115.5,0.5773502691896257,4,llm
122,116.0,0.0,4,llm
