time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,3.0,NaN,1,bigfive
2,3.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,3.0,NaN,1,bigfive
5,6.0,NaN,1,bigfive
6,8.0,NaN,1,bigfive
7,6.0,NaN,1,bigfive
8,9.0,NaN,1,bigfive
9,9.0,NaN,1,bigfive
10,5.0,NaN,1,bigfive
11,6.0,NaN,1,bigfive
12,5.0,NaN,1,bigfive
13,4.0,NaN,1,bigfive
14,4.0,NaN,1,bigfive
15,8.0,NaN,1,bigfive
16,6.0,NaN,1,bigfive
17,7.0,NaN,1,bigfive
18,6.0,NaN,1,bigfive
19,9.0,NaN,1,bigfive
20,6.0,NaN,1,bigfive
21,7.0,NaN,1,bigfive
22,5.0,NaN,1,bigfive
23,7.0,NaN,1,bigfive
24,8.0,NaN,1,bigfive
25,7.0,NaN,1,bigfive
26,7.0,NaN,1,bigfive
27,9.0,NaN,1,bigfive
28,7.0,NaN,1,bigfive
29,4.0,NaN,1,bigfive
30,10.0,NaN,1,bigfive
31,9.0,NaN,1,bigfive
32,5.0,NaN,1,bigfive
33,7.0,NaN,1,bigfive
34,7.0,NaN,1,bigfive
35,9.0,NaN,1,bigfive
36,8.0,NaN,1,bigfive
37,8.0,NaN,1,bigfive
38,6.0,NaN,1,bigfive
39,9.0,NaN,1,bigfive
40,12.0,NaN,1,bigfive
41,6.0,NaN,1,bigfive
42,5.0,NaN,1,bigfive
43,6.0,NaN,1,bigfive
44,8.0,NaN,1,bigfive
45,7.0,NaN,1,bigfive
46,13.0,NaN,1,bigfive
47,8.0,NaN,1,bigfive
48,5.0,NaN,1,bigfive
49,3.0,NaN,1,bigfive
50,6.0,NaN,1,bigfive
51,6.0,NaN,1,bigfive
52,4.0,NaN,1,bigfive
53,3.0,NaN,1,bigfive
54,5.0,NaN,1,bigfive
55,7.0,NaN,1,bigfive
56,4.0,NaN,1,bigfive
57,2.0,NaN,1,bigfive
58,5.0,NaN,1,bigfive
59,3.0,NaN,1,bigfive
60,6.0,NaN,1,bigfive
61,3.0,NaN,1,bigfive
62,1.0,NaN,1,bigfive
63,5.0,NaN,1,bigfive
64,4.0,NaN,1,bigfive
65,3.0,NaN,1,bigfive
66,2.0,NaN,1,bigfive
67,5.0,NaN,1,bigfive
68,8.0,NaN,1,bigfive
69,6.0,NaN,1,bigfive
70,1.0,NaN,1,bigfive
71,5.0,NaN,1,bigfive
72,4.0,NaN,1,bigfive
73,5.0,NaN,1,bigfive
74,3.0,NaN,1,bigfive
75,4.0,NaN,1,bigfive
76,3.0,NaN,1,bigfive
77,5.0,NaN,1,bigfive
78,5.0,NaN,1,bigfive
79,6.0,NaN,1,bigfive
80,6.0,NaN,1,bigfive
81,7.0,NaN,1,bigfive
82,4.0,NaN,1,bigfive
83,5.0,NaN,1,bigfive
84,9.0,NaN,1,bigfive
85,6.0,NaN,1,bigfive
86,8.0,NaN,1,bigfive
87,5.0,NaN,1,bigfive
88,7.0,NaN,1,bigfive
89,4.0,NaN,1,bigfive
90,6.0,NaN,1,bigfive
91,11.0,NaN,1,bigfive
92,3.0,NaN,1,bigfive
93,4.0,NaN,1,bigfive
94,6.0,NaN,1,bigfive
95,4.0,NaN,1,bigfive
96,5.0,NaN,1,bigfive
97,2.0,NaN,1,bigfive
98,2.0,NaN,1,bigfive
99,4.0,NaN,1,bigfive
100,8.0,NaN,1,bigfive
101,5.0,NaN,1,bigfive
102,3.0,NaN,1,bigfive
103,6.0,NaN,1,bigfive
104,7.0,NaN,1,bigfive
105,11.0,NaN,1,bigfive
106,7.0,NaN,1,bigfive
107,6.0,NaN,1,bigfive
108,7.0,NaN,1,bigfive
109,7.0,NaN,1,bigfive
110,6.0,NaN,1,bigfive
111,6.0,NaN,1,bigfive
112,7.0,NaN,1,bigfive
113,4.0,NaN,1,bigfive
114,2.0,NaN,1,bigfive
115,3.0,NaN,1,bigfive
116,4.0,NaN,1,bigfive
117,7.0,NaN,1,bigfive
118,4.0,NaN,1,bigfive
119,4.0,NaN,1,bigfive
120,6.0,NaN,1,bigfive
121,3.0,NaN,1,bigfive
122,4.0,NaN,1,bigfive
123,7.0,NaN,1,bigfive
124,8.0,NaN,1,bigfive
125,4.0,NaN,1,bigfive
