time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,5.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,5.0,NaN,1,bigfive
5,1.0,NaN,1,bigfive
6,3.0,NaN,1,bigfive
7,5.0,NaN,1,bigfive
8,4.0,NaN,1,bigfive
9,7.0,NaN,1,bigfive
10,8.0,NaN,1,bigfive
11,7.0,NaN,1,bigfive
12,8.0,NaN,1,bigfive
13,11.0,NaN,1,bigfive
14,8.0,NaN,1,bigfive
15,10.0,NaN,1,bigfive
16,9.0,NaN,1,bigfive
17,10.0,NaN,1,bigfive
18,9.0,NaN,1,bigfive
19,10.0,NaN,1,bigfive
20,10.0,NaN,1,bigfive
21,10.0,NaN,1,bigfive
22,6.0,NaN,1,bigfive
23,8.0,NaN,1,bigfive
24,7.0,NaN,1,bigfive
25,10.0,NaN,1,bigfive
26,12.0,NaN,1,bigfive
27,10.0,NaN,1,bigfive
28,12.0,NaN,1,bigfive
29,11.0,NaN,1,bigfive
30,11.0,NaN,1,bigfive
31,8.0,NaN,1,bigfive
32,10.0,NaN,1,bigfive
33,9.0,NaN,1,bigfive
34,14.0,NaN,1,bigfive
35,10.0,NaN,1,bigfive
36,9.0,NaN,1,bigfive
37,11.0,NaN,1,bigfive
38,8.0,NaN,1,bigfive
39,6.0,NaN,1,bigfive
40,10.0,NaN,1,bigfive
41,6.0,NaN,1,bigfive
42,15.0,NaN,1,bigfive
43,10.0,NaN,1,bigfive
44,12.0,NaN,1,bigfive
45,13.0,NaN,1,bigfive
46,11.0,NaN,1,bigfive
47,8.0,NaN,1,bigfive
48,14.0,NaN,1,bigfive
49,12.0,NaN,1,bigfive
50,10.0,NaN,1,bigfive
51,8.0,NaN,1,bigfive
52,13.0,NaN,1,bigfive
53,11.0,NaN,1,bigfive
54,8.0,NaN,1,bigfive
55,10.0,NaN,1,bigfive
56,12.0,NaN,1,bigfive
57,13.0,NaN,1,bigfive
58,15.0,NaN,1,bigfive
59,10.0,NaN,1,bigfive
60,12.0,NaN,1,bigfive
61,9.0,NaN,1,bigfive
62,12.0,NaN,1,bigfive
63,8.0,NaN,1,bigfive
64,12.0,NaN,1,bigfive
65,14.0,NaN,1,bigfive
66,12.0,NaN,1,bigfive
67,10.0,NaN,1,bigfive
68,6.0,NaN,1,bigfive
69,6.0,NaN,1,bigfive
70,7.0,NaN,1,bigfive
71,12.0,NaN,1,bigfive
72,11.0,NaN,1,bigfive
73,11.0,NaN,1,bigfive
74,11.0,NaN,1,bigfive
75,9.0,NaN,1,bigfive
76,14.0,NaN,1,bigfive
77,12.0,NaN,1,bigfive
78,10.0,NaN,1,bigfive
79,9.0,NaN,1,bigfive
80,6.0,NaN,1,bigfive
81,9.0,NaN,1,bigfive
82,8.0,NaN,1,bigfive
83,9.0,NaN,1,bigfive
84,6.0,NaN,1,bigfive
85,8.0,NaN,1,bigfive
86,9.0,NaN,1,bigfive
87,7.0,NaN,1,bigfive
88,11.0,NaN,1,bigfive
89,7.0,NaN,1,bigfive
90,9.0,NaN,1,bigfive
91,4.0,NaN,1,bigfive
92,9.0,NaN,1,bigfive
93,8.0,NaN,1,bigfive
94,8.0,NaN,1,bigfive
95,4.0,NaN,1,bigfive
96,5.0,NaN,1,bigfive
97,5.0,NaN,1,bigfive
98,6.0,NaN,1,bigfive
99,6.0,NaN,1,bigfive
100,7.0,NaN,1,bigfive
101,12.0,NaN,1,bigfive
102,6.0,NaN,1,bigfive
103,9.0,NaN,1,bigfive
104,6.0,NaN,1,bigfive
105,7.0,NaN,1,bigfive
106,10.0,NaN,1,bigfive
107,8.0,NaN,1,bigfive
108,8.0,NaN,1,bigfive
109,10.0,NaN,1,bigfive
110,10.0,NaN,1,bigfive
111,7.0,NaN,1,bigfive
112,10.0,NaN,1,bigfive
113,10.0,NaN,1,bigfive
114,7.0,NaN,1,bigfive
115,12.0,NaN,1,bigfive
116,11.0,NaN,1,bigfive
117,11.0,NaN,1,bigfive
118,12.0,NaN,1,bigfive
119,5.0,NaN,1,bigfive
120,12.0,NaN,1,bigfive
121,8.0,NaN,1,bigfive
122,11.0,NaN,1,bigfive
123,5.0,NaN,1,bigfive
124,11.0,NaN,1,bigfive
125,8.0,NaN,1,bigfive
126,12.0,NaN,1,bigfive
127,11.0,NaN,1,bigfive
128,10.0,NaN,1,bigfive
129,10.0,NaN,1,bigfive
130,9.0,NaN,1,bigfive
131,7.0,NaN,1,bigfive
132,4.0,NaN,1,bigfive
133,8.0,NaN,1,bigfive
134,10.0,NaN,1,bigfive
135,8.0,NaN,1,bigfive
136,18.0,NaN,1,bigfive
137,9.0,NaN,1,bigfive
138,10.0,NaN,1,bigfive
139,9.0,NaN,1,bigfive
140,16.0,NaN,1,bigfive
141,10.0,NaN,1,bigfive
142,8.0,NaN,1,bigfive
143,10.0,NaN,1,bigfive
144,11.0,NaN,1,bigfive
145,10.0,NaN,1,bigfive
146,11.0,NaN,1,bigfive
147,10.0,NaN,1,bigfive
148,14.0,NaN,1,bigfive
149,15.0,NaN,1,bigfive
150,12.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,2.0,NaN,1,llm
3,2.0,NaN,1,llm
4,4.0,NaN,1,llm
5,3.0,NaN,1,llm
6,7.0,NaN,1,llm
7,9.0,NaN,1,llm
8,7.0,NaN,1,llm
9,8.0,NaN,1,llm
10,4.0,NaN,1,llm
11,4.0,NaN,1,llm
12,5.0,NaN,1,llm
13,9.0,NaN,1,llm
14,5.0,NaN,1,llm
15,8.0,NaN,1,llm
16,4.0,NaN,1,llm
17,6.0,NaN,1,llm
18,7.0,NaN,1,llm
19,7.0,NaN,1,llm
20,4.0,NaN,1,llm
21,9.0,NaN,1,llm
22,12.0,NaN,1,llm
23,9.0,NaN,1,llm
24,5.0,NaN,1,llm
25,7.0,NaN,1,llm
26,9.0,NaN,1,llm
27,8.0,NaN,1,llm
28,2.0,NaN,1,llm
29,7.0,NaN,1,llm
30,5.0,NaN,1,llm
31,9.0,NaN,1,llm
32,6.0,NaN,1,llm
33,7.0,NaN,1,llm
34,9.0,NaN,1,llm
35,7.0,NaN,1,llm
36,10.0,NaN,1,llm
37,6.0,NaN,1,llm
38,7.0,NaN,1,llm
39,9.0,NaN,1,llm
40,8.0,NaN,1,llm
41,12.0,NaN,1,llm
42,13.0,NaN,1,llm
43,11.0,NaN,1,llm
44,16.0,NaN,1,llm
45,11.0,NaN,1,llm
46,15.0,NaN,1,llm
47,13.0,NaN,1,llm
48,10.0,NaN,1,llm
49,10.0,NaN,1,llm
50,14.0,NaN,1,llm
51,10.0,NaN,1,llm
52,5.0,NaN,1,llm
53,8.0,NaN,1,llm
54,6.0,NaN,1,llm
55,7.0,NaN,1,llm
56,6.0,NaN,1,llm
57,10.0,NaN,1,llm
58,7.0,NaN,1,llm
59,11.0,NaN,1,llm
60,10.0,NaN,1,llm
61,13.0,NaN,1,llm
62,11.0,NaN,1,llm
63,10.0,NaN,1,llm
64,8.0,NaN,1,llm
65,7.0,NaN,1,llm
66,8.0,NaN,1,llm
67,5.0,NaN,1,llm
68,9.0,NaN,1,llm
69,8.0,NaN,1,llm
70,7.0,NaN,1,llm
71,3.0,NaN,1,llm
72,5.0,NaN,1,llm
73,10.0,NaN,1,llm
74,6.0,NaN,1,llm
75,2.0,NaN,1,llm
76,8.0,NaN,1,llm
77,6.0,NaN,1,llm
78,8.0,NaN,1,llm
79,8.0,NaN,1,llm
80,11.0,NaN,1,llm
81,19.0,NaN,1,llm
82,8.0,NaN,1,llm
83,4.0,NaN,1,llm
84,10.0,NaN,1,llm
85,8.0,NaN,1,llm
86,9.0,NaN,1,llm
87,7.0,NaN,1,llm
88,10.0,NaN,1,llm
89,6.0,NaN,1,llm
90,8.0,NaN,1,llm
91,9.0,NaN,1,llm
92,11.0,NaN,1,llm
93,7.0,NaN,1,llm
94,5.0,NaN,1,llm
95,11.0,NaN,1,llm
96,8.0,NaN,1,llm
97,9.0,NaN,1,llm
98,7.0,NaN,1,llm
99,6.0,NaN,1,llm
100,7.0,NaN,1,llm
101,10.0,NaN,1,llm
102,5.0,NaN,1,llm
103,5.0,NaN,1,llm
104,9.0,NaN,1,llm
105,11.0,NaN,1,llm
106,5.0,NaN,1,llm
107,3.0,NaN,1,llm
108,6.0,NaN,1,llm
109,6.0,NaN,1,llm
110,8.0,NaN,1,llm
111,9.0,NaN,1,llm
112,14.0,NaN,1,llm
113,6.0,NaN,1,llm
114,11.0,NaN,1,llm
115,10.0,NaN,1,llm
116,5.0,NaN,1,llm
117,7.0,NaN,1,llm
118,13.0,NaN,1,llm
119,9.0,NaN,1,llm
120,12.0,NaN,1,llm
121,11.0,NaN,1,llm
122,8.0,NaN,1,llm
123,11.0,NaN,1,llm
124,12.0,NaN,1,llm
125,11.0,NaN,1,llm
126,10.0,NaN,1,llm
127,7.0,NaN,1,llm
128,12.0,NaN,1,llm
129,15.0,NaN,1,llm
130,12.0,NaN,1,llm
131,10.0,NaN,1,llm
132,10.0,NaN,1,llm
133,10.0,NaN,1,llm
134,6.0,NaN,1,llm
135,4.0,NaN,1,llm
136,8.0,NaN,1,llm
137,9.0,NaN,1,llm
138,4.0,NaN,1,llm
139,10.0,NaN,1,llm
140,7.0,NaN,1,llm
141,14.0,NaN,1,llm
142,9.0,NaN,1,llm
143,15.0,NaN,1,llm
144,16.0,NaN,1,llm
145,14.0,NaN,1,llm
146,16.0,NaN,1,llm
147,14.0,NaN,1,llm
148,8.0,NaN,1,llm
149,15.0,NaN,1,llm
150,11.0,NaN,1,llm
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
