time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,3.0,NaN,1,bigfive
2,8.0,NaN,1,bigfive
3,6.0,NaN,1,bigfive
4,8.0,NaN,1,bigfive
5,7.0,NaN,1,bigfive
6,11.0,NaN,1,bigfive
7,11.0,NaN,1,bigfive
8,13.0,NaN,1,bigfive
9,16.0,NaN,1,bigfive
10,13.0,NaN,1,bigfive
11,13.0,NaN,1,bigfive
12,13.0,NaN,1,bigfive
13,15.0,NaN,1,bigfive
14,12.0,NaN,1,bigfive
15,18.0,NaN,1,bigfive
16,15.0,NaN,1,bigfive
17,17.0,NaN,1,bigfive
18,15.0,NaN,1,bigfive
19,19.0,NaN,1,bigfive
20,16.0,NaN,1,bigfive
21,17.0,NaN,1,bigfive
22,11.0,NaN,1,bigfive
23,15.0,NaN,1,bigfive
24,15.0,NaN,1,bigfive
25,17.0,NaN,1,bigfive
26,19.0,NaN,1,bigfive
27,19.0,NaN,1,bigfive
28,19.0,NaN,1,bigfive
29,15.0,NaN,1,bigfive
30,21.0,NaN,1,bigfive
31,17.0,NaN,1,bigfive
32,15.0,NaN,1,bigfive
33,16.0,NaN,1,bigfive
34,21.0,NaN,1,bigfive
35,19.0,NaN,1,bigfive
36,17.0,NaN,1,bigfive
37,19.0,NaN,1,bigfive
38,14.0,NaN,1,bigfive
39,15.0,NaN,1,bigfive
40,22.0,NaN,1,bigfive
41,12.0,NaN,1,bigfive
42,20.0,NaN,1,bigfive
43,16.0,NaN,1,bigfive
44,20.0,NaN,1,bigfive
45,20.0,NaN,1,bigfive
46,24.0,NaN,1,bigfive
47,16.0,NaN,1,bigfive
48,19.0,NaN,1,bigfive
49,15.0,NaN,1,bigfive
50,16.0,NaN,1,bigfive
51,14.0,NaN,1,bigfive
52,17.0,NaN,1,bigfive
53,14.0,NaN,1,bigfive
54,13.0,NaN,1,bigfive
55,17.0,NaN,1,bigfive
56,16.0,NaN,1,bigfive
57,15.0,NaN,1,bigfive
58,20.0,NaN,1,bigfive
59,13.0,NaN,1,bigfive
60,18.0,NaN,1,bigfive
61,12.0,NaN,1,bigfive
62,13.0,NaN,1,bigfive
63,13.0,NaN,1,bigfive
64,16.0,NaN,1,bigfive
65,17.0,NaN,1,bigfive
66,14.0,NaN,1,bigfive
67,15.0,NaN,1,bigfive
68,14.0,NaN,1,bigfive
69,12.0,NaN,1,bigfive
70,8.0,NaN,1,bigfive
71,17.0,NaN,1,bigfive
72,15.0,NaN,1,bigfive
73,16.0,NaN,1,bigfive
74,14.0,NaN,1,bigfive
75,13.0,NaN,1,bigfive
76,17.0,NaN,1,bigfive
77,17.0,NaN,1,bigfive
78,15.0,NaN,1,bigfive
79,15.0,NaN,1,bigfive
80,12.0,NaN,1,bigfive
81,16.0,NaN,1,bigfive
82,12.0,NaN,1,bigfive
83,14.0,NaN,1,bigfive
84,15.0,NaN,1,bigfive
85,14.0,NaN,1,bigfive
86,17.0,NaN,1,bigfive
87,12.0,NaN,1,bigfive
88,18.0,NaN,1,bigfive
89,11.0,NaN,1,bigfive
90,15.0,NaN,1,bigfive
91,15.0,NaN,1,bigfive
92,12.0,NaN,1,bigfive
93,12.0,NaN,1,bigfive
94,14.0,NaN,1,bigfive
95,8.0,NaN,1,bigfive
96,10.0,NaN,1,bigfive
97,7.0,NaN,1,bigfive
98,8.0,NaN,1,bigfive
99,10.0,NaN,1,bigfive
100,15.0,NaN,1,bigfive
101,17.0,NaN,1,bigfive
102,9.0,NaN,1,bigfive
103,15.0,NaN,1,bigfive
104,13.0,NaN,1,bigfive
105,18.0,NaN,1,bigfive
106,17.0,NaN,1,bigfive
107,14.0,NaN,1,bigfive
108,15.0,NaN,1,bigfive
109,17.0,NaN,1,bigfive
110,16.0,NaN,1,bigfive
111,13.0,NaN,1,bigfive
112,17.0,NaN,1,bigfive
113,14.0,NaN,1,bigfive
114,9.0,NaN,1,bigfive
115,15.0,NaN,1,bigfive
116,15.0,NaN,1,bigfive
117,18.0,NaN,1,bigfive
118,16.0,NaN,1,bigfive
119,9.0,NaN,1,bigfive
120,18.0,NaN,1,bigfive
121,11.0,NaN,1,bigfive
122,15.0,NaN,1,bigfive
123,12.0,NaN,1,bigfive
124,19.0,NaN,1,bigfive
125,12.0,NaN,1,bigfive
