time,mean_val,std_val,n_runs,architecture
0,0.23110204081632646,NaN,1,bigfive
1,0.2614598540145985,NaN,1,bigfive
2,0.2972307692307692,NaN,1,bigfive
3,0.32863422291993727,NaN,1,bigfive
4,0.3348936170212766,NaN,1,bigfive
5,0.3362697274031563,NaN,1,bigfive
6,0.33449197860962565,NaN,1,bigfive
7,0.354974358974359,NaN,1,bigfive
8,0.34438095238095245,NaN,1,bigfive
9,0.35164212910532266,NaN,1,bigfive
10,0.37946488294314373,NaN,1,bigfive
11,0.38858369098712453,NaN,1,bigfive
12,0.39326467559217293,NaN,1,bigfive
13,0.3808527131782946,NaN,1,bigfive
14,0.3573550724637682,NaN,1,bigfive
15,0.3591289198606271,NaN,1,bigfive
16,0.3812991452991452,NaN,1,bigfive
17,0.3941999999999999,NaN,1,bigfive
18,0.38626889419252186,NaN,1,bigfive
19,0.369706546275395,NaN,1,bigfive
20,0.3838319823139278,NaN,1,bigfive
21,0.37748391708363105,NaN,1,bigfive
22,0.38458651841556635,NaN,1,bigfive
23,0.3825658338960163,NaN,1,bigfive
24,0.38834098360655744,NaN,1,bigfive
25,0.40178548490687227,NaN,1,bigfive
26,0.3882309582309582,NaN,1,bigfive
27,0.3848751486325803,NaN,1,bigfive
28,0.381335636154289,NaN,1,bigfive
29,0.3798212290502794,NaN,1,bigfive
30,0.3866958424507658,NaN,1,bigfive
31,0.3968102893890677,NaN,1,bigfive
32,0.3965409921671017,NaN,1,bigfive
33,0.41032396525293824,NaN,1,bigfive
34,0.3966488519398259,NaN,1,bigfive
35,0.389687680740312,NaN,1,bigfive
36,0.3945533604310425,NaN,1,bigfive
37,0.39897815623843,NaN,1,bigfive
38,0.39523811239193063,NaN,1,bigfive
39,0.38343319697101563,NaN,1,bigfive
40,0.3911534319172574,NaN,1,bigfive
41,0.39179336905559237,NaN,1,bigfive
42,0.3977822335442516,NaN,1,bigfive
43,0.3965573770491799,NaN,1,bigfive
44,0.39627744118341335,NaN,1,bigfive
45,0.39804017305315176,NaN,1,bigfive
46,0.39204556733589,NaN,1,bigfive
47,0.3745525952813067,NaN,1,bigfive
48,0.3797948410146481,NaN,1,bigfive
49,0.3794611558669001,NaN,1,bigfive
50,0.37253305954825455,NaN,1,bigfive
51,0.366694428868402,NaN,1,bigfive
52,0.36853187100219165,NaN,1,bigfive
53,0.36920890253340954,NaN,1,bigfive
54,0.3697773840424474,NaN,1,bigfive
55,0.3630794390699008,NaN,1,bigfive
56,0.3640283061410914,NaN,1,bigfive
57,0.36048320959803015,NaN,1,bigfive
58,0.3607184098921874,NaN,1,bigfive
59,0.3575150677637917,NaN,1,bigfive
60,0.3916904017791414,NaN,1,bigfive
61,0.39607941986076534,NaN,1,bigfive
62,0.40945888202816527,NaN,1,bigfive
63,0.4089680035599086,NaN,1,bigfive
64,0.41192308454605353,NaN,1,bigfive
65,0.4163988451861198,NaN,1,bigfive
66,0.4171198737715782,NaN,1,bigfive
67,0.4185455051135918,NaN,1,bigfive
68,0.4313797882509589,NaN,1,bigfive
69,0.4530275140743083,NaN,1,bigfive
70,0.4601889932444656,NaN,1,bigfive
71,0.45620315656787036,NaN,1,bigfive
72,0.4490387115765968,NaN,1,bigfive
73,0.4534664667299477,NaN,1,bigfive
74,0.46637382350570045,NaN,1,bigfive
75,0.47203642530572454,NaN,1,bigfive
76,0.4766558562763945,NaN,1,bigfive
77,0.46389008195804315,NaN,1,bigfive
78,0.46762123891454443,NaN,1,bigfive
79,0.4788355127001658,NaN,1,bigfive
80,0.48417940057125985,NaN,1,bigfive
81,0.48876889714214156,NaN,1,bigfive
82,0.4925680618716859,NaN,1,bigfive
83,0.4969198581496179,NaN,1,bigfive
84,0.5130654600227926,NaN,1,bigfive
85,0.5188504591788907,NaN,1,bigfive
86,0.511158316538374,NaN,1,bigfive
87,0.5070635136980928,NaN,1,bigfive
88,0.5065133879450971,NaN,1,bigfive
89,0.5083132162572734,NaN,1,bigfive
90,0.50453363742258,NaN,1,bigfive
91,0.5216456228735387,NaN,1,bigfive
92,0.5460733236772426,NaN,1,bigfive
93,0.5458294796543148,NaN,1,bigfive
94,0.5413695011933599,NaN,1,bigfive
95,0.5572267382904346,NaN,1,bigfive
96,0.5438101121361232,NaN,1,bigfive
97,0.5396740442850358,NaN,1,bigfive
98,0.5377867708108044,NaN,1,bigfive
99,0.5294231993207663,NaN,1,bigfive
100,0.5390923983500779,NaN,1,bigfive
101,0.5079983681363036,NaN,1,bigfive
102,0.48410317598366914,NaN,1,bigfive
103,0.4827910231256536,NaN,1,bigfive
104,0.4697021714044929,NaN,1,bigfive
105,0.47106227654844357,NaN,1,bigfive
106,0.479537082262518,NaN,1,bigfive
107,0.47253028773387196,NaN,1,bigfive
108,0.4650574149807305,NaN,1,bigfive
109,0.4677499194472221,NaN,1,bigfive
110,0.4734254789262826,NaN,1,bigfive
111,0.47809557587255425,NaN,1,bigfive
112,0.47090466784784946,NaN,1,bigfive
113,0.4504669902459084,NaN,1,bigfive
114,0.45131466053448466,NaN,1,bigfive
115,0.42718789822044867,NaN,1,bigfive
116,0.4286283708442309,NaN,1,bigfive
117,0.4054394101786476,NaN,1,bigfive
118,0.4224494721547769,NaN,1,bigfive
119,0.42762939472798545,NaN,1,bigfive
120,0.4217936757182392,NaN,1,bigfive
121,0.4202802085817252,NaN,1,bigfive
122,0.4144870075110436,NaN,1,bigfive
123,0.4158120987051481,NaN,1,bigfive
124,0.4183597619117627,NaN,1,bigfive
125,0.420549548696715,NaN,1,bigfive
126,0.4014859888291187,NaN,1,bigfive
127,0.40328667186791556,NaN,1,bigfive
128,0.4091747711728124,NaN,1,bigfive
129,0.41533167137642546,NaN,1,bigfive
130,0.42229164470370506,NaN,1,bigfive
131,0.4250993253301596,NaN,1,bigfive
132,0.4302374176915569,NaN,1,bigfive
133,0.42382454884040266,NaN,1,bigfive
134,0.42114282408997417,NaN,1,bigfive
135,0.41852556825394527,NaN,1,bigfive
136,0.42353993559984704,NaN,1,bigfive
137,0.4348552952288638,NaN,1,bigfive
138,0.43950835832645363,NaN,1,bigfive
139,0.43749069800019824,NaN,1,bigfive
140,0.4475842532461951,NaN,1,bigfive
141,0.4540453912342117,NaN,1,bigfive
142,0.4464946699110688,NaN,1,bigfive
143,0.46374357511052455,NaN,1,bigfive
144,0.4676863096604469,NaN,1,bigfive
145,0.46984724411144874,NaN,1,bigfive
146,0.46815646826761714,NaN,1,bigfive
147,0.4673390572181091,NaN,1,bigfive
148,0.46910343703965185,NaN,1,bigfive
149,0.45939933106872566,NaN,1,bigfive
150,0.4593525365649842,NaN,1,bigfive
0,0.23110204081632646,NaN,1,llm
1,0.2593604651162791,NaN,1,llm
2,0.2939301972685888,NaN,1,llm
3,0.3291297709923664,NaN,1,llm
4,0.3447337278106508,NaN,1,llm
5,0.3581294964028776,NaN,1,llm
6,0.3613793103448275,NaN,1,llm
7,0.38189500640204854,NaN,1,llm
8,0.36887323943661965,NaN,1,llm
9,0.37124579124579116,NaN,1,llm
10,0.36890295358649783,NaN,1,llm
11,0.3633500501504514,NaN,1,llm
12,0.3673563218390805,NaN,1,llm
13,0.36944087992667285,NaN,1,llm
14,0.34448246364414037,NaN,1,llm
15,0.3540233722871453,NaN,1,llm
16,0.3756357670221493,NaN,1,llm
17,0.3965672844480257,NaN,1,llm
