time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,4.0,NaN,1,bigfive
19,4.0,NaN,1,bigfive
20,4.0,NaN,1,bigfive
21,13.0,NaN,1,bigfive
22,13.0,NaN,1,bigfive
23,24.0,NaN,1,bigfive
24,24.0,NaN,1,bigfive
25,25.0,NaN,1,bigfive
26,26.0,NaN,1,bigfive
27,27.0,NaN,1,bigfive
28,29.4,NaN,1,bigfive
29,29.4,NaN,1,bigfive
30,30.4,NaN,1,bigfive
31,23.599999999999998,NaN,1,bigfive
32,23.599999999999998,NaN,1,bigfive
33,12.600000000000001,NaN,1,bigfive
34,15.7,NaN,1,bigfive
35,16.7,NaN,1,bigfive
36,16.8,NaN,1,bigfive
37,15.799999999999999,NaN,1,bigfive
38,15.34,NaN,1,bigfive
39,15.34,NaN,1,bigfive
40,14.34,NaN,1,bigfive
41,14.56,NaN,1,bigfive
42,15.56,NaN,1,bigfive
43,15.56,NaN,1,bigfive
44,12.46,NaN,1,bigfive
45,14.459999999999999,NaN,1,bigfive
46,13.360000000000001,NaN,1,bigfive
47,13.360000000000001,NaN,1,bigfive
48,7.42,NaN,1,bigfive
49,7.42,NaN,1,bigfive
50,7.42,NaN,1,bigfive
51,7.0,NaN,1,bigfive
52,8.0,NaN,1,bigfive
53,8.0,NaN,1,bigfive
54,8.1,NaN,1,bigfive
55,5.1,NaN,1,bigfive
56,5.1,NaN,1,bigfive
57,5.1,NaN,1,bigfive
58,5.1,NaN,1,bigfive
59,13.1,NaN,1,bigfive
60,13.1,NaN,1,bigfive
61,11.1,NaN,1,bigfive
62,9.1,NaN,1,bigfive
63,9.1,NaN,1,bigfive
64,13.309999999999999,NaN,1,bigfive
65,13.309999999999999,NaN,1,bigfive
66,13.309999999999999,NaN,1,bigfive
67,13.309999999999999,NaN,1,bigfive
68,14.309999999999999,NaN,1,bigfive
69,15.11,NaN,1,bigfive
70,15.11,NaN,1,bigfive
71,15.11,NaN,1,bigfive
72,16.11,NaN,1,bigfive
73,17.11,NaN,1,bigfive
74,11.8,NaN,1,bigfive
75,11.8,NaN,1,bigfive
76,12.8,NaN,1,bigfive
77,12.8,NaN,1,bigfive
78,12.9,NaN,1,bigfive
79,4.1,NaN,1,bigfive
80,4.1,NaN,1,bigfive
81,4.1,NaN,1,bigfive
82,3.1,NaN,1,bigfive
83,2.1,NaN,1,bigfive
84,2.1,NaN,1,bigfive
85,2.1,NaN,1,bigfive
86,2.1,NaN,1,bigfive
87,18.1,NaN,1,bigfive
88,24.200000000000003,NaN,1,bigfive
89,18.1,NaN,1,bigfive
90,24.1,NaN,1,bigfive
91,24.1,NaN,1,bigfive
92,24.1,NaN,1,bigfive
93,24.1,NaN,1,bigfive
94,25.1,NaN,1,bigfive
95,25.1,NaN,1,bigfive
96,34.1,NaN,1,bigfive
97,18.1,NaN,1,bigfive
98,18.1,NaN,1,bigfive
99,18.1,NaN,1,bigfive
100,12.7,NaN,1,bigfive
101,12.7,NaN,1,bigfive
102,11.7,NaN,1,bigfive
103,11.7,NaN,1,bigfive
104,9.6,NaN,1,bigfive
105,9.6,NaN,1,bigfive
106,12.5,NaN,1,bigfive
107,12.5,NaN,1,bigfive
108,25.4,NaN,1,bigfive
109,26.4,NaN,1,bigfive
110,25.8,NaN,1,bigfive
111,25.8,NaN,1,bigfive
112,25.8,NaN,1,bigfive
113,25.8,NaN,1,bigfive
114,25.8,NaN,1,bigfive
115,25.8,NaN,1,bigfive
116,26.9,NaN,1,bigfive
117,24.9,NaN,1,bigfive
118,15.0,NaN,1,bigfive
119,14.0,NaN,1,bigfive
120,15.0,NaN,1,bigfive
121,25.0,NaN,1,bigfive
122,25.0,NaN,1,bigfive
123,25.0,NaN,1,bigfive
124,25.0,NaN,1,bigfive
125,27.0,NaN,1,bigfive
126,23.9,NaN,1,bigfive
127,29.3,NaN,1,bigfive
128,33.4,NaN,1,bigfive
129,34.4,NaN,1,bigfive
130,33.4,NaN,1,bigfive
131,34.3,NaN,1,bigfive
132,36.4,NaN,1,bigfive
133,55.4,NaN,1,bigfive
134,56.4,NaN,1,bigfive
135,56.4,NaN,1,bigfive
136,57.39,NaN,1,bigfive
137,51.99,NaN,1,bigfive
138,51.29,NaN,1,bigfive
139,50.29,NaN,1,bigfive
140,51.29,NaN,1,bigfive
141,40.39,NaN,1,bigfive
142,39.290000000000006,NaN,1,bigfive
143,39.290000000000006,NaN,1,bigfive
144,38.290000000000006,NaN,1,bigfive
145,46.290000000000006,NaN,1,bigfive
146,34.4,NaN,1,bigfive
147,34.4,NaN,1,bigfive
148,31.0,NaN,1,bigfive
149,30.0,NaN,1,bigfive
150,30.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,0.0,NaN,1,llm
3,0.0,NaN,1,llm
4,0.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,0.0,NaN,1,llm
8,0.0,NaN,1,llm
9,0.0,NaN,1,llm
10,0.0,NaN,1,llm
11,0.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,0.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,11.0,NaN,1,llm
19,14.0,NaN,1,llm
20,14.0,NaN,1,llm
21,14.0,NaN,1,llm
22,24.0,NaN,1,llm
23,33.0,NaN,1,llm
24,33.0,NaN,1,llm
25,38.0,NaN,1,llm
26,39.0,NaN,1,llm
27,40.0,NaN,1,llm
28,38.0,NaN,1,llm
29,38.2,NaN,1,llm
30,45.5,NaN,1,llm
31,48.5,NaN,1,llm
32,49.300000000000004,NaN,1,llm
33,50.2,NaN,1,llm
34,51.2,NaN,1,llm
35,50.2,NaN,1,llm
36,60.7,NaN,1,llm
37,59.7,NaN,1,llm
38,59.7,NaN,1,llm
39,59.5,NaN,1,llm
40,52.199999999999996,NaN,1,llm
41,49.199999999999996,NaN,1,llm
42,49.08,NaN,1,llm
43,42.480000000000004,NaN,1,llm
44,43.480000000000004,NaN,1,llm
45,36.18,NaN,1,llm
46,26.18,NaN,1,llm
47,26.18,NaN,1,llm
48,23.18,NaN,1,llm
49,23.18,NaN,1,llm
50,15.879999999999999,NaN,1,llm
51,15.879999999999999,NaN,1,llm
52,2.0,NaN,1,llm
53,2.0,NaN,1,llm
54,3.2,NaN,1,llm
55,4.2,NaN,1,llm
56,6.2,NaN,1,llm
57,7.2,NaN,1,llm
58,7.2,NaN,1,llm
59,7.2,NaN,1,llm
60,10.2,NaN,1,llm
61,10.2,NaN,1,llm
62,10.2,NaN,1,llm
63,13.2,NaN,1,llm
64,20.2,NaN,1,llm
65,16.0,NaN,1,llm
66,17.0,NaN,1,llm
67,17.0,NaN,1,llm
68,18.0,NaN,1,llm
69,19.0,NaN,1,llm
70,14.0,NaN,1,llm
71,15.0,NaN,1,llm
72,15.0,NaN,1,llm
73,16.3,NaN,1,llm
74,3.0,NaN,1,llm
75,12.8,NaN,1,llm
76,12.9,NaN,1,llm
77,12.9,NaN,1,llm
78,11.9,NaN,1,llm
79,14.0,NaN,1,llm
80,14.0,NaN,1,llm
81,15.1,NaN,1,llm
82,15.1,NaN,1,llm
83,15.1,NaN,1,llm
84,15.1,NaN,1,llm
85,5.300000000000001,NaN,1,llm
86,7.199999999999999,NaN,1,llm
87,23.19,NaN,1,llm
88,23.19,NaN,1,llm
89,32.19,NaN,1,llm
90,32.19,NaN,1,llm
91,32.09,NaN,1,llm
92,33.09,NaN,1,llm
93,34.09,NaN,1,llm
94,34.09,NaN,1,llm
95,34.09,NaN,1,llm
96,31.090000000000003,NaN,1,llm
97,17.1,NaN,1,llm
98,17.1,NaN,1,llm
99,8.1,NaN,1,llm
100,8.1,NaN,1,llm
101,6.1,NaN,1,llm
102,4.1,NaN,1,llm
103,4.1,NaN,1,llm
104,15.0,NaN,1,llm
105,16.0,NaN,1,llm
106,16.0,NaN,1,llm
107,14.0,NaN,1,llm
108,14.0,NaN,1,llm
109,14.0,NaN,1,llm
110,14.0,NaN,1,llm
111,14.0,NaN,1,llm
112,14.0,NaN,1,llm
113,14.0,NaN,1,llm
114,14.0,NaN,1,llm
115,18.0,NaN,1,llm
116,18.0,NaN,1,llm
117,18.0,NaN,1,llm
118,18.0,NaN,1,llm
119,5.0,NaN,1,llm
120,5.0,NaN,1,llm
121,5.0,NaN,1,llm
122,5.0,NaN,1,llm
123,5.0,NaN,1,llm
124,5.0,NaN,1,llm
125,5.0,NaN,1,llm
126,5.0,NaN,1,llm
127,5.0,NaN,1,llm
128,5.0,NaN,1,llm
129,5.0,NaN,1,llm
130,16.0,NaN,1,llm
131,23.0,NaN,1,llm
132,30.0,NaN,1,llm
133,30.0,NaN,1,llm
134,30.0,NaN,1,llm
135,31.0,NaN,1,llm
136,41.0,NaN,1,llm
137,42.0,NaN,1,llm
138,42.0,NaN,1,llm
139,42.0,NaN,1,llm
140,31.0,NaN,1,llm
141,25.0,NaN,1,llm
142,14.0,NaN,1,llm
143,16.0,NaN,1,llm
144,24.0,NaN,1,llm
