time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,1.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,7.0,NaN,1,bigfive
5,11.0,NaN,1,bigfive
6,14.0,NaN,1,bigfive
7,15.0,NaN,1,bigfive
8,18.0,NaN,1,bigfive
9,19.0,NaN,1,bigfive
10,19.0,NaN,1,bigfive
11,20.0,NaN,1,bigfive
12,21.0,NaN,1,bigfive
13,23.0,NaN,1,bigfive
14,26.0,NaN,1,bigfive
15,27.0,NaN,1,bigfive
16,27.0,NaN,1,bigfive
17,28.0,NaN,1,bigfive
18,30.0,NaN,1,bigfive
19,32.0,NaN,1,bigfive
20,32.0,NaN,1,bigfive
21,33.0,NaN,1,bigfive
22,34.0,NaN,1,bigfive
23,35.0,NaN,1,bigfive
24,36.0,NaN,1,bigfive
25,36.0,NaN,1,bigfive
26,39.0,NaN,1,bigfive
27,41.0,NaN,1,bigfive
28,42.0,NaN,1,bigfive
29,43.0,NaN,1,bigfive
30,43.0,NaN,1,bigfive
31,44.0,NaN,1,bigfive
32,45.0,NaN,1,bigfive
33,45.0,NaN,1,bigfive
34,47.0,NaN,1,bigfive
35,48.0,NaN,1,bigfive
36,48.0,NaN,1,bigfive
37,48.0,NaN,1,bigfive
38,49.0,NaN,1,bigfive
39,51.0,NaN,1,bigfive
40,51.0,NaN,1,bigfive
41,52.0,NaN,1,bigfive
42,52.0,NaN,1,bigfive
43,54.0,NaN,1,bigfive
44,55.0,NaN,1,bigfive
45,55.0,NaN,1,bigfive
46,56.0,NaN,1,bigfive
47,59.0,NaN,1,bigfive
48,59.0,NaN,1,bigfive
49,59.0,NaN,1,bigfive
50,60.0,NaN,1,bigfive
51,61.0,NaN,1,bigfive
52,61.0,NaN,1,bigfive
53,61.0,NaN,1,bigfive
54,61.0,NaN,1,bigfive
55,62.0,NaN,1,bigfive
56,62.0,NaN,1,bigfive
57,63.0,NaN,1,bigfive
58,63.0,NaN,1,bigfive
59,63.0,NaN,1,bigfive
60,63.0,NaN,1,bigfive
61,63.0,NaN,1,bigfive
62,63.0,NaN,1,bigfive
63,64.0,NaN,1,bigfive
64,64.0,NaN,1,bigfive
65,64.0,NaN,1,bigfive
66,65.0,NaN,1,bigfive
67,66.0,NaN,1,bigfive
68,67.0,NaN,1,bigfive
69,67.0,NaN,1,bigfive
70,67.0,NaN,1,bigfive
71,68.0,NaN,1,bigfive
72,70.0,NaN,1,bigfive
73,70.0,NaN,1,bigfive
74,70.0,NaN,1,bigfive
75,70.0,NaN,1,bigfive
76,71.0,NaN,1,bigfive
77,73.0,NaN,1,bigfive
78,73.0,NaN,1,bigfive
79,74.0,NaN,1,bigfive
80,74.0,NaN,1,bigfive
81,74.0,NaN,1,bigfive
82,74.0,NaN,1,bigfive
83,75.0,NaN,1,bigfive
84,77.0,NaN,1,bigfive
85,77.0,NaN,1,bigfive
86,79.0,NaN,1,bigfive
87,80.0,NaN,1,bigfive
88,82.0,NaN,1,bigfive
89,82.0,NaN,1,bigfive
90,82.0,NaN,1,bigfive
91,82.0,NaN,1,bigfive
92,83.0,NaN,1,bigfive
93,85.0,NaN,1,bigfive
94,87.0,NaN,1,bigfive
95,87.0,NaN,1,bigfive
96,90.0,NaN,1,bigfive
97,93.0,NaN,1,bigfive
98,95.0,NaN,1,bigfive
99,97.0,NaN,1,bigfive
100,97.0,NaN,1,bigfive
101,101.0,NaN,1,bigfive
102,102.0,NaN,1,bigfive
103,102.0,NaN,1,bigfive
104,104.0,NaN,1,bigfive
105,104.0,NaN,1,bigfive
106,104.0,NaN,1,bigfive
107,104.0,NaN,1,bigfive
108,104.0,NaN,1,bigfive
109,104.0,NaN,1,bigfive
110,105.0,NaN,1,bigfive
111,105.0,NaN,1,bigfive
112,106.0,NaN,1,bigfive
113,108.0,NaN,1,bigfive
114,108.0,NaN,1,bigfive
115,110.0,NaN,1,bigfive
116,110.0,NaN,1,bigfive
117,111.0,NaN,1,bigfive
118,111.0,NaN,1,bigfive
119,111.0,NaN,1,bigfive
120,112.0,NaN,1,bigfive
121,112.0,NaN,1,bigfive
122,113.0,NaN,1,bigfive
123,113.0,NaN,1,bigfive
124,113.0,NaN,1,bigfive
125,113.0,NaN,1,bigfive
126,115.0,NaN,1,bigfive
127,115.0,NaN,1,bigfive
128,115.0,NaN,1,bigfive
129,115.0,NaN,1,bigfive
130,115.0,NaN,1,bigfive
131,116.0,NaN,1,bigfive
132,116.0,NaN,1,bigfive
133,117.0,NaN,1,bigfive
134,118.0,NaN,1,bigfive
135,121.0,NaN,1,bigfive
136,121.0,NaN,1,bigfive
137,121.0,NaN,1,bigfive
138,121.0,NaN,1,bigfive
139,122.0,NaN,1,bigfive
140,122.0,NaN,1,bigfive
141,122.0,NaN,1,bigfive
142,122.0,NaN,1,bigfive
143,122.0,NaN,1,bigfive
144,122.0,NaN,1,bigfive
145,122.0,NaN,1,bigfive
146,124.0,NaN,1,bigfive
147,125.0,NaN,1,bigfive
148,126.0,NaN,1,bigfive
149,128.0,NaN,1,bigfive
150,129.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,1.0,NaN,1,llm
3,3.0,NaN,1,llm
4,6.0,NaN,1,llm
5,9.0,NaN,1,llm
6,12.0,NaN,1,llm
7,13.0,NaN,1,llm
8,16.0,NaN,1,llm
9,18.0,NaN,1,llm
10,20.0,NaN,1,llm
11,22.0,NaN,1,llm
12,23.0,NaN,1,llm
13,24.0,NaN,1,llm
14,27.0,NaN,1,llm
15,28.0,NaN,1,llm
16,28.0,NaN,1,llm
17,28.0,NaN,1,llm
18,30.0,NaN,1,llm
19,33.0,NaN,1,llm
20,33.0,NaN,1,llm
21,33.0,NaN,1,llm
22,33.0,NaN,1,llm
23,33.0,NaN,1,llm
24,35.0,NaN,1,llm
25,38.0,NaN,1,llm
26,39.0,NaN,1,llm
27,39.0,NaN,1,llm
28,40.0,NaN,1,llm
29,43.0,NaN,1,llm
30,43.0,NaN,1,llm
31,44.0,NaN,1,llm
32,44.0,NaN,1,llm
33,44.0,NaN,1,llm
34,45.0,NaN,1,llm
35,45.0,NaN,1,llm
36,46.0,NaN,1,llm
37,46.0,NaN,1,llm
38,46.0,NaN,1,llm
39,46.0,NaN,1,llm
40,46.0,NaN,1,llm
41,47.0,NaN,1,llm
42,47.0,NaN,1,llm
43,49.0,NaN,1,llm
44,49.0,NaN,1,llm
45,50.0,NaN,1,llm
46,51.0,NaN,1,llm
47,51.0,NaN,1,llm
48,53.0,NaN,1,llm
49,53.0,NaN,1,llm
50,55.0,NaN,1,llm
51,56.0,NaN,1,llm
52,57.0,NaN,1,llm
53,59.0,NaN,1,llm
54,59.0,NaN,1,llm
55,59.0,NaN,1,llm
56,59.0,NaN,1,llm
57,59.0,NaN,1,llm
58,59.0,NaN,1,llm
59,59.0,NaN,1,llm
60,60.0,NaN,1,llm
61,60.0,NaN,1,llm
62,60.0,NaN,1,llm
63,60.0,NaN,1,llm
64,61.0,NaN,1,llm
65,62.0,NaN,1,llm
66,63.0,NaN,1,llm
67,63.0,NaN,1,llm
68,63.0,NaN,1,llm
69,64.0,NaN,1,llm
70,65.0,NaN,1,llm
71,66.0,NaN,1,llm
72,66.0,NaN,1,llm
73,67.0,NaN,1,llm
74,69.0,NaN,1,llm
75,70.0,NaN,1,llm
76,71.0,NaN,1,llm
77,72.0,NaN,1,llm
78,73.0,NaN,1,llm
79,74.0,NaN,1,llm
80,75.0,NaN,1,llm
81,75.0,NaN,1,llm
82,75.0,NaN,1,llm
83,75.0,NaN,1,llm
84,77.0,NaN,1,llm
85,77.0,NaN,1,llm
86,77.0,NaN,1,llm
87,78.0,NaN,1,llm
88,78.0,NaN,1,llm
89,78.0,NaN,1,llm
90,79.0,NaN,1,llm
91,79.0,NaN,1,llm
92,80.0,NaN,1,llm
93,80.0,NaN,1,llm
94,83.0,NaN,1,llm
95,85.0,NaN,1,llm
96,86.0,NaN,1,llm
97,86.0,NaN,1,llm
98,87.0,NaN,1,llm
99,88.0,NaN,1,llm
100,90.0,NaN,1,llm
101,90.0,NaN,1,llm
102,91.0,NaN,1,llm
103,92.0,NaN,1,llm
104,94.0,NaN,1,llm
105,94.0,NaN,1,llm
106,94.0,NaN,1,llm
107,95.0,NaN,1,llm
108,97.0,NaN,1,llm
109,97.0,NaN,1,llm
110,99.0,NaN,1,llm
111,100.0,NaN,1,llm
112,100.0,NaN,1,llm
113,101.0,NaN,1,llm
114,102.0,NaN,1,llm
115,102.0,NaN,1,llm
116,104.0,NaN,1,llm
117,106.0,NaN,1,llm
118,107.0,NaN,1,llm
119,110.0,NaN,1,llm
120,110.0,NaN,1,llm
121,112.0,NaN,1,llm
122,114.0,NaN,1,llm
123,115.0,NaN,1,llm
124,115.0,NaN,1,llm
125,117.0,NaN,1,llm
126,118.0,NaN,1,llm
127,119.0,NaN,1,llm
128,120.0,NaN,1,llm
129,120.0,NaN,1,llm
130,121.0,NaN,1,llm
131,123.0,NaN,1,llm
132,125.0,NaN,1,llm
133,126.0,NaN,1,llm
134,127.0,NaN,1,llm
135,128.0,NaN,1,llm
136,129.0,NaN,1,llm
137,129.0,NaN,1,llm
138,131.0,NaN,1,llm
139,131.0,NaN,1,llm
140,132.0,NaN,1,llm
141,133.0,NaN,1,llm
142,134.0,NaN,1,llm
143,134.0,NaN,1,llm
144,135.0,NaN,1,llm
145,136.0,NaN,1,llm
146,137.0,NaN,1,llm
147,139.0,NaN,1,llm
148,142.0,NaN,1,llm
149,143.0,NaN,1,llm
150,143.0,NaN,1,llm
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
