time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,1.0,NaN,1,bigfive
23,2.0,NaN,1,bigfive
24,2.0,NaN,1,bigfive
25,2.0,NaN,1,bigfive
26,2.0,NaN,1,bigfive
27,2.0,NaN,1,bigfive
28,2.0,NaN,1,bigfive
29,2.0,NaN,1,bigfive
30,2.0,NaN,1,bigfive
31,2.0,NaN,1,bigfive
32,2.0,NaN,1,bigfive
33,3.0,NaN,1,bigfive
34,3.0,NaN,1,bigfive
35,3.0,NaN,1,bigfive
36,3.0,NaN,1,bigfive
37,3.0,NaN,1,bigfive
38,3.0,NaN,1,bigfive
39,3.0,NaN,1,bigfive
40,3.0,NaN,1,bigfive
41,4.0,NaN,1,bigfive
42,4.0,NaN,1,bigfive
43,5.0,NaN,1,bigfive
44,5.0,NaN,1,bigfive
45,6.0,NaN,1,bigfive
46,7.0,NaN,1,bigfive
47,7.0,NaN,1,bigfive
48,7.0,NaN,1,bigfive
49,7.0,NaN,1,bigfive
50,8.0,NaN,1,bigfive
51,8.0,NaN,1,bigfive
52,8.0,NaN,1,bigfive
53,8.0,NaN,1,bigfive
54,8.0,NaN,1,bigfive
55,9.0,NaN,1,bigfive
56,9.0,NaN,1,bigfive
57,9.0,NaN,1,bigfive
58,9.0,NaN,1,bigfive
59,10.0,NaN,1,bigfive
60,10.0,NaN,1,bigfive
61,10.0,NaN,1,bigfive
62,10.0,NaN,1,bigfive
63,10.0,NaN,1,bigfive
64,12.0,NaN,1,bigfive
65,12.0,NaN,1,bigfive
66,14.0,NaN,1,bigfive
67,15.0,NaN,1,bigfive
68,17.0,NaN,1,bigfive
69,17.0,NaN,1,bigfive
70,17.0,NaN,1,bigfive
71,18.0,NaN,1,bigfive
72,18.0,NaN,1,bigfive
73,19.0,NaN,1,bigfive
74,21.0,NaN,1,bigfive
75,21.0,NaN,1,bigfive
76,25.0,NaN,1,bigfive
77,29.0,NaN,1,bigfive
78,31.0,NaN,1,bigfive
79,31.0,NaN,1,bigfive
80,32.0,NaN,1,bigfive
81,32.0,NaN,1,bigfive
82,33.0,NaN,1,bigfive
83,33.0,NaN,1,bigfive
84,33.0,NaN,1,bigfive
85,34.0,NaN,1,bigfive
86,36.0,NaN,1,bigfive
87,37.0,NaN,1,bigfive
88,39.0,NaN,1,bigfive
89,41.0,NaN,1,bigfive
90,45.0,NaN,1,bigfive
91,47.0,NaN,1,bigfive
92,49.0,NaN,1,bigfive
93,51.0,NaN,1,bigfive
94,53.0,NaN,1,bigfive
95,64.0,NaN,1,bigfive
96,71.0,NaN,1,bigfive
97,80.0,NaN,1,bigfive
98,82.0,NaN,1,bigfive
99,83.0,NaN,1,bigfive
100,86.0,NaN,1,bigfive
101,86.0,NaN,1,bigfive
102,88.0,NaN,1,bigfive
103,89.0,NaN,1,bigfive
104,92.0,NaN,1,bigfive
105,95.0,NaN,1,bigfive
106,100.0,NaN,1,bigfive
107,102.0,NaN,1,bigfive
108,103.0,NaN,1,bigfive
109,111.0,NaN,1,bigfive
110,120.0,NaN,1,bigfive
111,127.0,NaN,1,bigfive
112,139.0,NaN,1,bigfive
113,149.0,NaN,1,bigfive
114,162.0,NaN,1,bigfive
115,179.0,NaN,1,bigfive
116,190.0,NaN,1,bigfive
117,202.0,NaN,1,bigfive
118,211.0,NaN,1,bigfive
119,220.0,NaN,1,bigfive
120,226.0,NaN,1,bigfive
121,232.0,NaN,1,bigfive
122,236.0,NaN,1,bigfive
123,245.0,NaN,1,bigfive
124,252.0,NaN,1,bigfive
125,258.0,NaN,1,bigfive
126,265.0,NaN,1,bigfive
127,274.0,NaN,1,bigfive
128,290.0,NaN,1,bigfive
129,300.0,NaN,1,bigfive
130,321.0,NaN,1,bigfive
131,336.0,NaN,1,bigfive
132,349.0,NaN,1,bigfive
133,365.0,NaN,1,bigfive
134,380.0,NaN,1,bigfive
135,391.0,NaN,1,bigfive
136,413.0,NaN,1,bigfive
137,428.0,NaN,1,bigfive
138,446.0,NaN,1,bigfive
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
2,0.0,NaN,1,rule
3,0.0,NaN,1,rule
4,0.0,NaN,1,rule
5,0.0,NaN,1,rule
6,0.0,NaN,1,rule
7,0.0,NaN,1,rule
8,0.0,NaN,1,rule
9,0.0,NaN,1,rule
10,0.0,NaN,1,rule
11,0.0,NaN,1,rule
12,0.0,NaN,1,rule
13,0.0,NaN,1,rule
14,0.0,NaN,1,rule
15,0.0,NaN,1,rule
16,0.0,NaN,1,rule
17,0.0,NaN,1,rule
18,2.0,NaN,1,rule
19,5.0,NaN,1,rule
20,5.0,NaN,1,rule
21,5.0,NaN,1,rule
22,5.0,NaN,1,rule
23,5.0,NaN,1,rule
24,5.0,NaN,1,rule
25,5.0,NaN,1,rule
26,8.0,NaN,1,rule
27,11.0,NaN,1,rule
28,11.0,NaN,1,rule
29,11.0,NaN,1,rule
30,11.0,NaN,1,rule
31,11.0,NaN,1,rule
32,11.0,NaN,1,rule
33,11.0,NaN,1,rule
34,11.0,NaN,1,rule
35,11.0,NaN,1,rule
36,11.0,NaN,1,rule
37,11.0,NaN,1,rule
38,15.0,NaN,1,rule
39,18.0,NaN,1,rule
40,18.0,NaN,1,rule
41,18.0,NaN,1,rule
42,18.0,NaN,1,rule
43,21.0,NaN,1,rule
44,27.0,NaN,1,rule
45,35.0,NaN,1,rule
46,37.0,NaN,1,rule
47,37.0,NaN,1,rule
48,37.0,NaN,1,rule
49,37.0,NaN,1,rule
50,37.0,NaN,1,rule
51,40.0,NaN,1,rule
52,40.0,NaN,1,rule
53,40.0,NaN,1,rule
54,40.0,NaN,1,rule
55,42.0,NaN,1,rule
56,42.0,NaN,1,rule
57,42.0,NaN,1,rule
58,44.0,NaN,1,rule
59,46.0,NaN,1,rule
60,46.0,NaN,1,rule
61,48.0,NaN,1,rule
62,51.0,NaN,1,rule
63,56.0,NaN,1,rule
64,58.0,NaN,1,rule
65,60.0,NaN,1,rule
66,65.0,NaN,1,rule
67,67.0,NaN,1,rule
68,70.0,NaN,1,rule
69,77.0,NaN,1,rule
70,78.0,NaN,1,rule
71,83.0,NaN,1,rule
72,86.0,NaN,1,rule
73,90.0,NaN,1,rule
74,95.0,NaN,1,rule
75,98.0,NaN,1,rule
76,106.0,NaN,1,rule
77,107.0,NaN,1,rule
78,116.0,NaN,1,rule
79,118.0,NaN,1,rule
80,120.0,NaN,1,rule
81,132.0,NaN,1,rule
82,138.0,NaN,1,rule
83,141.0,NaN,1,rule
84,152.0,NaN,1,rule
85,152.0,NaN,1,rule
86,154.0,NaN,1,rule
87,162.0,NaN,1,rule
88,172.0,NaN,1,rule
89,180.0,NaN,1,rule
90,191.0,NaN,1,rule
91,200.0,NaN,1,rule
92,206.0,NaN,1,rule
93,211.0,NaN,1,rule
94,218.0,NaN,1,rule
95,227.0,NaN,1,rule
96,238.0,NaN,1,rule
97,243.0,NaN,1,rule
98,248.0,NaN,1,rule
99,258.0,NaN,1,rule
100,272.0,NaN,1,rule
101,282.0,NaN,1,rule
102,301.0,NaN,1,rule
103,305.0,NaN,1,rule
104,315.0,NaN,1,rule
105,324.0,NaN,1,rule
106,334.0,NaN,1,rule
107,349.0,NaN,1,rule
108,359.0,NaN,1,rule
109,365.0,NaN,1,rule
110,375.0,NaN,1,rule
111,382.0,NaN,1,rule
112,392.0,NaN,1,rule
113,399.0,NaN,1,rule
114,411.0,NaN,1,rule
115,423.0,NaN,1,rule
116,434.0,NaN,1,rule
117,440.0,NaN,1,rule
118,451.0,NaN,1,rule
119,465.0,NaN,1,rule
120,479.0,NaN,1,rule
121,488.0,NaN,1,rule
122,493.0,NaN,1,rule
123,496.0,NaN,1,rule
124,509.0,NaN,1,rule
125,514.0,NaN,1,rule
126,520.0,NaN,1,rule
127,526.0,NaN,1,rule
128,537.0,NaN,1,rule
129,542.0,NaN,1,rule
130,552.0,NaN,1,rule
131,556.0,NaN,1,rule
132,557.0,NaN,1,rule
133,564.0,NaN,1,rule
134,570.0,NaN,1,rule
135,575.0,NaN,1,rule
136,579.0,NaN,1,rule
137,582.0,NaN,1,rule
138,588.0,NaN,1,rule
139,594.0,NaN,1,rule
140,597.0,NaN,1,rule
141,602.0,NaN,1,rule
142,603.0,NaN,1,rule
143,606.0,NaN,1,rule
144,609.0,NaN,1,rule
145,614.0,NaN,1,rule
146,619.0,NaN,1,rule
147,622.0,NaN,1,rule
148,626.0,NaN,1,rule
149,630.0,NaN,1,rule
150,642.0,NaN,1,rule
0,0.0,NaN,1,schwartz
1,0.0,NaN,1,schwartz
2,0.0,NaN,1,schwartz
3,0.0,NaN,1,schwartz
4,0.0,NaN,1,schwartz
5,0.0,NaN,1,schwartz
6,0.0,NaN,1,schwartz
7,0.0,NaN,1,schwartz
8,0.0,NaN,1,schwartz
9,0.0,NaN,1,schwartz
10,0.0,NaN,1,schwartz
11,0.0,NaN,1,schwartz
12,0.0,NaN,1,schwartz
