time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,0.125,NaN,1,bigfive
23,0.21673525377229086,NaN,1,bigfive
24,0.2624854819976772,NaN,1,bigfive
25,0.24835164835164836,NaN,1,bigfive
26,0.23566214807090735,NaN,1,bigfive
27,0.2242063492063493,NaN,1,bigfive
28,0.21381267738883647,NaN,1,bigfive
29,0.20433996383363473,NaN,1,bigfive
30,0.19567099567099566,NaN,1,bigfive
31,0.18770764119601324,NaN,1,bigfive
32,0.180367118914605,NaN,1,bigfive
33,0.2768817204301075,NaN,1,bigfive
34,0.26546391752577314,NaN,1,bigfive
35,0.25495049504950495,NaN,1,bigfive
36,0.24523809523809526,NaN,1,bigfive
37,0.23623853211009171,NaN,1,bigfive
38,0.22787610619469034,NaN,1,bigfive
39,0.2200854700854702,NaN,1,bigfive
40,0.2128099173553719,NaN,1,bigfive
41,0.29422222222222216,NaN,1,bigfive
42,0.283998283998284,NaN,1,bigfive
43,0.3470149253731343,NaN,1,bigfive
44,0.33453237410071934,NaN,1,bigfive
45,0.384469696969697,NaN,1,bigfive
46,0.4227982162764772,NaN,1,bigfive
47,0.40648445873526273,NaN,1,bigfive
48,0.39138286893704866,NaN,1,bigfive
49,0.3773631840796021,NaN,1,bigfive
50,0.4132121480824651,NaN,1,bigfive
51,0.39829059829059843,NaN,1,bigfive
52,0.38440915652711904,NaN,1,bigfive
53,0.3714627341570347,NaN,1,bigfive
54,0.3593599383073067,NaN,1,bigfive
55,0.3945908460471568,NaN,1,bigfive
56,0.38162307176391685,NaN,1,bigfive
57,0.38521791524402493,NaN,1,bigfive
58,0.3725718725718725,NaN,1,bigfive
59,0.4063918966119455,NaN,1,bigfive
60,0.4106160616061607,NaN,1,bigfive
61,0.394973544973545,NaN,1,bigfive
62,0.38047910295616716,NaN,1,bigfive
63,0.3670108161258605,NaN,1,bigfive
64,0.4466829466829467,NaN,1,bigfive
65,0.4295499021526419,NaN,1,bigfive
66,0.48697229551451193,NaN,1,bigfive
67,0.49858525688756505,NaN,1,bigfive
68,0.532958610117527,NaN,1,bigfive
69,0.5094639150079376,NaN,1,bigfive
70,0.487953216374269,NaN,1,bigfive
71,0.49477611940298494,NaN,1,bigfive
72,0.47453987730061353,NaN,1,bigfive
73,0.481803723454018,NaN,1,bigfive
74,0.509433962264151,NaN,1,bigfive
75,0.48824593128390603,NaN,1,bigfive
76,0.5474537037037037,NaN,1,bigfive
77,0.5844968704862783,NaN,1,bigfive
78,0.5828314692668006,NaN,1,bigfive
79,0.5539957294080233,NaN,1,bigfive
80,0.5417647058823531,NaN,1,bigfive
81,0.5166693380349416,NaN,1,bigfive
82,0.5085576603522766,NaN,1,bigfive
83,0.48218252910335035,NaN,1,bigfive
84,0.45992795083704174,NaN,1,bigfive
85,0.45611827618748046,NaN,1,bigfive
86,0.46760443307757904,NaN,1,bigfive
87,0.461970527985198,NaN,1,bigfive
88,0.4499759829822274,NaN,1,bigfive
89,0.4286635152556941,NaN,1,bigfive
90,0.46172801478515324,NaN,1,bigfive
91,0.46187691450849355,NaN,1,bigfive
92,0.46116958178743594,NaN,1,bigfive
93,0.45185742971887555,NaN,1,bigfive
94,0.4500683371298406,NaN,1,bigfive
95,0.5293598078010175,NaN,1,bigfive
96,0.5485190031523226,NaN,1,bigfive
97,0.5701261841280765,NaN,1,bigfive
98,0.5432768512937289,NaN,1,bigfive
99,0.5140457543281121,NaN,1,bigfive
100,0.5009550964880405,NaN,1,bigfive
101,0.47073760156906697,NaN,1,bigfive
102,0.45704148691690527,NaN,1,bigfive
103,0.4328840970350405,NaN,1,bigfive
104,0.4295657338200358,NaN,1,bigfive
105,0.4207263619286161,NaN,1,bigfive
106,0.42424381121761745,NaN,1,bigfive
107,0.4135495351539802,NaN,1,bigfive
108,0.3979710523180273,NaN,1,bigfive
109,0.42520774244912185,NaN,1,bigfive
110,0.4462544100972592,NaN,1,bigfive
111,0.45563867438867445,NaN,1,bigfive
112,0.48244995576199967,NaN,1,bigfive
113,0.49342440183268277,NaN,1,bigfive
114,0.5098814849697826,NaN,1,bigfive
115,0.529129018041655,NaN,1,bigfive
116,0.5264709668077165,NaN,1,bigfive
117,0.5249134997063589,NaN,1,bigfive
118,0.5146642067824332,NaN,1,bigfive
119,0.5030431759239957,NaN,1,bigfive
120,0.4869724487323861,NaN,1,bigfive
121,0.4728254046417859,NaN,1,bigfive
122,0.4555689277158217,NaN,1,bigfive
123,0.4522404571222154,NaN,1,bigfive
124,0.4412520680690144,NaN,1,bigfive
125,0.43241312679435695,NaN,1,bigfive
126,0.423285084295149,NaN,1,bigfive
127,0.42051157049737875,NaN,1,bigfive
128,0.4308913542752102,NaN,1,bigfive
129,0.4258373376860254,NaN,1,bigfive
130,0.4454229379635528,NaN,1,bigfive
131,0.44798139061166053,NaN,1,bigfive
132,0.4482602168011278,NaN,1,bigfive
133,0.45050813008130075,NaN,1,bigfive
134,0.4494068508816753,NaN,1,bigfive
135,0.4429145358912512,NaN,1,bigfive
136,0.4502725812926536,NaN,1,bigfive
137,0.44395047899091034,NaN,1,bigfive
138,0.4437864766812136,NaN,1,bigfive
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
2,0.0,NaN,1,rule
3,0.0,NaN,1,rule
4,0.0,NaN,1,rule
5,0.0,NaN,1,rule
6,0.0,NaN,1,rule
7,0.0,NaN,1,rule
8,0.0,NaN,1,rule
9,0.0,NaN,1,rule
10,0.0,NaN,1,rule
11,0.0,NaN,1,rule
12,0.0,NaN,1,rule
13,0.0,NaN,1,rule
14,0.0,NaN,1,rule
15,0.0,NaN,1,rule
16,0.0,NaN,1,rule
17,0.0,NaN,1,rule
18,0.1333333333333333,NaN,1,rule
19,0.19999999999999996,NaN,1,rule
20,0.18765432098765444,NaN,1,rule
21,0.20299145299145294,NaN,1,rule
22,0.19146792072556273,NaN,1,rule
23,0.18118245390972665,NaN,1,rule
24,0.18506493506493515,NaN,1,rule
25,0.17592592592592604,NaN,1,rule
26,0.33411764705882363,NaN,1,rule
27,0.47916666666666674,NaN,1,rule
28,0.4461206896551724,NaN,1,rule
29,0.41733870967741926,NaN,1,rule
30,0.3920454545454546,NaN,1,rule
31,0.36964285714285716,NaN,1,rule
32,0.34966216216216206,NaN,1,rule
33,0.33173076923076916,NaN,1,rule
34,0.31554878048780477,NaN,1,rule
35,0.3008720930232558,NaN,1,rule
36,0.2875000000000001,NaN,1,rule
37,0.2752659574468086,NaN,1,rule
38,0.4112244897959183,NaN,1,rule
39,0.4706627268889827,NaN,1,rule
40,0.4457771114442779,NaN,1,rule
41,0.4233909246250238,NaN,1,rule
42,0.4031456205369248,NaN,1,rule
43,0.4339682539682539,NaN,1,rule
44,0.526983352643454,NaN,1,rule
45,0.5792471042471043,NaN,1,rule
46,0.5667654511875619,NaN,1,rule
47,0.5320109659732302,NaN,1,rule
48,0.501272554605888,NaN,1,rule
49,0.468272794662713,NaN,1,rule
50,0.4444835350408105,NaN,1,rule
51,0.4652144231365978,NaN,1,rule
52,0.44215058837408194,NaN,1,rule
53,0.4212655951444306,NaN,1,rule
54,0.402264616705573,NaN,1,rule
55,0.41358588163699994,NaN,1,rule
56,0.3958788408329694,NaN,1,rule
57,0.3796257505934926,NaN,1,rule
58,0.39353393085787447,NaN,1,rule
59,0.4098627875786651,NaN,1,rule
60,0.39403409703213566,NaN,1,rule
61,0.40919374742904147,NaN,1,rule
62,0.4322352461900265,NaN,1,rule
63,0.47147543092359157,NaN,1,rule
64,0.4721331908831907,NaN,1,rule
65,0.47210335747202103,NaN,1,rule
66,0.49750114681667834,NaN,1,rule
67,0.49692890294871495,NaN,1,rule
68,0.5000052723150736,NaN,1,rule
69,0.5293635170603674,NaN,1,rule
70,0.5122566690699351,NaN,1,rule
71,0.5214147554573088,NaN,1,rule
72,0.5162910447761195,NaN,1,rule
73,0.5208923759929638,NaN,1,rule
74,0.5255728931102064,NaN,1,rule
75,0.5176362909625958,NaN,1,rule
76,0.5288839476225771,NaN,1,rule
77,0.5070816946977936,NaN,1,rule
78,0.527814820464622,NaN,1,rule
79,0.5130041075429426,NaN,1,rule
80,0.49800334809751323,NaN,1,rule
81,0.5281639662510267,NaN,1,rule
82,0.5218694251122911,NaN,1,rule
83,0.507456200539774,NaN,1,rule
84,0.5239876012398759,NaN,1,rule
85,0.4973210702703874,NaN,1,rule
86,0.48081661923907326,NaN,1,rule
87,0.48771799062067434,NaN,1,rule
88,0.4942487196210721,NaN,1,rule
89,0.49088189714203345,NaN,1,rule
90,0.50030549444677,NaN,1,rule
91,0.5009452221271999,NaN,1,rule
92,0.49235520094562646,NaN,1,rule
93,0.48142830833110106,NaN,1,rule
94,0.47694779630637263,NaN,1,rule
95,0.46694410083397586,NaN,1,rule
96,0.4697016568823018,NaN,1,rule
97,0.45793866444601483,NaN,1,rule
98,0.44196721726847166,NaN,1,rule
99,0.4453908638510369,NaN,1,rule
100,0.4566087473402194,NaN,1,rule
