time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,1.0,NaN,1,bigfive
2,2.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,4.0,NaN,1,bigfive
5,5.0,NaN,1,bigfive
6,6.0,NaN,1,bigfive
7,7.0,NaN,1,bigfive
8,8.0,NaN,1,bigfive
9,9.0,NaN,1,bigfive
10,10.0,NaN,1,bigfive
11,11.0,NaN,1,bigfive
12,12.0,NaN,1,bigfive
13,13.0,NaN,1,bigfive
14,14.0,NaN,1,bigfive
15,15.0,NaN,1,bigfive
16,16.0,NaN,1,bigfive
17,17.0,NaN,1,bigfive
18,18.0,NaN,1,bigfive
19,19.0,NaN,1,bigfive
20,20.0,NaN,1,bigfive
21,21.0,NaN,1,bigfive
22,19.25,NaN,1,bigfive
23,18.0,NaN,1,bigfive
24,17.571428571428573,NaN,1,bigfive
25,18.571428571428573,NaN,1,bigfive
26,19.571428571428573,NaN,1,bigfive
27,20.571428571428573,NaN,1,bigfive
28,21.571428571428573,NaN,1,bigfive
29,22.571428571428573,NaN,1,bigfive
30,23.571428571428573,NaN,1,bigfive
31,24.571428571428573,NaN,1,bigfive
32,25.571428571428573,NaN,1,bigfive
33,23.25,NaN,1,bigfive
34,24.25,NaN,1,bigfive
35,25.25,NaN,1,bigfive
36,26.25,NaN,1,bigfive
37,27.25,NaN,1,bigfive
38,28.25,NaN,1,bigfive
39,29.25,NaN,1,bigfive
40,30.25,NaN,1,bigfive
41,27.77777777777778,NaN,1,bigfive
42,28.77777777777778,NaN,1,bigfive
43,26.8,NaN,1,bigfive
44,27.8,NaN,1,bigfive
45,26.181818181818183,NaN,1,bigfive
46,24.916666666666668,NaN,1,bigfive
47,25.916666666666668,NaN,1,bigfive
48,26.916666666666668,NaN,1,bigfive
49,27.916666666666668,NaN,1,bigfive
50,26.692307692307693,NaN,1,bigfive
51,27.692307692307693,NaN,1,bigfive
52,28.692307692307693,NaN,1,bigfive
53,29.692307692307693,NaN,1,bigfive
54,30.692307692307693,NaN,1,bigfive
55,29.428571428571427,NaN,1,bigfive
56,30.428571428571427,NaN,1,bigfive
57,29.46153846153846,NaN,1,bigfive
58,30.46153846153846,NaN,1,bigfive
59,29.214285714285715,NaN,1,bigfive
60,25.25,NaN,1,bigfive
61,26.25,NaN,1,bigfive
62,27.25,NaN,1,bigfive
63,28.25,NaN,1,bigfive
64,25.071428571428573,NaN,1,bigfive
65,26.071428571428573,NaN,1,bigfive
66,23.6875,NaN,1,bigfive
67,23.235294117647058,NaN,1,bigfive
68,21.68421052631579,NaN,1,bigfive
69,22.68421052631579,NaN,1,bigfive
70,23.68421052631579,NaN,1,bigfive
71,23.45,NaN,1,bigfive
72,24.45,NaN,1,bigfive
73,24.238095238095237,NaN,1,bigfive
74,23.043478260869566,NaN,1,bigfive
75,24.043478260869566,NaN,1,bigfive
76,21.333333333333332,NaN,1,bigfive
77,19.451612903225808,NaN,1,bigfive
78,19.21212121212121,NaN,1,bigfive
79,20.21212121212121,NaN,1,bigfive
80,20.58823529411765,NaN,1,bigfive
81,21.58823529411765,NaN,1,bigfive
82,20.823529411764707,NaN,1,bigfive
83,20.666666666666668,NaN,1,bigfive
84,21.666666666666668,NaN,1,bigfive
85,22.0,NaN,1,bigfive
86,21.72222222222222,NaN,1,bigfive
87,22.10810810810811,NaN,1,bigfive
88,20.18421052631579,NaN,1,bigfive
89,18.358974358974358,NaN,1,bigfive
90,17.558139534883722,NaN,1,bigfive
91,17.733333333333334,NaN,1,bigfive
92,17.93617021276596,NaN,1,bigfive
93,17.291666666666668,NaN,1,bigfive
94,17.56,NaN,1,bigfive
95,15.21311475409836,NaN,1,bigfive
96,14.544117647058824,NaN,1,bigfive
97,13.727272727272727,NaN,1,bigfive
98,14.354430379746836,NaN,1,bigfive
99,15.1625,NaN,1,bigfive
100,15.578313253012048,NaN,1,bigfive
101,16.57831325301205,NaN,1,bigfive
102,17.16470588235294,NaN,1,bigfive
103,17.458823529411763,NaN,1,bigfive
104,17.829545454545453,NaN,1,bigfive
105,17.744444444444444,NaN,1,bigfive
106,17.30851063829787,NaN,1,bigfive
107,17.927083333333332,NaN,1,bigfive
108,18.7319587628866,NaN,1,bigfive
109,18.228571428571428,NaN,1,bigfive
110,17.336283185840706,NaN,1,bigfive
111,17.266666666666666,NaN,1,bigfive
112,16.606060606060606,NaN,1,bigfive
113,16.366197183098592,NaN,1,bigfive
114,15.90967741935484,NaN,1,bigfive
115,14.976608187134502,NaN,1,bigfive
116,15.010989010989011,NaN,1,bigfive
117,15.02061855670103,NaN,1,bigfive
118,15.310344827586206,NaN,1,bigfive
119,15.407582938388625,NaN,1,bigfive
120,15.953917050691244,NaN,1,bigfive
121,16.49775784753363,NaN,1,bigfive
122,17.18942731277533,NaN,1,bigfive
123,17.49576271186441,NaN,1,bigfive
124,17.629166666666666,NaN,1,bigfive
125,18.191836734693876,NaN,1,bigfive
126,18.34538152610442,NaN,1,bigfive
127,18.509727626459146,NaN,1,bigfive
128,18.059040590405903,NaN,1,bigfive
129,18.08992805755396,NaN,1,bigfive
130,17.74916387959866,NaN,1,bigfive
131,17.71884984025559,NaN,1,bigfive
132,17.867283950617285,NaN,1,bigfive
133,17.69345238095238,NaN,1,bigfive
134,17.646551724137932,NaN,1,bigfive
135,18.075208913649025,NaN,1,bigfive
136,17.61968085106383,NaN,1,bigfive
137,17.345454545454544,NaN,1,bigfive
138,17.203007518796994,NaN,1,bigfive
0,0.0,NaN,1,rule
1,1.0,NaN,1,rule
2,2.0,NaN,1,rule
3,3.0,NaN,1,rule
4,4.0,NaN,1,rule
5,5.0,NaN,1,rule
6,6.0,NaN,1,rule
7,7.0,NaN,1,rule
8,8.0,NaN,1,rule
9,9.0,NaN,1,rule
10,10.0,NaN,1,rule
11,11.0,NaN,1,rule
12,12.0,NaN,1,rule
13,13.0,NaN,1,rule
14,14.0,NaN,1,rule
15,15.0,NaN,1,rule
16,16.0,NaN,1,rule
17,17.0,NaN,1,rule
18,15.6,NaN,1,rule
19,15.2,NaN,1,rule
20,16.2,NaN,1,rule
21,16.615384615384617,NaN,1,rule
22,17.615384615384617,NaN,1,rule
23,18.615384615384617,NaN,1,rule
24,19.25,NaN,1,rule
25,20.25,NaN,1,rule
26,17.0,NaN,1,rule
27,13.5,NaN,1,rule
28,14.5,NaN,1,rule
29,15.5,NaN,1,rule
30,16.5,NaN,1,rule
31,17.5,NaN,1,rule
32,18.5,NaN,1,rule
33,19.5,NaN,1,rule
34,20.5,NaN,1,rule
35,21.5,NaN,1,rule
36,22.5,NaN,1,rule
37,23.5,NaN,1,rule
38,19.6,NaN,1,rule
39,17.91304347826087,NaN,1,rule
40,18.91304347826087,NaN,1,rule
41,19.91304347826087,NaN,1,rule
42,20.91304347826087,NaN,1,rule
43,20.16,NaN,1,rule
44,17.06451612903226,NaN,1,rule
45,15.135135135135135,NaN,1,rule
46,15.307692307692308,NaN,1,rule
47,16.307692307692307,NaN,1,rule
48,17.307692307692307,NaN,1,rule
49,18.68421052631579,NaN,1,rule
50,19.68421052631579,NaN,1,rule
51,19.170731707317074,NaN,1,rule
52,20.170731707317074,NaN,1,rule
53,21.170731707317074,NaN,1,rule
54,22.170731707317074,NaN,1,rule
55,22.357142857142858,NaN,1,rule
56,23.357142857142858,NaN,1,rule
57,24.357142857142858,NaN,1,rule
58,24.204545454545453,NaN,1,rule
59,23.933333333333334,NaN,1,rule
60,25.093023255813954,NaN,1,rule
61,25.113636363636363,NaN,1,rule
62,24.4468085106383,NaN,1,rule
63,23.0,NaN,1,rule
64,23.11111111111111,NaN,1,rule
65,23.25,NaN,1,rule
66,22.262295081967213,NaN,1,rule
67,22.532258064516128,NaN,1,rule
68,22.446153846153845,NaN,1,rule
69,21.166666666666668,NaN,1,rule
70,21.863013698630137,NaN,1,rule
71,20.753246753246753,NaN,1,rule
72,20.9375,NaN,1,rule
73,20.795180722891565,NaN,1,rule
74,20.556818181818183,NaN,1,rule
75,20.846153846153847,NaN,1,rule
76,18.927835051546392,NaN,1,rule
77,19.86315789473684,NaN,1,rule
78,19.155339805825243,NaN,1,rule
79,19.807692307692307,NaN,1,rule
80,20.41509433962264,NaN,1,rule
81,19.23728813559322,NaN,1,rule
82,18.747967479674795,NaN,1,rule
83,19.27777777777778,NaN,1,rule
84,18.64963503649635,NaN,1,rule
85,19.64963503649635,NaN,1,rule
86,20.35251798561151,NaN,1,rule
87,20.267123287671232,NaN,1,rule
88,19.46451612903226,NaN,1,rule
89,19.030864197530864,NaN,1,rule
90,18.75722543352601,NaN,1,rule
91,18.78021978021978,NaN,1,rule
92,19.148936170212767,NaN,1,rule
93,19.442708333333332,NaN,1,rule
94,19.723618090452263,NaN,1,rule
95,18.852216748768473,NaN,1,rule
96,18.5962441314554,NaN,1,rule
97,19.202764976958527,NaN,1,rule
98,19.39366515837104,NaN,1,rule
99,19.51082251082251,NaN,1,rule
100,19.33877551020408,NaN,1,rule
101,19.562992125984252,NaN,1,rule
102,18.793357933579337,NaN,1,rule
103,19.278388278388277,NaN,1,rule
104,19.46808510638298,NaN,1,rule
105,19.685121107266436,NaN,1,rule
106,19.860544217687075,NaN,1,rule
107,19.787581699346404,NaN,1,rule
108,19.89423076923077,NaN,1,rule
109,20.436708860759495,NaN,1,rule
110,20.637770897832816,NaN,1,rule
111,20.960244648318042,NaN,1,rule
112,21.00900900900901,NaN,1,rule
113,21.394658753709198,NaN,1,rule
114,21.191304347826087,NaN,1,rule
115,20.982954545454547,NaN,1,rule
116,21.016713091922007,NaN,1,rule
117,21.63186813186813,NaN,1,rule
118,21.796195652173914,NaN,1,rule
119,21.80211081794195,NaN,1,rule
120,21.431168831168833,NaN,1,rule
121,21.69309462915601,NaN,1,rule
122,22.281725888324875,NaN,1,rule
123,23.083969465648856,NaN,1,rule
124,23.33,NaN,1,rule
125,24.02962962962963,NaN,1,rule
126,24.627450980392158,NaN,1,rule
127,25.17156862745098,NaN,1,rule
128,25.2590799031477,NaN,1,rule
129,25.908212560386474,NaN,1,rule
130,26.29787234042553,NaN,1,rule
131,26.92924528301887,NaN,1,rule
132,27.704761904761906,NaN,1,rule
133,28.099290780141843,NaN,1,rule
134,28.558685446009388,NaN,1,rule
135,29.02112676056338,NaN,1,rule
136,29.74186046511628,NaN,1,rule
137,30.50925925925926,NaN,1,rule
138,30.415313225058004,NaN,1,rule
139,30.783216783216783,NaN,1,rule
140,31.388372093023257,NaN,1,rule
141,31.967741935483872,NaN,1,rule
142,32.89195402298851,NaN,1,rule
143,33.55632183908046,NaN,1,rule
144,34.31963470319635,NaN,1,rule
145,34.55148741418764,NaN,1,rule
146,35.14932126696833,NaN,1,rule
147,35.863945578231295,NaN,1,rule
148,36.542792792792795,NaN,1,rule
149,36.968468468468465,NaN,1,rule
150,36.3542600896861,NaN,1,rule
0,0.0,NaN,1,schwartz
1,1.0,NaN,1,schwartz
2,2.0,NaN,1,schwartz
3,3.0,NaN,1,schwartz
4,4.0,NaN,1,schwartz
5,5.0,NaN,1,schwartz
6,6.0,NaN,1,schwartz
7,7.0,NaN,1,schwartz
8,8.0,NaN,1,schwartz
9,9.0,NaN,1,schwartz
10,10.0,NaN,1,schwartz
11,11.0,NaN,1,schwartz
12,12.0,NaN,1,schwartz
13,13.0,NaN,1,schwartz
14,14.0,NaN,1,schwartz
15,15.0,NaN,1,schwartz
16,16.0,NaN,1,schwartz
17,17.0,NaN,1,schwartz
18,18.0,NaN,1,schwartz
19,17.642857142857142,NaN,1,schwartz
20,18.642857142857142,NaN,1,schwartz
21,18.142857142857142,NaN,1,schwartz
22,19.142857142857142,NaN,1,schwartz
23,18.8,NaN,1,schwartz
24,19.5,NaN,1,schwartz
25,20.5,NaN,1,schwartz
26,20.066666666666666,NaN,1,schwartz
27,21.066666666666666,NaN,1,schwartz
28,22.066666666666666,NaN,1,schwartz
29,23.066666666666666,NaN,1,schwartz
30,24.066666666666666,NaN,1,schwartz
31,25.066666666666666,NaN,1,schwartz
32,25.642857142857142,NaN,1,schwartz
33,24.866666666666667,NaN,1,schwartz
34,25.866666666666667,NaN,1,schwartz
35,24.533333333333335,NaN,1,schwartz
36,27.285714285714285,NaN,1,schwartz
37,27.615384615384617,NaN,1,schwartz
38,29.416666666666668,NaN,1,schwartz
39,32.63636363636363,NaN,1,schwartz
40,35.1,NaN,1,schwartz
41,32.81818181818182,NaN,1,schwartz
42,33.81818181818182,NaN,1,schwartz
43,31.916666666666668,NaN,1,schwartz
44,32.916666666666664,NaN,1,schwartz
45,29.071428571428573,NaN,1,schwartz
46,25.0,NaN,1,schwartz
47,24.375,NaN,1,schwartz
48,23.8125,NaN,1,schwartz
49,24.8125,NaN,1,schwartz
50,25.8125,NaN,1,schwartz
51,26.8125,NaN,1,schwartz
52,27.8125,NaN,1,schwartz
53,28.8125,NaN,1,schwartz
54,29.8125,NaN,1,schwartz
55,30.8125,NaN,1,schwartz
56,31.8125,NaN,1,schwartz
57,32.8125,NaN,1,schwartz
58,33.8125,NaN,1,schwartz
59,34.8125,NaN,1,schwartz
60,30.23076923076923,NaN,1,schwartz
61,31.23076923076923,NaN,1,schwartz
62,32.23076923076923,NaN,1,schwartz
63,30.857142857142858,NaN,1,schwartz
64,29.733333333333334,NaN,1,schwartz
65,30.733333333333334,NaN,1,schwartz
66,31.733333333333334,NaN,1,schwartz
67,28.266666666666666,NaN,1,schwartz
68,27.4375,NaN,1,schwartz
69,25.27777777777778,NaN,1,schwartz
70,24.894736842105264,NaN,1,schwartz
71,23.428571428571427,NaN,1,schwartz
72,22.304347826086957,NaN,1,schwartz
73,23.181818181818183,NaN,1,schwartz
74,24.181818181818183,NaN,1,schwartz
75,23.083333333333332,NaN,1,schwartz
76,21.82608695652174,NaN,1,schwartz
77,22.82608695652174,NaN,1,schwartz
78,23.82608695652174,NaN,1,schwartz
79,24.82608695652174,NaN,1,schwartz
80,24.75,NaN,1,schwartz
81,24.72,NaN,1,schwartz
82,24.73076923076923,NaN,1,schwartz
83,24.77777777777778,NaN,1,schwartz
84,25.77777777777778,NaN,1,schwartz
85,26.77777777777778,NaN,1,schwartz
86,26.785714285714285,NaN,1,schwartz
87,27.785714285714285,NaN,1,schwartz
88,25.642857142857142,NaN,1,schwartz
89,23.3125,NaN,1,schwartz
90,22.88235294117647,NaN,1,schwartz
91,21.36842105263158,NaN,1,schwartz
92,18.047619047619047,NaN,1,schwartz
93,17.391304347826086,NaN,1,schwartz
94,17.625,NaN,1,schwartz
95,17.88,NaN,1,schwartz
96,18.50980392156863,NaN,1,schwartz
97,18.77358490566038,NaN,1,schwartz
98,19.77358490566038,NaN,1,schwartz
99,20.77358490566038,NaN,1,schwartz
100,20.98181818181818,NaN,1,schwartz
101,20.157894736842106,NaN,1,schwartz
102,20.79310344827586,NaN,1,schwartz
103,21.12280701754386,NaN,1,schwartz
104,21.372881355932204,NaN,1,schwartz
105,22.0,NaN,1,schwartz
106,22.62295081967213,NaN,1,schwartz
107,22.16923076923077,NaN,1,schwartz
108,22.147058823529413,NaN,1,schwartz
109,22.485714285714284,NaN,1,schwartz
110,22.216216216216218,NaN,1,schwartz
111,21.746835443037973,NaN,1,schwartz
112,21.392857142857142,NaN,1,schwartz
113,20.9,NaN,1,schwartz
114,20.23404255319149,NaN,1,schwartz
115,19.37864077669903,NaN,1,schwartz
116,18.741071428571427,NaN,1,schwartz
117,18.425,NaN,1,schwartz
118,18.5,NaN,1,schwartz
119,18.2,NaN,1,schwartz
120,18.253521126760564,NaN,1,schwartz
121,18.472972972972972,NaN,1,schwartz
122,18.474358974358974,NaN,1,schwartz
123,18.9875,NaN,1,schwartz
124,19.01840490797546,NaN,1,schwartz
125,19.08187134502924,NaN,1,schwartz
126,19.511363636363637,NaN,1,schwartz
127,19.72222222222222,NaN,1,schwartz
128,19.83783783783784,NaN,1,schwartz
129,19.973684210526315,NaN,1,schwartz
130,19.752525252525253,NaN,1,schwartz
131,19.64676616915423,NaN,1,schwartz
132,18.887323943661972,NaN,1,schwartz
133,18.517857142857142,NaN,1,schwartz
134,17.819327731092436,NaN,1,schwartz
135,17.676,NaN,1,schwartz
136,17.976833976833976,NaN,1,schwartz
