time,mean_val,std_val,n_runs,architecture
0,9.797632143947327,NaN,1,bigfive
1,5.8402531685819925,NaN,1,bigfive
2,2.5805877154746226,NaN,1,bigfive
3,2.7327630110746712,NaN,1,bigfive
4,2.23407439127353,NaN,1,bigfive
5,1.5364672299228428,NaN,1,bigfive
6,3.215066780138739,NaN,1,bigfive
7,1.4734937797206316,NaN,1,bigfive
8,2.1179107420781396,NaN,1,bigfive
9,1.1977400920121712,NaN,1,bigfive
10,1.209073416647296,NaN,1,bigfive
11,1.2110236483543786,NaN,1,bigfive
12,1.2130439235585453,NaN,1,bigfive
13,1.2151113227790908,NaN,1,bigfive
14,1.2172078236183552,NaN,1,bigfive
15,NaN,NaN,1,bigfive
16,NaN,NaN,1,bigfive
17,NaN,NaN,1,bigfive
18,NaN,NaN,1,bigfive
19,NaN,NaN,1,bigfive
20,NaN,NaN,1,bigfive
21,NaN,NaN,1,bigfive
22,NaN,NaN,1,bigfive
23,NaN,NaN,1,bigfive
24,NaN,NaN,1,bigfive
25,NaN,NaN,1,bigfive
26,NaN,NaN,1,bigfive
27,NaN,NaN,1,bigfive
28,NaN,NaN,1,bigfive
29,NaN,NaN,1,bigfive
30,NaN,NaN,1,bigfive
31,NaN,NaN,1,bigfive
32,NaN,NaN,1,bigfive
33,NaN,NaN,1,bigfive
34,NaN,NaN,1,bigfive
35,NaN,NaN,1,bigfive
36,NaN,NaN,1,bigfive
37,NaN,NaN,1,bigfive
38,NaN,NaN,1,bigfive
39,NaN,NaN,1,bigfive
40,NaN,NaN,1,bigfive
41,NaN,NaN,1,bigfive
42,NaN,NaN,1,bigfive
43,1.7067892408669638,NaN,1,bigfive
44,1.7322968926898,NaN,1,bigfive
45,1.6275598683221506,NaN,1,bigfive
46,1.5361046352706749,NaN,1,bigfive
47,1.590095230884125,NaN,1,bigfive
48,1.6445047824608527,NaN,1,bigfive
49,1.6993620828550788,NaN,1,bigfive
50,1.611632208385495,NaN,1,bigfive
51,1.6648573800050728,NaN,1,bigfive
52,1.7234917089018136,NaN,1,bigfive
53,1.7777926372412693,NaN,1,bigfive
54,1.8325768690838578,NaN,1,bigfive
55,1.6982237790845423,NaN,1,bigfive
56,1.7496618517773612,NaN,1,bigfive
57,1.8015333352217093,NaN,1,bigfive
58,1.8538583611153558,NaN,1,bigfive
59,1.7204604793848493,NaN,1,bigfive
60,2.3700286585056527,NaN,1,bigfive
61,2.3807172184039764,NaN,1,bigfive
62,2.3996656756273933,NaN,1,bigfive
63,2.4102441399128454,NaN,1,bigfive
64,2.3065137159343996,NaN,1,bigfive
65,2.3373489218756593,NaN,1,bigfive
66,2.5253594984092587,NaN,1,bigfive
67,2.654737260985088,NaN,1,bigfive
68,2.613438133526081,NaN,1,bigfive
69,2.699824062859832,NaN,1,bigfive
70,2.741002991664812,NaN,1,bigfive
71,2.549348935964968,NaN,1,bigfive
72,2.6494678808082273,NaN,1,bigfive
73,2.666674300106739,NaN,1,bigfive
74,2.693136504611406,NaN,1,bigfive
75,2.746413651921063,NaN,1,bigfive
76,2.7588294748938047,NaN,1,bigfive
77,3.251983448064569,NaN,1,bigfive
78,3.298635993997835,NaN,1,bigfive
79,3.345367130281975,NaN,1,bigfive
80,2.9610894059142465,NaN,1,bigfive
81,3.0046846757531394,NaN,1,bigfive
82,3.3334479137666913,NaN,1,bigfive
83,1.9355293979550214,NaN,1,bigfive
84,1.9672918459449813,NaN,1,bigfive
85,2.036212130420289,NaN,1,bigfive
86,1.8019544553611648,NaN,1,bigfive
87,1.8639620435508717,NaN,1,bigfive
88,1.5411459332794983,NaN,1,bigfive
89,2.641637146024494,NaN,1,bigfive
90,3.147931046313115,NaN,1,bigfive
91,3.198264805724195,NaN,1,bigfive
92,3.409843543919179,NaN,1,bigfive
93,4.327820100176721,NaN,1,bigfive
94,3.3008914478826488,NaN,1,bigfive
95,3.049049285024256,NaN,1,bigfive
96,3.0319386147800476,NaN,1,bigfive
97,2.698763415670548,NaN,1,bigfive
98,2.7979947218014245,NaN,1,bigfive
99,2.846571738782526,NaN,1,bigfive
100,2.8403578165823054,NaN,1,bigfive
101,2.9310881371410495,NaN,1,bigfive
102,2.7871915886586986,NaN,1,bigfive
103,3.001655669652666,NaN,1,bigfive
104,2.9280669879172536,NaN,1,bigfive
105,2.824521059819028,NaN,1,bigfive
106,2.9260302247370706,NaN,1,bigfive
107,2.8983901771329084,NaN,1,bigfive
108,3.130807470231213,NaN,1,bigfive
109,2.846821381412135,NaN,1,bigfive
110,3.540987482387193,NaN,1,bigfive
111,3.2391671311935184,NaN,1,bigfive
112,3.045612114016111,NaN,1,bigfive
113,3.105359035234899,NaN,1,bigfive
114,3.0152789047717707,NaN,1,bigfive
115,2.9128553362859058,NaN,1,bigfive
116,2.7816836643042793,NaN,1,bigfive
117,2.384162171000691,NaN,1,bigfive
118,2.6063360373843736,NaN,1,bigfive
119,2.566786328172864,NaN,1,bigfive
120,2.611020720885428,NaN,1,bigfive
121,2.516454485547511,NaN,1,bigfive
122,2.211213743344554,NaN,1,bigfive
123,2.3335501190524304,NaN,1,bigfive
124,2.0948245275689272,NaN,1,bigfive
125,2.2275820943467184,NaN,1,bigfive
126,2.193696185171203,NaN,1,bigfive
127,2.416894773578458,NaN,1,bigfive
128,2.81140942631506,NaN,1,bigfive
129,2.7559040151982837,NaN,1,bigfive
130,2.6918847479553087,NaN,1,bigfive
131,2.4550514405312116,NaN,1,bigfive
132,2.6055249861163565,NaN,1,bigfive
133,2.790531217365892,NaN,1,bigfive
134,2.8660784256905187,NaN,1,bigfive
135,2.9803586339472394,NaN,1,bigfive
136,3.0074007375356593,NaN,1,bigfive
137,3.0620420547404668,NaN,1,bigfive
138,3.0977216030436274,NaN,1,bigfive
0,9.797632143947327,NaN,1,rule
1,6.383187157752858,NaN,1,rule
2,3.698648012267162,NaN,1,rule
3,3.7218493542391626,NaN,1,rule
4,2.6277867938570347,NaN,1,rule
5,2.6096091193389994,NaN,1,rule
6,1.9164161213209219,NaN,1,rule
