time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,19.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,0.0,NaN,1,bigfive
23,0.0,NaN,1,bigfive
24,0.0,NaN,1,bigfive
25,0.0,NaN,1,bigfive
26,0.0,NaN,1,bigfive
27,0.0,NaN,1,bigfive
28,0.0,NaN,1,bigfive
29,0.0,NaN,1,bigfive
30,0.0,NaN,1,bigfive
31,0.0,NaN,1,bigfive
32,0.0,NaN,1,bigfive
33,0.0,NaN,1,bigfive
34,0.0,NaN,1,bigfive
35,0.0,NaN,1,bigfive
36,0.0,NaN,1,bigfive
37,0.0,NaN,1,bigfive
38,0.0,NaN,1,bigfive
39,0.0,NaN,1,bigfive
40,0.0,NaN,1,bigfive
41,0.0,NaN,1,bigfive
42,0.0,NaN,1,bigfive
43,0.0,NaN,1,bigfive
44,0.0,NaN,1,bigfive
45,0.0,NaN,1,bigfive
46,0.0,NaN,1,bigfive
47,0.0,NaN,1,bigfive
48,0.0,NaN,1,bigfive
49,0.0,NaN,1,bigfive
50,0.0,NaN,1,bigfive
51,0.0,NaN,1,bigfive
52,0.0,NaN,1,bigfive
53,0.0,NaN,1,bigfive
54,0.0,NaN,1,bigfive
55,0.0,NaN,1,bigfive
56,0.0,NaN,1,bigfive
57,0.0,NaN,1,bigfive
58,0.0,NaN,1,bigfive
59,0.0,NaN,1,bigfive
60,0.0,NaN,1,bigfive
61,0.0,NaN,1,bigfive
62,0.0,NaN,1,bigfive
63,0.0,NaN,1,bigfive
64,0.0,NaN,1,bigfive
65,0.0,NaN,1,bigfive
66,0.0,NaN,1,bigfive
67,0.0,NaN,1,bigfive
68,0.0,NaN,1,bigfive
69,0.0,NaN,1,bigfive
70,0.0,NaN,1,bigfive
71,0.0,NaN,1,bigfive
72,0.0,NaN,1,bigfive
73,0.0,NaN,1,bigfive
74,0.0,NaN,1,bigfive
75,0.0,NaN,1,bigfive
76,0.0,NaN,1,bigfive
77,0.0,NaN,1,bigfive
78,0.0,NaN,1,bigfive
79,0.0,NaN,1,bigfive
80,0.0,NaN,1,bigfive
81,0.0,NaN,1,bigfive
82,0.0,NaN,1,bigfive
83,0.0,NaN,1,bigfive
84,0.0,NaN,1,bigfive
85,0.0,NaN,1,bigfive
86,0.0,NaN,1,bigfive
87,0.0,NaN,1,bigfive
88,0.0,NaN,1,bigfive
89,0.0,NaN,1,bigfive
90,0.0,NaN,1,bigfive
91,0.0,NaN,1,bigfive
92,0.0,NaN,1,bigfive
93,0.0,NaN,1,bigfive
94,0.0,NaN,1,bigfive
95,0.0,NaN,1,bigfive
96,8.6875,NaN,1,bigfive
97,14.6875,NaN,1,bigfive
98,30.5625,NaN,1,bigfive
99,30.5625,NaN,1,bigfive
100,30.5625,NaN,1,bigfive
101,30.5625,NaN,1,bigfive
102,30.5625,NaN,1,bigfive
103,31.375,NaN,1,bigfive
104,34.625,NaN,1,bigfive
105,34.625,NaN,1,bigfive
106,30.8125,NaN,1,bigfive
107,25.80625,NaN,1,bigfive
108,9.931249999999999,NaN,1,bigfive
109,15.837499999999999,NaN,1,bigfive
110,18.8375,NaN,1,bigfive
111,26.61875,NaN,1,bigfive
112,28.93125,NaN,1,bigfive
113,32.65,NaN,1,bigfive
114,52.756249999999994,NaN,1,bigfive
115,64.18125,NaN,1,bigfive
116,85.35,NaN,1,bigfive
117,119.15,NaN,1,bigfive
118,144.5875,NaN,1,bigfive
119,157.35500000000002,NaN,1,bigfive
120,174.99375,NaN,1,bigfive
121,200.23125000000002,NaN,1,bigfive
122,214.35625,NaN,1,bigfive
123,236.41562500000003,NaN,1,bigfive
124,254.603125,NaN,1,bigfive
125,279.6125,NaN,1,bigfive
126,361.0687499999999,NaN,1,bigfive
127,376.98749999999995,NaN,1,bigfive
128,378.0029304504394,NaN,1,bigfive
129,411.1198054504394,NaN,1,bigfive
130,446.8031257629393,NaN,1,bigfive
131,515.7906257629389,NaN,1,bigfive
132,596.0230476379388,NaN,1,bigfive
133,717.3548670959466,NaN,1,bigfive
134,804.8063905334466,NaN,1,bigfive
135,876.2129530334468,NaN,1,bigfive
136,994.7722655334467,NaN,1,bigfive
137,1122.5020986633303,NaN,1,bigfive
138,1242.0651346774698,NaN,1,bigfive
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
2,0.0,NaN,1,rule
3,0.0,NaN,1,rule
4,0.0,NaN,1,rule
5,0.0,NaN,1,rule
6,0.0,NaN,1,rule
7,0.0,NaN,1,rule
8,0.0,NaN,1,rule
9,0.0,NaN,1,rule
10,0.0,NaN,1,rule
11,0.0,NaN,1,rule
12,0.0,NaN,1,rule
13,0.0,NaN,1,rule
14,0.0,NaN,1,rule
15,0.0,NaN,1,rule
16,0.0,NaN,1,rule
17,0.0,NaN,1,rule
18,0.0,NaN,1,rule
19,2.0,NaN,1,rule
20,2.0,NaN,1,rule
21,2.0,NaN,1,rule
22,2.0,NaN,1,rule
23,2.0,NaN,1,rule
24,2.0,NaN,1,rule
25,2.0,NaN,1,rule
26,2.0,NaN,1,rule
27,2.0,NaN,1,rule
28,2.0,NaN,1,rule
29,0.0,NaN,1,rule
30,0.0,NaN,1,rule
31,0.0,NaN,1,rule
32,0.0,NaN,1,rule
33,0.0,NaN,1,rule
34,0.0,NaN,1,rule
35,2.1999999999999993,NaN,1,rule
36,2.1999999999999993,NaN,1,rule
37,2.1999999999999993,NaN,1,rule
38,2.1999999999999993,NaN,1,rule
39,3.6999999999999993,NaN,1,rule
40,3.6999999999999993,NaN,1,rule
41,3.6999999999999993,NaN,1,rule
42,3.6999999999999993,NaN,1,rule
43,3.6999999999999993,NaN,1,rule
44,3.6999999999999993,NaN,1,rule
45,1.5,NaN,1,rule
46,1.5,NaN,1,rule
47,1.5,NaN,1,rule
48,1.5,NaN,1,rule
49,0.0,NaN,1,rule
50,2.42,NaN,1,rule
51,2.42,NaN,1,rule
52,2.42,NaN,1,rule
53,2.42,NaN,1,rule
54,2.42,NaN,1,rule
55,2.42,NaN,1,rule
56,2.42,NaN,1,rule
57,2.42,NaN,1,rule
58,2.42,NaN,1,rule
59,2.42,NaN,1,rule
60,0.0,NaN,1,rule
61,0.0,NaN,1,rule
62,5.5,NaN,1,rule
63,7.5,NaN,1,rule
64,8.0,NaN,1,rule
65,19.75,NaN,1,rule
66,22.75,NaN,1,rule
67,27.25,NaN,1,rule
68,31.0,NaN,1,rule
69,35.0,NaN,1,rule
70,41.0,NaN,1,rule
71,42.0,NaN,1,rule
72,46.0,NaN,1,rule
73,42.25,NaN,1,rule
74,51.25,NaN,1,rule
75,49.5,NaN,1,rule
76,162.0,NaN,1,rule
77,155.5,NaN,1,rule
78,152.75,NaN,1,rule
79,150.1,NaN,1,rule
80,144.2,NaN,1,rule
81,161.9,NaN,1,rule
82,168.75,NaN,1,rule
83,169.625,NaN,1,rule
84,147.8125,NaN,1,rule
85,162.36249999999998,NaN,1,rule
86,178.61160888671876,NaN,1,rule
87,189.6363861083984,NaN,1,rule
88,209.63638610839843,NaN,1,rule
89,236.78638610839843,NaN,1,rule
90,254.6863861083984,NaN,1,rule
91,253.36138610839845,NaN,1,rule
92,267.5813861083984,NaN,1,rule
93,334.78116333007813,NaN,1,rule
94,360.5149133300781,NaN,1,rule
95,451.96116333007814,NaN,1,rule
96,481.8116088867188,NaN,1,rule
97,518.1081039428711,NaN,1,rule
98,519.7331039428711,NaN,1,rule
99,511.8456039428711,NaN,1,rule
100,526.4779241490364,NaN,1,rule
101,578.0032760711015,NaN,1,rule
102,777.1324694084377,NaN,1,rule
103,982.229392907545,NaN,1,rule
104,1030.929392907545,NaN,1,rule
105,1124.1113289337604,NaN,1,rule
106,1139.0523338776084,NaN,1,rule
107,1208.6333610992879,NaN,1,rule
108,1243.3992967682332,NaN,1,rule
109,1283.4939842682331,NaN,1,rule
110,1357.9187046240243,NaN,1,rule
111,1450.7698467034593,NaN,1,rule
112,1552.777299253333,NaN,1,rule
113,1549.8921605772962,NaN,1,rule
114,1623.1337887793597,NaN,1,rule
115,2282.648066355601,NaN,1,rule
116,2348.0857569953955,NaN,1,rule
117,2313.514882919897,NaN,1,rule
118,2385.785898832248,NaN,1,rule
119,2466.8030020428628,NaN,1,rule
120,2769.134858892967,NaN,1,rule
121,3000.601690588591,NaN,1,rule
122,3079.561541110567,NaN,1,rule
123,3045.717382118492,NaN,1,rule
124,2986.5672933190262,NaN,1,rule
125,2987.0594259545196,NaN,1,rule
126,2932.5549621118357,NaN,1,rule
127,2959.4302390403027,NaN,1,rule
128,3043.4987930385473,NaN,1,rule
129,2976.540783809533,NaN,1,rule
130,2997.411330209814,NaN,1,rule
131,3135.4394555959466,NaN,1,rule
132,3319.048172943385,NaN,1,rule
133,3303.3579998873015,NaN,1,rule
134,3340.670623322125,NaN,1,rule
135,3490.4529371231433,NaN,1,rule
136,3508.537378125243,NaN,1,rule
137,3604.7710137961394,NaN,1,rule
138,4327.519731270735,NaN,1,rule
139,2973.6293729023946,NaN,1,rule
